freq_GHz	trans_5deg_0.0deg_X	trans_5deg_5.0deg_X	trans_5deg_10.0deg_X	trans_5deg_15.0deg_X	trans_5deg_20.0deg_X	trans_5deg_25.0deg_X	trans_5deg_30.0deg_O	trans_5deg_35.0deg_X	trans_5deg_40.0deg_X	trans_5deg_45.0deg_X	trans_5deg_50.0deg_X	trans_5deg_55.0deg_X	trans_5deg_60.0deg_X	trans_5deg_65.0deg_X	trans_5deg_70.0deg_X	trans_5deg_75.0deg_X	trans_5deg_80.0deg_X	trans_5deg_85.0deg_X	trans_5deg_90.0deg_X	trans_5deg_95.0deg_X	trans_5deg_100.0deg_X	trans_5deg_105.0deg_X	trans_5deg_110.0deg_X	trans_5deg_115.0deg_X	trans_5deg_120.0deg_E	trans_5deg_125.0deg_X	trans_5deg_130.0deg_X	trans_5deg_135.0deg_X	trans_5deg_140.0deg_X	trans_5deg_145.0deg_X	trans_5deg_150.0deg_X	trans_5deg_155.0deg_X	trans_5deg_160.0deg_X	trans_5deg_165.0deg_X	trans_5deg_170.0deg_X	trans_5deg_175.0deg_X	trans_5deg_180.0deg_X	trans_5deg_185.0deg_X	trans_5deg_190.0deg_X	trans_5deg_195.0deg_X	trans_5deg_200.0deg_X	trans_5deg_205.0deg_X	trans_5deg_210.0deg_E	trans_5deg_215.0deg_X	trans_5deg_220.0deg_X	trans_5deg_225.0deg_X	trans_5deg_230.0deg_X	trans_5deg_235.0deg_X	trans_5deg_240.0deg_X	trans_5deg_245.0deg_X	trans_5deg_250.0deg_X	trans_5deg_255.0deg_X	trans_5deg_260.0deg_X	trans_5deg_265.0deg_X	trans_5deg_270.0deg_X	trans_5deg_275.0deg_X	trans_5deg_280.0deg_X	trans_5deg_285.0deg_X	trans_5deg_290.0deg_X	trans_5deg_295.0deg_X	trans_5deg_300.0deg_O	trans_5deg_305.0deg_X	trans_5deg_310.0deg_X	trans_5deg_315.0deg_X	trans_5deg_320.0deg_X	trans_5deg_325.0deg_X	trans_5deg_330.0deg_X	trans_5deg_335.0deg_X	trans_5deg_340.0deg_X	trans_5deg_345.0deg_X	trans_5deg_350.0deg_X	trans_5deg_355.0deg_X	trans_5deg_360.0deg_X	trans_1deg_25.0deg_X	trans_1deg_26.0deg_X	trans_1deg_27.0deg_X	trans_1deg_28.0deg_X	trans_1deg_29.0deg_E	trans_1deg_30.0deg_X	trans_1deg_31.0deg_X	trans_1deg_32.0deg_X	trans_1deg_33.0deg_X	trans_1deg_34.0deg_X	trans_1deg_35.0deg_X	trans_1deg_115.0deg_X	trans_1deg_116.0deg_X	trans_1deg_117.0deg_X	trans_1deg_118.0deg_X	trans_1deg_119.0deg_O	trans_1deg_120.0deg_X	trans_1deg_121.0deg_X	trans_1deg_122.0deg_X	trans_1deg_123.0deg_X	trans_1deg_124.0deg_X	trans_1deg_125.0deg_X	trans_1deg_205.0deg_X	trans_1deg_206.0deg_X	trans_1deg_207.0deg_X	trans_1deg_208.0deg_E	trans_1deg_209.0deg_X	trans_1deg_210.0deg_X	trans_1deg_211.0deg_X	trans_1deg_212.0deg_X	trans_1deg_213.0deg_X	trans_1deg_214.0deg_X	trans_1deg_215.0deg_X	trans_1deg_295.0deg_X	trans_1deg_296.0deg_X	trans_1deg_297.0deg_X	trans_1deg_298.0deg_X	trans_1deg_299.0deg_O	trans_1deg_300.0deg_X	trans_1deg_301.0deg_X	trans_1deg_302.0deg_X	trans_1deg_303.0deg_X	trans_1deg_304.0deg_X	trans_1deg_305.0deg_X
90.0	-4.767444137247891	-3.48862552991789	-2.50858545652789	-1.78805375448789	-1.30558240762789	-1.02788079133789	-0.9491096769928901	-1.05032027116789	-1.36341250291789	-1.88267314783789	-2.6416780983578896	-3.6480577026978898	-4.94929600110789	-6.55322075239789	-8.41285753599789	-10.254993919047891	-11.20059347504789	-10.68567037934789	-9.22016001096789	-7.66263485303789	-6.37691116681789	-5.43288612714789	-4.786695483837891	-4.437067989027891	-4.3861246143978905	-4.60428190580789	-5.116890433947891	-5.934113505997891	-7.0789084469478905	-8.51687479368789	-10.07066583984789	-11.09229231234789	-10.70826101654789	-9.10689020505789	-7.24639559141789	-5.54422331205789	-4.16668892255789	-3.12438011518789	-2.35697770467789	-1.80460226884789	-1.46957981935789	-1.32156873098789	-1.36898112646789	-1.59476161352789	-2.04001689306789	-2.7136917149178896	-3.62910318723789	-4.80070591321789	-6.28008222928789	-8.14005804410789	-10.33796358454789	-12.54475927704789	-13.49608755464789	-12.34776163454789	-10.309210303947891	-8.48719644895789	-7.05273723951789	-6.026739600817891	-5.35885143628789	-5.00269174924789	-4.92708778730789	-5.15302610746789	-5.69608402601789	-6.564828876177891	-7.79169369092789	-9.43246031156789	-11.36419248934789	-12.87284708374789	-12.62100744594789	-10.680020812647891	-8.403708938277891	-6.4086785351378905	-4.78823805204789	-1.04123807302789	-1.00221503130189	-0.97506159893189	-0.95922136655989	-0.95189410797289	-0.94920593849389	-0.96103859296989	-0.96803373447589	-0.99047243944389	-1.01929486146789	-1.05435598245789	-4.42721987119789	-4.416261199627891	-4.39231682172789	-4.37735462537789	-4.37242889753789	-4.38245725980789	-4.40474224439789	-4.43723726621789	-4.48683929792789	-4.53408575406789	-4.60519028058789	-1.30901778093789	-1.30976522317789	-1.31387424817789	-1.32533622136789	-1.34367418638789	-1.36409235349789	-1.39669335237789	-1.4424798523578901	-1.48315918794789	-1.53691113344789	-1.59495056024789	-4.98949718824789	-4.95846367231789	-4.935463908827891	-4.92620373121789	-4.92236566892789	-4.936603549637891	-4.95577717176789	-4.98206282010789	-5.03611612668789	-5.08833027234789	-5.15859651914789
90.05005005005005	-4.712066864029524	-3.451248122210591	-2.4659912328886944	-1.7548707399465266	-1.2757842365707381	-0.9891220422876728	-0.9081415221776075	-1.0099416561723233	-1.3160018958285444	-1.8316864751770652	-2.5947909205222106	-3.6048557586908747	-4.895358493060139	-6.501081225430189	-8.359627729224803	-10.178125764058294	-11.16221718100394	-10.664353308382111	-9.203497040656119	-7.662372173648108	-6.371053907404278	-5.437381571401546	-4.79229198899754	-4.448608593462904	-4.386656788655209	-4.612177824753986	-5.127038464335849	-5.950534596018	-7.085216284315929	-8.520502113169822	-10.045175429023487	-11.027337939957295	-10.604464057292732	-9.034222446082513	-7.172621577867348	-5.4811966233465	-4.124798224649005	-3.082780916092534	-2.3014612279380233	-1.7595014629801347	-1.42922498398285	-1.2776389784664086	-1.3166962599872216	-1.5590626816727802	-2.0008528172148026	-2.6625211060227008	-3.5843183171290316	-4.757327808431738	-6.229764014075288	-8.094432791471041	-10.281330290781804	-12.4812538051692	-13.476290172846067	-12.38846251510412	-10.360917209535833	-8.527970830285545	-7.0866968932893295	-6.054532707195954	-5.376783868612188	-5.0282151804425	-4.9551041078928595	-5.184533855977995	-5.7343733941152975	-6.618023257873762	-7.8381336155788235	-9.49643738758577	-11.405275928915533	-12.886522948747189	-12.568072857261706	-10.618542604148281	-8.346593927258414	-6.3627083335399055	-4.7446661184374275	-0.999170355172576	-0.9657378830147598	-0.9365185152342459	-0.9192274419668182	-0.907244253842426	-0.9129416397059129	-0.9182665395583139	-0.9263355534869777	-0.9484337907568081	-0.9771833551459046	-1.0173138144778024	-4.432104349173061	-4.406512438754164	-4.389253822812663	-4.3713489536216015	-4.376076353005766	-4.387857946227515	-4.412468584964345	-4.437088725601952	-4.48538212379685	-4.547154328047249	-4.610160217426029	-1.269959355775938	-1.26735452086865	-1.2723520784520557	-1.2777708812183017	-1.2959596649372114	-1.3192175045978527	-1.3466843793039895	-1.3946991037555405	-1.4311798404440894	-1.491505377084699	-1.5523947443097537	-5.00677136762711	-4.97630498434805	-4.95873486725684	-4.946832269083939	-4.956558042617857	-4.964147032000458	-4.980336927002729	-5.0163608406822195	-5.059485987058725	-5.112360380350252	-5.188718435200975
90.10010010010011	-4.640697601230106	-3.3920013157896958	-2.424151266688865	-1.6979560631618873	-1.227554604961337	-0.9517973625306634	-0.8716654373883421	-0.973455639660269	-1.273266278850476	-1.7811929737205963	-2.542256140281257	-3.5344799605776034	-4.808969696029486	-6.38212645331376	-8.201885698584682	-9.999719713085593	-10.979637996399749	-10.51218498391246	-9.10013237016328	-7.605595917820046	-6.335872950639305	-5.397989333956793	-4.759165368908325	-4.424326214372169	-4.352257691135401	-4.582925381038304	-5.09347118847318	-5.888218111010437	-7.0190232210840415	-8.415985132984392	-9.910002762641529	-10.83978686054189	-10.40898039516261	-8.841997071939417	-7.046121788958085	-5.379396904727313	-4.045564873232849	-3.0213208826490345	-2.25967813280476	-1.721289484375341	-1.3825801330851408	-1.2467450171075831	-1.2789282036491147	-1.5110483043318674	-1.9511998884917274	-2.6126001680972832	-3.518630286027133	-4.683146788222689	-6.131541869571878	-7.966146972946303	-10.143665048134181	-12.319787528290338	-13.348383863226474	-12.277836144506752	-10.30800607451406	-8.504042608035132	-7.062575216432888	-6.034600103493169	-5.367617915733249	-5.010232702296292	-4.941373142306231	-5.170364469408524	-5.705002367345822	-6.5634376473187155	-7.797766074792489	-9.420825015826875	-11.289016407466512	-12.687475691124972	-12.356491396036084	-10.446361994017964	-8.197472950149367	-6.254705334837474	-4.6526670320179635	-0.9639241780405942	-0.9251405663839476	-0.8941761693477391	-0.8775926817332347	-0.868252565580615	-0.8690923728903548	-0.8724557984382065	-0.8903683275717843	-0.9072254509822117	-0.9379150722160916	-0.9785972274864442	-4.4154886867986844	-4.386034046949075	-4.362633183223629	-4.350318026400877	-4.3508057401256615	-4.371970321107674	-4.385296734989465	-4.4128629264185655	-4.453819520990477	-4.518787296000577	-4.577912149994591	-1.2392683902910064	-1.2393951101307266	-1.2372065551310667	-1.2428851463227584	-1.2585272647285142	-1.2795201947156412	-1.304944180656372	-1.3543388121846003	-1.3907805799607966	-1.4531609367947804	-1.5161789530628988	-5.0073567241347	-4.979451566399445	-4.957500427006432	-4.940080540341577	-4.93573759581349	-4.948220390248183	-4.969485270278484	-5.002458706297813	-5.05035676448421	-5.117316988520926	-5.185315673678474
90.15015015015015	-4.570739455407448	-3.3267060242579887	-2.3668824996218927	-1.661284456735496	-1.1835443425799406	-0.9040442341735231	-0.8222462950111775	-0.923918488857661	-1.2293349056886191	-1.7374825269910819	-2.4859244687344755	-3.4814621213591606	-4.7466105856289795	-6.302555581104386	-8.116701070247212	-9.863919494386911	-10.831410945017481	-10.392513053211474	-9.027397563859822	-7.53201964810072	-6.277505970563722	-5.329581779037596	-4.708325659538527	-4.3510183214050135	-4.3008712175656445	-4.5133092768465755	-5.003233812226244	-5.804672120921259	-6.907447363877146	-8.285708749608379	-9.75305690563985	-10.64957548977724	-10.251884473329492	-8.728133666974177	-6.955233761487899	-5.319357767471562	-3.993700233663965	-2.9767226263521036	-2.213894687963995	-1.677689980454145	-1.3408803524544453	-1.2033451101057369	-1.2353056955526738	-1.465709144994836	-1.9036385719384092	-2.5559207813093106	-3.4626271946593405	-4.615859220691532	-6.05182280983991	-7.879153331835768	-10.015308690881266	-12.188434361701868	-13.220170686881445	-12.211254387654117	-10.235219461444803	-8.4475334256218	-7.0328627420208685	-6.00251879276324	-5.325301302086154	-4.966682856495823	-4.889782295565703	-5.124319769589127	-5.651637942221499	-6.494975065679215	-7.729328792728195	-9.320620389303631	-11.193748509875435	-12.56436861888685	-12.211339989187453	-10.31655028779556	-8.107582841185378	-6.175333872210391	-4.5964014852312625	-0.9228475362275383	-0.8796157976471478	-0.857802500232058	-0.8402406650200066	-0.8299180127779139	-0.8327280925496557	-0.8370178241574094	-0.8515993191972084	-0.8682405139529561	-0.897828193034004	-0.9352430719094155	-4.346773378123362	-4.31949593139174	-4.3041362834002985	-4.28666307832213	-4.2908947603783165	-4.294320132278616	-4.316568046713031	-4.347317321875764	-4.385047417135133	-4.4531312847969655	-4.492806888550688	-1.1988564872854066	-1.1929864969270882	-1.1935468461024334	-1.1975571787000607	-1.2142353311947756	-1.2389325615817126	-1.2633922994966975	-1.3066517175422836	-1.3474476720406614	-1.40933653326859	-1.4640126435856768	-4.952552312839156	-4.929084520080178	-4.907147361701589	-4.881180644386814	-4.879515297058315	-4.896572657170927	-4.916323484235343	-4.941586359832759	-4.999507395708616	-5.056883045853842	-5.121710436470208
90.2002002002002	-4.4764611191899615	-3.2347000772397805	-2.26962785278995	-1.5738068255262967	-1.0949498336870171	-0.8140053738423014	-0.7375860155838361	-0.8374571964383157	-1.1410080480382185	-1.6448806690806606	-2.394236191684915	-3.371765483312042	-4.637237501877237	-6.173548101611463	-7.959364493753447	-9.695819871750764	-10.673717984540376	-10.24664263762446	-8.915083424893547	-7.464688472746141	-6.213821724078691	-5.286580086062195	-4.654508591484767	-4.303586266124386	-4.243162192215147	-4.463606333061324	-4.960350624979532	-5.7657602817304054	-6.859235502768133	-8.226449263655722	-9.673416569013401	-10.528411577716154	-10.127325018699434	-8.61054614625711	-6.845392770181243	-5.2256021154204415	-3.892264803678989	-2.867621355054454	-2.115049750549069	-1.5802752232476278	-1.2423404967732932	-1.103438850112993	-1.1377219117556057	-1.3598450686716415	-1.8076749963181191	-2.4577878309753056	-3.362214865334505	-4.508757693702914	-5.949394080799001	-7.747839151864968	-9.852703500027541	-12.008391933792929	-13.067626804007944	-12.103741631339973	-10.204114774430364	-8.421962046710743	-7.00374044318849	-5.981191890797649	-5.301630673414495	-4.937229629814836	-4.8710520301610725	-5.082969149381932	-5.631503969405056	-6.4920539252848775	-7.7086592768974205	-9.304130666669012	-11.134072462055391	-12.441495424617953	-12.059873469979614	-10.183217873252786	-7.982608560156958	-6.0693924771382095	-4.493295343856498	-0.8278058462503951	-0.7878068084786932	-0.7597227425383615	-0.7503108044602564	-0.7309036012714485	-0.7305915503726275	-0.7374129452938749	-0.7472949430823743	-0.7652592547501978	-0.7998343996770523	-0.8345898496092846	-4.296140843394767	-4.270120780456739	-4.254480914498091	-4.241458430137801	-4.2410151625049375	-4.246755660424897	-4.27031170481731	-4.292975815038981	-4.348188812970143	-4.401285924540163	-4.470326852097811	-1.0944629686335636	-1.0902931886571874	-1.0945313179208613	-1.10743155237927	-1.12087107558978	-1.1430817715490094	-1.1660198476307608	-1.200579624221251	-1.252499002061492	-1.301961945647057	-1.3603631298069472	-4.92439612713859	-4.902909851955667	-4.875759713112093	-4.86512829836777	-4.869718090381974	-4.881040020694426	-4.896446436441162	-4.941774178624847	-4.9727302918085305	-5.0230923346426835	-5.094159703182974
90.25025025025025	-4.456076708687088	-3.2163941123243447	-2.258033856540581	-1.5564910023581089	-1.080937567822832	-0.8034241711905787	-0.7245454199815523	-0.8226055772469175	-1.1238479582495582	-1.6354106768932022	-2.3849902831314904	-3.361238898272631	-4.623192335921461	-6.152206327158638	-7.906920526404926	-9.619542351762806	-10.562056584220787	-10.145707467241808	-8.839723751995178	-7.386835984449369	-6.1715765708715615	-5.234922000287397	-4.610667561193101	-4.264896871858196	-4.211611315109067	-4.419144089919958	-4.910297986435714	-5.681685447983981	-6.772998403429769	-8.12415817650024	-9.537204121736847	-10.390723331350513	-10.031329800141506	-8.55755567770634	-6.812811025080823	-5.201672310873976	-3.881673602183124	-2.864953221792322	-2.1093285062773277	-1.5670989665173267	-1.2342354097863355	-1.0924487551184279	-1.1253862917248036	-1.3530534216321308	-1.7798353669214502	-2.4439688834325914	-3.3457631251444435	-4.488136182005796	-5.913212329703033	-7.698941771854736	-9.798122123243187	-11.914365580175044	-12.965883969844011	-12.052899593438303	-10.16318991359976	-8.392879243414422	-6.975579324597225	-5.957673030148375	-5.286336222738746	-4.916573944800748	-4.846377872780769	-5.073306556031359	-5.608373986398027	-6.453005447334952	-7.649969067352249	-9.247099444724244	-11.030640932267827	-12.341634798871436	-11.9632212615369	-10.108664809320084	-7.959000572951434	-6.046431074441644	-4.475232500262534	-0.8080446649614542	-0.7708676126761842	-0.7502457272672193	-0.7385998825782034	-0.7206606800387243	-0.7247996396985575	-0.7276127305486884	-0.7405688095509217	-0.7631732431748115	-0.7886649886778615	-0.819043204759773	-4.2604298413135115	-4.2302197854459545	-4.204620948710779	-4.194774949209147	-4.193886798230739	-4.203510729092991	-4.227242532606676	-4.25089356448195	-4.293911535633781	-4.351428541022571	-4.409541282141979	-1.08266348433039	-1.0785989253532624	-1.0767423633352036	-1.0848033020614303	-1.1049713299003197	-1.125111695214804	-1.1520166507406493	-1.1952766792684275	-1.235267074069628	-1.291011711192431	-1.3461345676968652	-4.907397176938514	-4.887536565635674	-4.8457529268437005	-4.836014238137014	-4.840543571102719	-4.847687197930437	-4.865854918470067	-4.897587773134281	-4.946435057537184	-5.00609432713225	-5.0585477032850505
90.30030030030031	-4.391780170023357	-3.156299091817229	-2.203371161593026	-1.4952508638557584	-1.0431632996984688	-0.7607120101506027	-0.6882906897634951	-0.787819415026101	-1.089307211679525	-1.597559006504948	-2.346108664760053	-3.3268571792735075	-4.580767299100295	-6.1012738414737475	-7.840938239982698	-9.51092160549453	-10.42260761787886	-10.014779788012309	-8.74865506554438	-7.334913915129004	-6.1173714185926364	-5.187937648944044	-4.584824642048131	-4.2365146397149465	-4.175052234501673	-4.389085859651642	-4.870421339225576	-5.658217260931041	-6.7264488149302615	-8.067516591593687	-9.471843451488615	-10.303175898752132	-9.91984564814102	-8.455889771789396	-6.734814769652605	-5.127314286689722	-3.818230677438251	-2.809855830345549	-2.0497100107689112	-1.5220128456764197	-1.1947942848347988	-1.0481880364137708	-1.089650359024979	-1.3165747916693629	-1.7462853445309534	-2.4049872977568705	-3.3030274864425158	-4.428048760829691	-5.860928709941224	-7.625963458570803	-9.692059154404738	-11.740965661165038	-12.802185480826601	-11.95641456184552	-10.111084357886057	-8.364246151972694	-6.948057356324823	-5.950777248365786	-5.267835515179178	-4.902353547140619	-4.822945985495153	-5.053253006070469	-5.578134205748486	-6.440029370317406	-7.638396481989598	-9.187768963143771	-10.9878258445287	-12.237901004417592	-11.866355711090867	-10.02009877047489	-7.8640765497231175	-5.960742250001554	-4.4025730769538365	-0.7722058550008042	-0.7316130587279238	-0.7101899404770472	-0.6968830393946244	-0.6873626468769635	-0.6842868170216991	-0.6919373407727711	-0.7046737022575668	-0.7267413790511345	-0.7542602492869933	-0.7907843669962543	-4.238961263962274	-4.201779698963625	-4.181201653933054	-4.16924894872864	-4.164821962482904	-4.175446620355907	-4.196281780852093	-4.225491400376478	-4.271783400373474	-4.318706036828969	-4.389617186548279	-1.0375381748941193	-1.040477440660042	-1.0472640874456873	-1.0482114916470089	-1.0625930102367023	-1.0848941729212482	-1.1190806435433274	-1.1563720693769903	-1.2046414443357896	-1.2579798162837776	-1.3179230616286715	-4.907990034417648	-4.857418317835544	-4.829698349043352	-4.825059060005034	-4.829520367076146	-4.835843436850169	-4.846671969105514	-4.883564093950889	-4.93614636505113	-4.984616684627076	-5.060510556398938
90.35035035035035	-4.306044376669479	-3.0809120272904282	-2.119211313622899	-1.416874936291567	-0.9471710841741049	-0.6774691209221892	-0.5987697113191894	-0.7070589763787738	-1.001136137038154	-1.5139981347358218	-2.2627555913675836	-3.23147447094336	-4.4771559766041005	-6.0054260188234725	-7.726815381701282	-9.379510953991037	-10.246963886647222	-9.890469840356584	-8.637519866988804	-7.231034379125829	-6.0235020014295095	-5.12828299903128	-4.5012206997991075	-4.167176357397835	-4.115908729202741	-4.326887662963611	-4.808944842500009	-5.601932838292292	-6.660171862972923	-7.971648502654746	-9.342621693520494	-10.149208031669646	-9.771508574856322	-8.33794705790817	-6.655101101220541	-5.050304295443121	-3.734627738748445	-2.7219086008547597	-1.972494115835542	-1.4380415278417678	-1.1033167882168733	-0.9657012983889095	-0.993955454506489	-1.226162160615973	-1.6680972447463343	-2.311476557836904	-3.214165276845083	-4.355087859269158	-5.772729369147866	-7.547385844397818	-9.59320025115912	-11.664927975173445	-12.70157527546494	-11.856896469189762	-10.052203742656058	-8.308440147356565	-6.909312454446133	-5.893241876609918	-5.224607022331348	-4.872437085733692	-4.803423478693541	-5.013429519073429	-5.550963620418515	-6.4058761424991975	-7.6066192993649535	-9.172172522533211	-10.919260500449518	-12.136793081289065	-11.751995157281058	-9.910885492019435	-7.764500870501161	-5.8827240832390775	-4.319519625309108	-0.6850793008610857	-0.6506729408951852	-0.6257732778022829	-0.6059190301724232	-0.5990776121480827	-0.5977455457694636	-0.6062116783581721	-0.6199716676984823	-0.6405192332745299	-0.6691889911011254	-0.7071745104657688	-4.169154689855113	-4.140406865873222	-4.113841440128166	-4.107027260527246	-4.106593479046826	-4.112737479527646	-4.137378527016435	-4.16394299240143	-4.215072807027497	-4.267287070105805	-4.318838648392391	-0.9523908978152166	-0.9456896870982707	-0.9550748985498505	-0.9551876902866969	-0.9740930320906448	-1.0023875108401104	-1.0253115168820182	-1.069364826139617	-1.1121194417691267	-1.163720817907885	-1.2368133719831513	-4.852239861279025	-4.829067489896763	-4.801262693736734	-4.785783005444661	-4.783670803941058	-4.7911865141018675	-4.819337913125472	-4.853108224228877	-4.893475943519657	-4.948461423306403	-5.017717865512077
90.4004004004004	-4.239095830448636	-3.0168453244829188	-2.0724899915477235	-1.3807168078351302	-0.9066901233085385	-0.6435947785015725	-0.5631174068539435	-0.6632576685516129	-0.9585811631677097	-1.4702626495264715	-2.2157991499128693	-3.182877419459176	-4.4297002279369755	-5.935833207704216	-7.632045587730053	-9.239604871538445	-10.099830232111987	-9.737012838208454	-8.494917774924676	-7.122332585219217	-5.943107754724822	-5.052892760700407	-4.438984694648374	-4.113676417566984	-4.053386178800436	-4.26706264576195	-4.743334350037886	-5.524958729256156	-6.576798425529101	-7.877656131763077	-9.208945496650609	-9.992294615920077	-9.627608691471197	-8.229350620669912	-6.561266213554655	-4.991430695811669	-3.6844390248759527	-2.686027315749916	-1.9234286145614858	-1.395213910992938	-1.0571897694375507	-0.9168724906799142	-0.9462179943586454	-1.1744641965230176	-1.6058570363592441	-2.25722965522471	-3.1501485011307464	-4.289464307481791	-5.705336126227609	-7.465953152327292	-9.492374188054683	-11.550313091277664	-12.557850562677856	-11.758141683602679	-9.941516935271169	-8.244829583441387	-6.860806793411357	-5.832199612045689	-5.173771310604838	-4.809518738541076	-4.745410041752777	-4.976805593743078	-5.49952387295475	-6.347154172316072	-7.538001454616223	-9.096990870632215	-10.842700196322301	-11.993133672727007	-11.597175128344226	-9.76407040094566	-7.689674562030313	-5.813633288572834	-4.248369073596214	-0.6465111061478946	-0.6068376096143064	-0.5872903882542498	-0.5647472730727735	-0.5596157592087462	-0.5536300986717914	-0.5636933464887853	-0.5776260544575312	-0.5950164172489852	-0.6329146656885957	-0.6627039146718088	-4.105952596391426	-4.080089565618665	-4.058182732946603	-4.037500601382197	-4.033306754139135	-4.047247827812428	-4.068800730850367	-4.100597948988195	-4.139910156052539	-4.1938534087090655	-4.2591020527393955	-0.9053805603983861	-0.9070872030676914	-0.9058753382562863	-0.9095901860472836	-0.9295620641297417	-0.9468692606023533	-0.9705155665909353	-1.0133703005413952	-1.0550613459265001	-1.1073947554087624	-1.172340780034659	-4.8124518106742	-4.786747289837522	-4.746869740530344	-4.741739860513988	-4.735976367488141	-4.7508557836662515	-4.772698635679164	-4.795878423095919	-4.838566555143537	-4.903866518114669	-4.983240175161827
90.45045045045045	-4.214964672821654	-3.0044994628522836	-2.0622672911556177	-1.3762911939784124	-0.9036401703927802	-0.6396790829164659	-0.5628504745436553	-0.665027582468528	-0.9628836239088897	-1.4660767612567882	-2.200196265677869	-3.1630807970365162	-4.392540931204986	-5.872163857999579	-7.562101200393457	-9.146264483836973	-10.009375421308599	-9.651812522838869	-8.453197165154092	-7.093601380956523	-5.921600319819854	-5.034515118312287	-4.42583229685616	-4.092465681572826	-4.036226059441116	-4.2417597464941785	-4.719823974243817	-5.480213139006251	-6.5169026739312095	-7.800990920388056	-9.1033003819277	-9.886487913066437	-9.536519552711662	-8.16254392779904	-6.512966563611294	-4.961669616374986	-3.6692796672076886	-2.6724797793669683	-1.9264313009817433	-1.3908413085189513	-1.0680860619638168	-0.9193404838152582	-0.9612367212609539	-1.1739750461907539	-1.6028252448376907	-2.248575519372105	-3.1411646459951688	-4.24835854986841	-5.648197534425978	-7.37416362282868	-9.377301159780483	-11.38481344139301	-12.444430080094817	-11.656449278761475	-9.926846499421114	-8.246519006625709	-6.854084469755888	-5.841610456951472	-5.182828138043004	-4.810982170976336	-4.751849513375798	-4.966057626554806	-5.489016987752915	-6.3343731943886805	-7.513825575012015	-9.037577950777239	-10.737432655463278	-11.872294996841658	-11.447699773956973	-9.692393452777242	-7.619330560341112	-5.758625493971472	-4.225820699828499	-0.6526630838011063	-0.6103173553782132	-0.5862791450019336	-0.5717393818044025	-0.5607384347008978	-0.5614619889081595	-0.5631309911847445	-0.584463981932268	-0.6052892181625562	-0.6366896699514125	-0.6669411530747452	-4.097743817849044	-4.065583043842377	-4.041006313289854	-4.029895833522287	-4.026273817127781	-4.035815781871656	-4.0514254994563395	-4.080790639494087	-4.121217808778141	-4.177909781839493	-4.24480192890571	-0.9044432656565377	-0.9051088449497005	-0.9098716947788086	-0.9116439916368261	-0.9339381091612231	-0.951971021359619	-0.9803365984857091	-1.0192465191890152	-1.0637477040635015	-1.1152925819236363	-1.173937939884267	-4.80496237678769	-4.783441405615889	-4.753930297557149	-4.743958412565977	-4.751269503260123	-4.744347674924266	-4.773495115175708	-4.803409850851924	-4.846916799650032	-4.90158083581886	-4.976209829023275
