freq_GHz	trans_5deg_0.0deg_X	trans_5deg_5.0deg_X	trans_5deg_10.0deg_X	trans_5deg_15.0deg_X	trans_5deg_20.0deg_X	trans_5deg_25.0deg_X	trans_5deg_30.0deg_X	trans_5deg_35.0deg_X	trans_5deg_40.0deg_X	trans_5deg_45.0deg_E	trans_5deg_50.0deg_X	trans_5deg_55.0deg_X	trans_5deg_60.0deg_X	trans_5deg_65.0deg_X	trans_5deg_70.0deg_X	trans_5deg_75.0deg_X	trans_5deg_80.0deg_X	trans_5deg_85.0deg_X	trans_5deg_90.0deg_X	trans_5deg_95.0deg_X	trans_5deg_100.0deg_X	trans_5deg_105.0deg_X	trans_5deg_110.0deg_X	trans_5deg_115.0deg_X	trans_5deg_120.0deg_X	trans_5deg_125.0deg_X	trans_5deg_130.0deg_X	trans_5deg_135.0deg_O	trans_5deg_140.0deg_X	trans_5deg_145.0deg_X	trans_5deg_150.0deg_X	trans_5deg_155.0deg_X	trans_5deg_160.0deg_X	trans_5deg_165.0deg_X	trans_5deg_170.0deg_X	trans_5deg_175.0deg_X	trans_5deg_180.0deg_X	trans_5deg_185.0deg_X	trans_5deg_190.0deg_X	trans_5deg_195.0deg_X	trans_5deg_200.0deg_X	trans_5deg_205.0deg_X	trans_5deg_210.0deg_X	trans_5deg_215.0deg_X	trans_5deg_220.0deg_X	trans_5deg_225.0deg_O	trans_5deg_230.0deg_X	trans_5deg_235.0deg_X	trans_5deg_240.0deg_X	trans_5deg_245.0deg_X	trans_5deg_250.0deg_X	trans_5deg_255.0deg_X	trans_5deg_260.0deg_X	trans_5deg_265.0deg_X	trans_5deg_270.0deg_X	trans_5deg_275.0deg_X	trans_5deg_280.0deg_X	trans_5deg_285.0deg_X	trans_5deg_290.0deg_X	trans_5deg_295.0deg_X	trans_5deg_300.0deg_X	trans_5deg_305.0deg_X	trans_5deg_310.0deg_X	trans_5deg_315.0deg_E	trans_5deg_320.0deg_X	trans_5deg_325.0deg_X	trans_5deg_330.0deg_X	trans_5deg_335.0deg_X	trans_5deg_340.0deg_X	trans_5deg_345.0deg_X	trans_5deg_350.0deg_X	trans_5deg_355.0deg_X	trans_5deg_360.0deg_X
140.0	-12.97374450086905	-13.63526736616905	-11.69232093216905	-9.22234546063905	-7.20650588391905	-5.70308219311905	-4.6173459183990495	-3.9049507272090502	-3.49731670735905	-3.37503825543905	-3.53025471089905	-3.98036633846905	-4.759017575959049	-5.893639196139049	-7.459681619389049	-9.54064570782905	-12.00131808636905	-13.675190080369049	-12.53503047346905	-9.88477336285905	-7.45832501766905	-5.52040349362905	-4.01755772946905	-2.88535581944905	-2.0742999207790502	-1.51708220360905	-1.19308911678905	-1.10576509354905	-1.22372101662905	-1.5820460212090501	-2.17623769161905	-3.03937684414905	-4.216402162299049	-5.77689086315905	-7.79300509808905	-10.34519492506905	-12.92463790296905	-13.67226992966905	-11.72633468026905	-9.24535952923905	-7.22454606411905	-5.715246785859049	-4.64013921139905	-3.90880857823905	-3.50142299053905	-3.38394247410905	-3.5469154011990502	-4.00014673588905	-4.777581323369049	-5.914166082129049	-7.486909974799049	-9.562559236269049	-12.04459678056905	-13.73577891706905	-12.63593303086905	-9.97329341290905	-7.56538020489905	-5.59883033154905	-4.116714585999049	-2.98850189564905	-2.1603263509090502	-1.60470842240905	-1.29009996769905	-1.1909613501890501	-1.32091306565905	-1.6711550843490501	-2.26443182347905	-3.1292842519090502	-4.3033357751190495	-5.86319648144905	-7.860745538459049	-10.37646209116905	-12.933183778469049
140.08008008008008	-12.673980523645705	-13.35825164020476	-11.532014482877521	-9.125642721852385	-7.155851718086726	-5.666144224754113	-4.594139820600569	-3.875741517834203	-3.4701153055630924	-3.3483217726943137	-3.505737289431251	-3.960171261369159	-4.723727121027368	-5.854022978560241	-7.403316079451065	-9.437100652712498	-11.815497736074622	-13.3513376636393	-12.218939501278937	-9.659049948429146	-7.284814866354485	-5.380743816467346	-3.9050564742298683	-2.793372630140558	-1.9956762683469846	-1.435957825834021	-1.126761806696491	-1.0342248261931073	-1.1574590837565835	-1.5128412983107393	-2.0954227819998783	-2.949321977868016	-4.103659838899978	-5.641017221488857	-7.611076961426577	-10.10528556029095	-12.603419055496353	-13.393857945196352	-11.559441047916659	-9.147172558198932	-7.1650305116697295	-5.673250184306115	-4.594571613112609	-3.882793655163482	-3.469362499733851	-3.352587250515643	-3.516058046676655	-3.971523088513313	-4.742495380506195	-5.881838642700132	-7.428789329973336	-9.465309550468776	-11.855497221560707	-13.42205756870947	-12.33817414767233	-9.745201550700346	-7.39039713366951	-5.466042976144994	-4.003404303252379	-2.8996338388674445	-2.084829734990618	-1.5355973069698163	-1.2207663258709383	-1.1245704656243085	-1.2537900317005575	-1.5999156263070236	-2.1882251247132705	-3.041968934425433	-4.195330820538557	-5.737603568714793	-7.696998706704115	-10.150053369668468	-12.629090240169425
140.16016016016016	-12.392028115846916	-13.098453459047816	-11.349130152578052	-9.012664956594753	-7.052883359505313	-5.56557404301106	-4.499684225319279	-3.7827704908506505	-3.3729544641594997	-3.2504304754706608	-3.4063069928793097	-3.858887464421922	-4.6208703795766475	-5.7431672532161855	-7.2729803237665065	-9.29591082224053	-11.605698158158733	-13.060281492293361	-11.939753216799469	-9.45166614116623	-7.115228924888033	-5.222470006529186	-3.751764104750028	-2.6453434221599186	-1.8457549261382575	-1.2890757677728022	-0.9784267027898084	-0.8872750542745614	-1.0134576014768304	-1.3582671585852548	-1.9434207997527724	-2.794397134663072	-3.9439249097017	-5.484122929610898	-7.4344529283236485	-9.877885310964047	-12.338518493347015	-13.133011528108478	-11.391614123851026	-9.028201178015955	-7.064611395186955	-5.578521353208588	-4.512732475116886	-3.791199927199249	-3.3863449209930025	-3.267456985790951	-3.4245572189012914	-3.873102861468939	-4.641003413829049	-5.7641631140337735	-7.3071421725944035	-9.316670024818206	-11.650935230658833	-13.141666783100671	-12.064287336852523	-9.548762732300773	-7.21848318537509	-5.306020277382549	-3.858361003742671	-2.7539392322948335	-1.936991622717647	-1.3931732438905398	-1.0731579511483178	-0.976930568929056	-1.1082034091797195	-1.4575225342539735	-2.04270442027021	-2.8940546298825716	-4.040354935719998	-5.580827997359637	-7.523687321967152	-9.930700457113819	-12.360569446404474
140.24024024024024	-12.049084403727347	-12.758619200554376	-11.135357811854664	-8.858414897205046	-6.94057574954408	-5.474276086825611	-4.415293551302788	-3.711906877962279	-3.306379374318554	-3.1876753868077135	-3.3435997786345006	-3.7942523035079856	-4.555395241851019	-5.671277155983753	-7.186911530911292	-9.163769153018265	-11.384701257220435	-12.71456030351654	-11.597492387896715	-9.199287260851571	-6.928822588507812	-5.079124938491413	-3.6390084034148966	-2.5460625327233948	-1.7570131035006926	-1.2093014408015634	-0.897858307223205	-0.812577311037554	-0.9329908818288273	-1.280420182226248	-1.8611417134117136	-2.7006336148620447	-3.8355358021634856	-5.342378194861385	-7.249261901417453	-9.63314529891722	-11.985088629954076	-12.78446136321714	-11.169553004436047	-8.889581641151622	-6.959738723745944	-5.486627496632969	-4.422938627038343	-3.7180488011721877	-3.312234240127263	-3.1952478472710464	-3.353786652030296	-3.8109359879620692	-4.569614087731288	-5.690742149958586	-7.216218619963244	-9.184371848952468	-11.431144689527041	-12.800986780611737	-11.712291741401819	-9.295022209356496	-7.04272943167544	-5.167790154675258	-3.7427338167192508	-2.6545307781762175	-1.849879213517118	-1.3088374186772083	-0.9953872630024507	-0.9049525671372229	-1.034604449586884	-1.3786520602255266	-1.9606397351150764	-2.795902833082674	-3.936227744993726	-5.438694311926039	-7.3387575044446	-9.68819618033722	-12.011074929162781
140.32032032032032	-11.759983760334281	-12.450589410732878	-10.92271536337129	-8.730043185703886	-6.839516182181335	-5.380697791858896	-4.323490056644616	-3.6184868537903108	-3.2162526901827824	-3.097433018825494	-3.249522040894121	-3.688223381752588	-4.447128663175701	-5.553441453130101	-7.054012724569078	-8.986059758498639	-11.132581675246772	-12.378891153243393	-11.314848289555103	-8.989058217466862	-6.760072589015823	-4.934734749943721	-3.4955853628141416	-2.405436103391346	-1.612558492770521	-1.0676926963676072	-0.7635350252799727	-0.6730737062451521	-0.793403114084106	-1.1383580458487903	-1.7171146828857498	-2.5536616800574437	-3.688382616728741	-5.180712218017917	-7.069081551061521	-9.403301574786443	-11.672174561373016	-12.461395892479123	-10.939976904838352	-8.756337724989363	-6.843313088023633	-5.394286813185012	-4.339494478213606	-3.6299170480932754	-3.220128275115215	-3.10870690887914	-3.265988957989139	-3.707668500355944	-4.46807255494687	-5.576708274063055	-7.0823260315177645	-9.017559956245497	-11.183637813464888	-12.456057840367416	-11.434983583538687	-9.08177440013835	-6.868922323534282	-5.015570044135531	-3.6008387227444856	-2.517297242354919	-1.7159838933945166	-1.173523498470681	-0.86640015424326	-0.7713618361821108	-0.8975481217716844	-1.2432544882742567	-1.8212568522221049	-2.6586641565820988	-3.7896714355840864	-5.287873063104395	-7.159523760329467	-9.459630551616733	-11.726135883738085
140.4004004004004	-11.459118762942449	-12.15409911507378	-10.721449347979977	-8.596256076680703	-6.734645783888185	-5.296684549188825	-4.261270792322348	-3.558568001798324	-3.1609762417068126	-3.0450714797176435	-3.2019334102374244	-3.647017761796044	-4.403153090671509	-5.492342001971851	-6.960883966367929	-8.854414875012898	-10.912547611776878	-12.067059569499209	-11.00952888376437	-8.767049308339708	-6.599021840552646	-4.813188024511933	-3.408753815643775	-2.3298418324285888	-1.553003795320831	-1.0115258923265216	-0.7068061136386015	-0.6159281493366083	-0.7326193080051657	-1.0753009186096547	-1.6449007011160865	-2.47265369044899	-3.586174062830042	-5.050473180782874	-6.90207187029474	-9.17508718134923	-11.38862243292163	-12.167977172695403	-10.759042080306907	-8.615694194031944	-6.74890706971222	-5.311589595716542	-4.274048646820316	-3.5644025645536894	-3.16307066443474	-3.047718370095211	-3.208532725301457	-3.655575105786533	-4.400526506453629	-5.5142189189548025	-7.001070251262464	-8.880160550386378	-10.971518230166668	-12.146203880254863	-11.130128528299004	-8.867365234769508	-6.711469951024558	-4.898239769183523	-3.5020347968975374	-2.4430730656021225	-1.650645993543623	-1.1149166115269917	-0.8062642229090193	-0.7150848402157743	-0.837511893972664	-1.1770367522649046	-1.7534467593369265	-2.5757516225617323	-3.6859903474428437	-5.156338665982913	-6.996332530910886	-9.231735696355345	-11.422641146109516
140.48048048048048	-11.106008774237809	-11.797521274452832	-10.481402724806873	-8.444906665457756	-6.637188140755525	-5.216944508063508	-4.182968458675966	-3.4866795336375267	-3.0848715617344027	-2.9686653632530806	-3.112404469308815	-3.5438147339978836	-4.297924176048788	-5.376501703104227	-6.819568970237865	-8.665209204286404	-10.630472404881646	-11.68241408179637	-10.684555281078346	-8.529093717731032	-6.422453009385106	-4.659174629575579	-3.2593918087117	-2.190854984421999	-1.4162335503819077	-0.8796767945630384	-0.5750877326179501	-0.48711913731475803	-0.604257500445265	-0.9418174369071282	-1.5092923484237697	-2.328805908125963	-3.4300512462653936	-4.886489940889484	-6.701894716875406	-8.899295338342535	-11.01655863396694	-11.7892675640216	-10.503220782711978	-8.477298889487816	-6.640477707135374	-5.2283907993253385	-4.197943966366146	-3.491850503276474	-3.0938938627614285	-2.976214475161398	-3.13501177291215	-3.5720664707273757	-4.313181762284945	-5.403629749449541	-6.854883187937441	-8.70934310087274	-10.695161886483447	-11.771051894824296	-10.803792020989157	-8.632821986323973	-6.5325354195109915	-4.7595264443312555	-3.3708140725398983	-2.3097977262940685	-1.524670232581637	-0.9866522257620816	-0.6826148071312758	-0.5874592118301777	-0.7125022721586909	-1.0511234186677485	-1.6277382045035889	-2.4387649813753605	-3.5425627565121487	-5.0041382316957295	-6.799285043525947	-8.962285844825088	-11.068852712124597
140.56056056056056	-10.833465478026772	-11.493187791925873	-10.234437286887431	-8.276632483841222	-6.504535229892884	-5.103091290705906	-4.087961028586206	-3.3952066203258053	-2.999358564712552	-2.886638111246276	-3.0343960987254044	-3.469103724812542	-4.206082036366246	-5.274442457644264	-6.694635601435456	-8.503293742111204	-10.391695275709052	-11.39495410780345	-10.429817476777322	-8.345223908133196	-6.281441638126117	-4.54806338338916	-3.1731213833036542	-2.1104853281553755	-1.341000267756687	-0.8104401220700679	-0.5108863663660531	-0.4224654337996306	-0.5414954511637017	-0.8738804797897158	-1.4337179520604604	-2.249141974434635	-3.3429587609928038	-4.771965432754706	-6.5604213257238255	-8.706223070861695	-10.73736142512307	-11.487032371210656	-10.25494518522617	-8.30847529600748	-6.5106255788026335	-5.120274527712102	-4.10413909287039	-3.4087250647429324	-3.0124173853525122	-2.8986134337669562	-3.050785713069669	-3.4849356790590384	-4.221447519537968	-5.304319888800211	-6.743325666086277	-8.5377682858586	-10.456020469048893	-11.49142046920495	-10.546565367243188	-8.452949730304748	-6.395757494452073	-4.647923167104565	-3.2842375525148353	-2.239530884527738	-1.4509114761553152	-0.9254498462094674	-0.6257813928511353	-0.5260824135148026	-0.6523544149389209	-0.9886817186355636	-1.5537451081454656	-2.36451538349965	-3.463363250041813	-4.894107157225356	-6.659178901544526	-8.774906393465558	-10.79558428741466
140.64064064064064	-10.558746022464893	-11.199619562035272	-10.02635619366661	-8.124290834417307	-6.385050893052099	-5.017317257946239	-4.01059781715875	-3.3235419002754036	-2.9322699386949047	-2.816568973286526	-2.966219371366737	-3.3940159764772178	-4.123067079824716	-5.174751477534848	-6.58060299775912	-8.336029436118636	-10.160995082068132	-11.11355948959253	-10.173676352968476	-8.162899677557249	-6.142742659693744	-4.428280507341165	-3.065915266297498	-2.0135835151223103	-1.2467136082193555	-0.7196880506625293	-0.4172437143097853	-0.3299409608225771	-0.44841569845245133	-0.7786307528632098	-1.3420636035560016	-2.1454525539019085	-3.2224920517707485	-4.640926790290452	-6.4039905728626225	-8.505179731314774	-10.465120598667095	-11.192000328552888	-10.042416521608073	-8.151803132748128	-6.399622054769299	-5.035333278878763	-4.019288373401771	-3.3311009494012396	-2.939886753841371	-2.8280764856149325	-2.9855183147984086	-3.414694954191022	-4.137278275306427	-5.206876521458522	-6.620490631286335	-8.37184987684493	-10.222197500734254	-11.212645566640878	-10.300466993372599	-8.278528930047921	-6.269261037604567	-4.536513528648003	-3.1848261183154065	-2.1427272980477863	-1.3647696897741808	-0.835416868147387	-0.5265218527650928	-0.43997185686731083	-0.5608129205232139	-0.8920824604526643	-1.4628829928418883	-2.2632814194566127	-3.3459941857384368	-4.769619552797461	-6.514024466348747	-8.590203323021985	-10.528954838667595
140.72072072072072	-10.263773368488197	-10.863262786685494	-9.759090157426394	-7.93406324147054	-6.249941821755404	-4.905969907756846	-3.907146883625135	-3.233722807231531	-2.8363919152528827	-2.723387969684144	-2.8691959340009006	-3.2950086488036936	-4.016856382744144	-5.060229366071351	-6.431326849152072	-8.146253246628739	-9.88862592698117	-10.769822662072881	-9.879980096054414	-7.953058354670359	-5.989383195079098	-4.3136466861518015	-2.963902847367477	-1.9268845053049546	-1.171182602555315	-0.6521314620641527	-0.35059065906747716	-0.26847295803449517	-0.3800996184018105	-0.7121013184592789	-1.269609953017477	-2.0669540748567563	-3.136930678521891	-4.533034217428648	-6.257201985381891	-8.302481453883242	-10.16588426724	-10.848805797214323	-9.758596480606306	-7.950637473893873	-6.248783532745495	-4.911146537858287	-3.92696865847045	-3.2419041493681076	-2.8450909586341435	-2.7431203032083777	-2.8887972812046843	-3.313240508954594	-4.040702953171981	-5.090202378975585	-6.473470735301981	-8.195076813747297	-9.967097935553152	-10.870164493335043	-10.011199968581352	-8.06474286174937	-6.106334304135224	-4.411579213886486	-3.0815176063528824	-2.0543389708839634	-1.287238595904144	-0.7627193977906301	-0.4644226742419006	-0.3789001452699366	-0.4939321028956934	-0.830822160296351	-1.3865538064096392	-2.1870043000304498	-3.258983835623243	-4.654947861001801	-6.369152717939368	-8.374618685103153	-10.236697953254863
