freq_GHz	trans_5deg_0.0deg_X	trans_5deg_5.0deg_X	trans_5deg_10.0deg_X	trans_5deg_15.0deg_X	trans_5deg_20.0deg_X	trans_5deg_25.0deg_X	trans_5deg_30.0deg_X	trans_5deg_35.0deg_X	trans_5deg_40.0deg_X	trans_5deg_45.0deg_X	trans_5deg_50.0deg_X	trans_5deg_55.0deg_X	trans_5deg_60.0deg_X	trans_5deg_65.0deg_O	trans_5deg_70.0deg_X	trans_5deg_75.0deg_X	trans_5deg_80.0deg_X	trans_5deg_85.0deg_X	trans_5deg_90.0deg_X	trans_5deg_95.0deg_X	trans_5deg_100.0deg_X	trans_5deg_105.0deg_X	trans_5deg_110.0deg_X	trans_5deg_115.0deg_X	trans_5deg_120.0deg_X	trans_5deg_125.0deg_X	trans_5deg_130.0deg_X	trans_5deg_135.0deg_X	trans_5deg_140.0deg_X	trans_5deg_145.0deg_X	trans_5deg_150.0deg_X	trans_5deg_155.0deg_E	trans_5deg_160.0deg_X	trans_5deg_165.0deg_X	trans_5deg_170.0deg_X	trans_5deg_175.0deg_X	trans_5deg_180.0deg_X	trans_5deg_185.0deg_X	trans_5deg_190.0deg_X	trans_5deg_195.0deg_X	trans_5deg_200.0deg_X	trans_5deg_205.0deg_X	trans_5deg_210.0deg_X	trans_5deg_215.0deg_X	trans_5deg_220.0deg_X	trans_5deg_225.0deg_X	trans_5deg_230.0deg_X	trans_5deg_235.0deg_X	trans_5deg_240.0deg_X	trans_5deg_245.0deg_O	trans_5deg_250.0deg_X	trans_5deg_255.0deg_X	trans_5deg_260.0deg_X	trans_5deg_265.0deg_X	trans_5deg_270.0deg_X	trans_5deg_275.0deg_X	trans_5deg_280.0deg_X	trans_5deg_285.0deg_X	trans_5deg_290.0deg_X	trans_5deg_295.0deg_X	trans_5deg_300.0deg_X	trans_5deg_305.0deg_X	trans_5deg_310.0deg_X	trans_5deg_315.0deg_X	trans_5deg_320.0deg_X	trans_5deg_325.0deg_X	trans_5deg_330.0deg_X	trans_5deg_335.0deg_E	trans_5deg_340.0deg_X	trans_5deg_345.0deg_X	trans_5deg_350.0deg_X	trans_5deg_355.0deg_X	trans_5deg_360.0deg_X	trans_1deg_60.0deg_X	trans_1deg_61.0deg_X	trans_1deg_62.0deg_X	trans_1deg_63.0deg_O	trans_1deg_64.0deg_X	trans_1deg_65.0deg_X	trans_1deg_66.0deg_X	trans_1deg_67.0deg_X	trans_1deg_68.0deg_X	trans_1deg_69.0deg_X	trans_1deg_70.0deg_X	trans_1deg_150.0deg_X	trans_1deg_151.0deg_X	trans_1deg_152.0deg_X	trans_1deg_153.0deg_X	trans_1deg_154.0deg_E	trans_1deg_155.0deg_X	trans_1deg_156.0deg_X	trans_1deg_157.0deg_X	trans_1deg_158.0deg_X	trans_1deg_159.0deg_X	trans_1deg_160.0deg_X	trans_1deg_240.0deg_X	trans_1deg_241.0deg_X	trans_1deg_242.0deg_X	trans_1deg_243.0deg_O	trans_1deg_244.0deg_X	trans_1deg_245.0deg_X	trans_1deg_246.0deg_X	trans_1deg_247.0deg_X	trans_1deg_248.0deg_X	trans_1deg_249.0deg_X	trans_1deg_250.0deg_X	trans_1deg_330.0deg_X	trans_1deg_331.0deg_X	trans_1deg_332.0deg_X	trans_1deg_333.0deg_X	trans_1deg_334.0deg_E	trans_1deg_335.0deg_X	trans_1deg_336.0deg_X	trans_1deg_337.0deg_X	trans_1deg_338.0deg_X	trans_1deg_339.0deg_X	trans_1deg_340.0deg_X
90.0	-8.28435455052917	-9.736696583919171	-10.60954032627917	-10.20886073797917	-8.68512855260917	-6.8843482562791705	-5.20450721471917	-3.8014906474891696	-2.69392166821917	-1.82535432069917	-1.18284068791917	-0.75503890006817	-0.52858857600917	-0.48332102387217	-0.63796977489217	-0.98489253013417	-1.53668783395917	-2.30643091885917	-3.3288837501291697	-4.610662800959171	-6.1676024028591705	-7.9814437457791705	-9.68385349004917	-10.59892688477917	-10.14055953707917	-8.82851920811917	-7.39030776707917	-6.16394458501917	-5.244152886559171	-4.6346553394091705	-4.296812398129171	-4.23221288411917	-4.46355615346917	-4.97304187505917	-5.76800428120917	-6.888741833859171	-8.275403363399171	-9.72948203770917	-10.61146388737917	-10.20218311037917	-8.66726909367917	-6.83022103993917	-5.17304692952917	-3.7773240634691696	-2.66352759091917	-1.80722473351917	-1.16029248921917	-0.74842361896317	-0.52368770330217	-0.48083402006917003	-0.64460758655317	-0.99429510324217	-1.55167351453917	-2.3340180942291697	-3.3537038394691696	-4.64311300008917	-6.22461543767917	-8.02336250035917	-9.73999725072917	-10.66836868017917	-10.20432315557917	-8.87864051549917	-7.41614423482917	-6.20630679814917	-5.274191720179171	-4.65734706609917	-4.33128724782917	-4.2754219600491705	-4.50038562505917	-5.0022677013191705	-5.80383716313917	-6.916492325949171	-8.296086651969171	-0.52984885661817	-0.50206647603817	-0.48586420505317	-0.48179216473317	-0.47669742791917	-0.48773334710817	-0.5029838809281699	-0.52414594381117	-0.55097047775017	-0.59405450313317	-0.64262328832417	-4.28678975789917	-4.26173148839917	-4.24109922139917	-4.23321996419917	-4.22517810551917	-4.23173557011917	-4.26368938176917	-4.29384122578917	-4.34537349431917	-4.395604951079171	-4.46525083272917	-0.50401069014317	-0.49469791143217	-0.47813211171917	-0.47326914756517	-0.47687972872517	-0.48632176010917	-0.49869213788817	-0.52234469144617	-0.55281959264517	-0.59941021888517	-0.63962159841317	-4.31275830952917	-4.2963093349291706	-4.2733090945991705	-4.26104961125917	-4.25948463170917	-4.26739965169917	-4.290154320889171	-4.32436977116917	-4.369038445639171	-4.4177201816391705	-4.49392924992917
90.05005005005005	-8.263053718268644	-9.668910358629976	-10.549477759397957	-10.127090183833273	-8.615709217810599	-6.819133013803157	-5.150888546439619	-3.7552157716767645	-2.6451197015285297	-1.7762281657166932	-1.1356445278815643	-0.7039582021641726	-0.4820143835723537	-0.4422961072444166	-0.5916636477521402	-0.9383074248563855	-1.4875670345586738	-2.2538477955514296	-3.27965702272089	-4.551903015734802	-6.10676683379215	-7.898695979498316	-9.606316822184999	-10.518479133226988	-10.084179963090195	-8.7989637070077	-7.370459919689316	-6.1471253389991105	-5.23919666742995	-4.622495379999337	-4.285782170477421	-4.228093445946298	-4.4537572783099755	-4.958549671215693	-5.75765296992259	-6.872860049691002	-8.247122775920744	-9.669217749155528	-10.52170432517943	-10.095799524267386	-8.594713311170173	-6.783900909944466	-5.116114877840492	-3.741478293145625	-2.6245538526063794	-1.7596147858666642	-1.1165147689157797	-0.7017412742857687	-0.47803343278384264	-0.44089887505998226	-0.5992911011649148	-0.9447551021753422	-1.505281304680886	-2.2767547249637206	-3.2955747215079882	-4.592833756561824	-6.1627742457676735	-7.951547391528786	-9.651829799605064	-10.575827602286136	-10.152643381197406	-8.83030227938382	-7.402948719717789	-6.18835163294689	-5.253414708090159	-4.640065814031568	-4.311462475726283	-4.26504977436382	-4.485967062722338	-5.000406752466354	-5.790731989820562	-6.902481168231961	-8.25888838674397	-0.48471225831674153	-0.46079642069120164	-0.444835127495878	-0.4381163669107022	-0.4373741900102605	-0.4452535801748101	-0.4562091754530927	-0.48254667819868396	-0.5074490279157526	-0.5524873142171857	-0.5946031944220912	-4.276522236297484	-4.249815358402206	-4.232994881825591	-4.2193334385331775	-4.2202659716399324	-4.231858377933566	-4.262907766475133	-4.290617518833021	-4.331713428120755	-4.382673861500994	-4.458389505487234	-0.46626784612150735	-0.456636982987643	-0.43630056946103524	-0.4330763171190509	-0.4322148147329018	-0.44099897035058866	-0.4612049674237617	-0.4813081652774108	-0.5103343728712401	-0.545219067092599	-0.5897311417836361	-4.295965024654748	-4.28280016120237	-4.2580870478199975	-4.242685433375751	-4.249063986187762	-4.253365538013319	-4.28313506078114	-4.307243284513456	-4.358607422832549	-4.4148863670827385	-4.486931786392942
90.10010010010011	-8.16485719410155	-9.531250016102714	-10.33553824541053	-9.941218656685656	-8.473872413735105	-6.69143274273139	-5.071150045957537	-3.6808080275736614	-2.592042031456244	-1.7397477852219894	-1.1116653134203376	-0.6838680727586207	-0.45934720146829244	-0.4200859626380033	-0.5761413732209142	-0.9124672617402055	-1.4557250386028902	-2.2118667247036514	-3.234726265377936	-4.475686549052541	-5.997093131338347	-7.757464757657057	-9.412417344851152	-10.304154493325445	-9.919641234956977	-8.646018344114163	-7.265793016952211	-6.058877235046775	-5.155996139215152	-4.547237529752409	-4.226287371984052	-4.172854684001821	-4.384909629687396	-4.882273384625023	-5.6856631992721605	-6.754105202659037	-8.121565950391602	-9.510903150215647	-10.334786709951771	-9.917911022506036	-8.435930504916517	-6.663761484357746	-5.029916915916205	-3.661553360303922	-2.5644809618489064	-1.719436457550798	-1.0889588605074647	-0.6765383614315508	-0.450318705438823	-0.41820595926125653	-0.5744003402822184	-0.9230831967586589	-1.4737881282300074	-2.2380324432537213	-3.247022215056024	-4.503733567043322	-6.058823510445805	-7.810029752367847	-9.469216033488179	-10.391151665833455	-9.976797815904185	-8.69148914793261	-7.284931542145804	-6.094299484286605	-5.17327063922317	-4.5671137802751725	-4.242223485563341	-4.196523628543742	-4.416549936897256	-4.926802401654382	-5.703377980834392	-6.788952523272351	-8.148673876496737	-0.4670553326903696	-0.44434774571173496	-0.42288620850802716	-0.4213198915504508	-0.4182883451112315	-0.4227565935545709	-0.44586568860862097	-0.4667039675456359	-0.49259514077758987	-0.5293109345251323	-0.5757224022094387	-4.207301013688377	-4.188960196485253	-4.167805276819568	-4.1579082628985065	-4.162945049409087	-4.173599732281439	-4.187654622551389	-4.216133771468636	-4.266417867896575	-4.326310326134532	-4.386908145388436	-0.4417466401219582	-0.43039029656482	-0.42056797233332877	-0.4153589400923487	-0.41425896739855783	-0.4191681112199671	-0.43650589495863085	-0.4549920863399931	-0.4924503218668521	-0.5251271154190414	-0.5696947764824245	-4.235043819594452	-4.208717055375202	-4.182022172400378	-4.1758799308205585	-4.1835841921273245	-4.185022544438707	-4.2044444507618595	-4.249282222483532	-4.288002754823962	-4.347341491048486	-4.40714826847176
90.15015015015015	-8.037158472772958	-9.405186301611037	-10.215232093763953	-9.804216356973022	-8.37210549035107	-6.609967265410286	-4.99116750738566	-3.6370618565443387	-2.552048910137131	-1.699496510162807	-1.0777522121537377	-0.6531786005892065	-0.43047192747621593	-0.38484928979688204	-0.539078202792894	-0.8761175765412365	-1.4191439542107047	-2.166669927930915	-3.172728826342537	-4.420505853756471	-5.924973545862028	-7.660298555835633	-9.281964967215783	-10.188887774442932	-9.802460588150288	-8.57717397264257	-7.202898600451666	-6.011294769468122	-5.11701527086635	-4.515093920118901	-4.171552690313105	-4.110415672770342	-4.333233450284337	-4.833796302844097	-5.619679106618571	-6.681556560625298	-8.020834917795302	-9.373848933012809	-10.189760326309898	-9.791434520723351	-8.333690048347165	-6.574019249504069	-4.972421951845841	-3.614724496470435	-2.527273337776951	-1.6820508764471012	-1.0541573195559601	-0.6437074864348281	-0.4190324435843326	-0.3844670516535367	-0.5395227412138943	-0.8866196693724528	-1.42912470758581	-2.2011202147864113	-3.1982003690316065	-4.434764511960105	-5.9795859891130485	-7.701899542120617	-9.358531485819478	-10.23937767834143	-9.870451595700077	-8.610141766338394	-7.220724196778272	-6.046448874410044	-5.141475987521755	-4.528956906581423	-4.192355451652264	-4.143686081922805	-4.362401106709231	-4.86715138997818	-5.633055306785478	-6.7149460559256	-8.039739726914219	-0.4352160730819183	-0.412052367465354	-0.393570367113585	-0.3835444031652426	-0.38572563039792435	-0.38797356516133275	-0.40877839977833563	-0.43200664209966916	-0.4585765566311376	-0.49630415601866323	-0.5425242003137382	-4.164607727505297	-4.137372881095088	-4.113352293732805	-4.111393599908841	-4.107112227984427	-4.115774761102294	-4.13011672261746	-4.1714583137876105	-4.207347174678781	-4.265931392225358	-4.330762997057399	-0.4096962985097562	-0.40023737484745003	-0.3801477872870564	-0.3782598770174318	-0.3801910247296362	-0.3904988524194408	-0.40502220107033293	-0.4271857384206333	-0.45857056690163017	-0.48634218096885484	-0.5380753013936962	-4.182583516077429	-4.170917737962115	-4.14204602843752	-4.132080852103165	-4.137619033598	-4.133263383912023	-4.162595782561813	-4.195657166641604	-4.240501640804487	-4.283095835936319	-4.363525919739982
90.2002002002002	-7.966045515183051	-9.289680089064053	-10.064541935547854	-9.643780609488573	-8.238701466663056	-6.5025359116384704	-4.910290343367399	-3.5552539751279597	-2.4761888711044957	-1.623383171306068	-1.0076286864141164	-0.5752248612317464	-0.34474185578802874	-0.31084608615324	-0.46700665919791284	-0.8034205568395482	-1.347867455792965	-2.0918419792874294	-3.0892015255066583	-4.32412014301877	-5.819266979380623	-7.535049402182096	-9.14386038115396	-10.014412810733461	-9.682979235760097	-8.468791205105152	-7.121108205931549	-5.950195392197694	-5.06241270298371	-4.468269539055123	-4.142610258272309	-4.085982720757935	-4.294958115088305	-4.8006180084285255	-5.570138582815974	-6.639781710366766	-7.931543799359386	-9.276806431833432	-10.046009381110737	-9.625619523141568	-8.19698858736718	-6.4677582058959775	-4.87138247654802	-3.5325424931127145	-2.4490525261677	-1.6057065321815935	-0.9758120813836415	-0.5665173005956827	-0.3420249267088547	-0.31172079171317435	-0.459998470300458	-0.8073307403877857	-1.35419267097804	-2.115531766959421	-3.111008704939471	-4.348867616835298	-5.879145841318972	-7.583868488758412	-9.195159055310803	-10.074601614855782	-9.714861170527424	-8.518555939478176	-7.145226853731028	-5.987842136415251	-5.085229214471308	-4.496657374847455	-4.165088339947444	-4.120648335394401	-4.32919580584269	-4.8241252617390264	-5.59600056779229	-6.652644197481959	-7.954202818540769	-0.3569840709610152	-0.32636148759024397	-0.31401065870274364	-0.3062089628949378	-0.30687532417793395	-0.3091995451308195	-0.331658564602982	-0.35123658626002674	-0.37818187270629394	-0.4134539325616512	-0.46298618823249454	-4.1306635228291055	-4.108566855989026	-4.086635430160517	-4.079802427669406	-4.067046522484972	-4.0859003343638	-4.0976275175581245	-4.139521021722589	-4.1791314080947615	-4.2304397283071244	-4.2931431559222695	-0.3295066929862139	-0.31693832937047844	-0.30382440106954445	-0.3002820407968969	-0.2972399926942578	-0.3117218581234748	-0.3217356700623938	-0.3432489151301119	-0.3764964534357015	-0.4170089467100817	-0.4576842714309307	-4.151049184355712	-4.1317178751770545	-4.108380458955723	-4.108706890980729	-4.1048525145655335	-4.114836203063541	-4.144326709276535	-4.164445650336623	-4.203047643538466	-4.261996182816965	-4.331250251811499
90.25025025025025	-7.879860925387891	-9.175230086521845	-9.973523873245139	-9.588701644477604	-8.219917704173408	-6.513976935413287	-4.917330651811483	-3.562127064791913	-2.488694838355536	-1.6308564881061058	-1.0105234950936337	-0.5855458361672745	-0.3550177825298431	-0.3208317212706456	-0.47369904968690457	-0.8151130021346366	-1.354416413728288	-2.097425018008338	-3.0993827851303704	-4.341655214882974	-5.82467346185834	-7.510403876683937	-9.073365304222717	-9.915469060927943	-9.5810695015741	-8.382170378523305	-7.047229511142195	-5.878699909477008	-4.9940062444042645	-4.388042268235034	-4.06754979729031	-4.015055905729889	-4.216715097800999	-4.7148281481607395	-5.482334121351892	-6.537280963004985	-7.851217032331594	-9.156501298572659	-9.954886567389307	-9.549868192419785	-8.185687111085391	-6.473112384261135	-4.875321014171482	-3.538439566564907	-2.450857577874345	-1.6106230441966973	-0.9842851897205117	-0.5695025251627072	-0.3497085985253038	-0.31390818200655507	-0.4729331805072029	-0.8141485104994151	-1.360799067751802	-2.1227341415593086	-3.1272955421917628	-4.353911583740841	-5.871634528340332	-7.559324509529423	-9.154642568235872	-9.985985074450618	-9.62999358205564	-8.417273864268951	-7.0622278989115435	-5.9258511781414125	-5.007953811475094	-4.414819831143432	-4.091242336435264	-4.038251947136474	-4.251543217015845	-4.742435847811031	-5.506049265158137	-6.569402802710771	-7.852577621054616	-0.3591248820743358	-0.33620729000170335	-0.3206506921199582	-0.31363924754993033	-0.3120051261011092	-0.3205325529391708	-0.3375268959670836	-0.3610405669741688	-0.3893379747939846	-0.42622372032574835	-0.46697250577326765	-4.057554712423281	-4.038075034343513	-4.016971763444083	-4.005768752449718	-3.999176702594663	-4.00730225717094	-4.027300586590238	-4.064642405626425	-4.108575540403403	-4.161186528175274	-4.21703722827075	-0.3407187691449906	-0.32214885889300815	-0.31075112850244013	-0.3061290527619841	-0.30997260780377023	-0.31107786803811627	-0.3370952439931178	-0.3521569612158002	-0.3858090711196781	-0.4286211327697449	-0.4667715322453974	-4.088204544367506	-4.048778780365223	-4.038089030640439	-4.018704248396875	-4.0250924964326815	-4.036594944690148	-4.046464795125212	-4.086143878026144	-4.1204213901777855	-4.171641201010488	-4.252358459158127
90.30030030030031	-7.818148876575882	-9.108794185259967	-9.871125159806606	-9.473457151833122	-8.117237619581077	-6.432322764305461	-4.856389469702097	-3.508811299273837	-2.4477653748071724	-1.6016816621603862	-0.9789972405010102	-0.5635069266290712	-0.33192292360717873	-0.28914828749862853	-0.4455592146698334	-0.7843645189455268	-1.3262342491454309	-2.0680489469792733	-3.062888475638043	-4.292166742963539	-5.764922610398645	-7.42939298230276	-8.97551544162294	-9.802912610556518	-9.458530559326277	-8.301283737686575	-6.978871974273029	-5.839673191348103	-4.9617272455624875	-4.3761807319836885	-4.045689070318102	-4.0026466697351	-4.207959503148733	-4.699318948936061	-5.45281572612453	-6.50474480908459	-7.783129507481467	-9.05844711482315	-9.821904272774534	-9.441108748129997	-8.067200244137084	-6.387185387547502	-4.827484519039996	-3.4780880869175004	-2.405784665767502	-1.5707802197441683	-0.9506975137991749	-0.5441648007346589	-0.32414593866846125	-0.2878633845335415	-0.444565208503617	-0.7869602033163986	-1.3278476788718265	-2.0948367105811965	-3.0791357481257	-4.315617289402729	-5.812346116326963	-7.4739053601481045	-9.047850713487026	-9.873419276360512	-9.517335646984897	-8.340628445098767	-7.00894767613375	-5.8676235641249805	-4.9882796205732385	-4.398719247880354	-4.076095469492126	-4.031454528903989	-4.227211793386239	-4.710319030876178	-5.485628201206091	-6.531686761487893	-7.808790065271137	-0.3331989730456708	-0.3084330923405955	-0.298149436212239	-0.28828283727527215	-0.2915368439392239	-0.2925104038325898	-0.31128558421838876	-0.3325971181885926	-0.36174826851274344	-0.3982688650724188	-0.4426835322896077	-4.049185122943028	-4.009323017142155	-4.00028526187552	-3.989097892467622	-3.983433582531045	-3.9973319215286423	-4.0184118054489435	-4.045912379029633	-4.076719775342906	-4.1442265583454905	-4.190982174356299	-0.3125171482758149	-0.3008973178224581	-0.28204574307683594	-0.28510458086539214	-0.2845035792669723	-0.28983582850853906	-0.3084764499757461	-0.32797718248686936	-0.3606200261537942	-0.393830422472389	-0.44667630935041336	-4.072869929593238	-4.040160578781465	-4.023214566581946	-4.009629365688251	-4.005793475659273	-4.028822718567891	-4.050724489323357	-4.076940021128192	-4.118131019103298	-4.164507220226931	-4.229607547853806
90.35035035035035	-7.732681238727922	-8.994051587824591	-9.74383049861999	-9.365160812355082	-8.017383738311933	-6.362420267879799	-4.793713908168956	-3.4595966609905164	-2.378375326063707	-1.52706533293739	-0.9086739145745706	-0.4826676089213574	-0.2576117702215048	-0.22291251668564604	-0.3712275659680933	-0.7133927350552518	-1.2566686214650287	-2.008965242488153	-2.9986325853087346	-4.22489863102293	-5.68279432522056	-7.344124540182495	-8.869267240409906	-9.653877069389157	-9.300116408328867	-8.191306985879947	-6.901698999929605	-5.772081241583317	-4.89853509946837	-4.31225142618967	-3.9965781333707406	-3.94373616906044	-4.157915676314825	-4.633264435298077	-5.394981897505106	-6.435583754330563	-7.703101329128792	-8.968247792735472	-9.70471250699304	-9.333736107624652	-7.967707636946686	-6.318859329565195	-4.7466303441752915	-3.4299529043776724	-2.340714098924028	-1.512857264334989	-0.8856838488030142	-0.47446594879341697	-0.24705407123904477	-0.22079421580412845	-0.37194294953639245	-0.7061289322655551	-1.2629015992158292	-2.0204564750558895	-3.017121792907774	-4.242312118331561	-5.73614359246994	-7.396346859381095	-8.924249333178134	-9.741487793372254	-9.374479524955095	-8.221286327026853	-6.934109242098484	-5.801225454713346	-4.921954833339721	-4.345129899546207	-4.026431590453575	-3.9659128557730625	-4.190242741672792	-4.679664542238089	-5.423251633758438	-6.462192512601995	-7.728389099064829	-0.26357643691650257	-0.24156019691769004	-0.22226558884305822	-0.21060648561046008	-0.21583882026946366	-0.22278404026099474	-0.2396118001348111	-0.2642873504795409	-0.28625042125528644	-0.325841188868877	-0.37358012800445156	-3.9927243447658056	-3.9658593294841245	-3.941907365388228	-3.9242703345386367	-3.923538389740079	-3.9432574878006106	-3.96242013122183	-4.000999835035676	-4.03302848601016	-4.083289806893693	-4.155824439887017	-0.24343839151060875	-0.22581788856329715	-0.21311722463662147	-0.20888061326786955	-0.20192917929884446	-0.21613514941516113	-0.2373796497585433	-0.2547561018753387	-0.28856432356422096	-0.31983051159434644	-0.36814947215013233	-4.0190716623854765	-3.996835210654375	-3.964860879255074	-3.9670758928659966	-3.9635411333804305	-3.9742551936873274	-4.001589116737408	-4.0263936592282485	-4.064118925024734	-4.113260415807957	-4.192321954541122
90.4004004004004	-7.583644337107071	-8.829653614382961	-9.54608711464302	-9.200958301103881	-7.892387379618812	-6.260964035621673	-4.717398990014454	-3.392654961880498	-2.3329977287460437	-1.4921168640124391	-0.8782004010437909	-0.4519307851005576	-0.22491704968862505	-0.1887327165358532	-0.3389423127575045	-0.678044906654625	-1.2116064975044807	-1.9487310975972338	-2.9300141682856022	-4.144520823528606	-5.588909503325592	-7.214690065701822	-8.698735928734678	-9.463052507625358	-9.116725649072697	-8.011061286057046	-6.745537698678318	-5.631862763042501	-4.77893893161048	-4.200666592271478	-3.885104534725744	-3.835444337240268	-4.051104521718276	-4.5339329245006095	-5.2832430513868776	-6.304624195196838	-7.563627125135171	-8.786759593693839	-9.52593622550192	-9.160918039586182	-7.871326364901255	-6.216485928000561	-4.678473299317125	-3.3732810289970656	-2.291679029811127	-1.4645341002158023	-0.8439844382408402	-0.4385773082984635	-0.21960581526040812	-0.1874059586542805	-0.331965108938086	-0.6807707082035481	-1.2198260981910976	-1.9731092156919392	-2.941932899679716	-4.152456250623819	-5.628601951986064	-7.26104470845005	-8.7544010317795	-9.523083153653937	-9.168128389240382	-8.057733299480631	-6.7697824763448535	-5.671535544435034	-4.8017208817115	-4.225969382345293	-3.905572219398005	-3.863355604124983	-4.091109155994845	-4.566057128342883	-5.31913863095937	-6.33585071896985	-7.579969307790163	-0.2325962056264582	-0.2081517967399498	-0.1905066819960964	-0.18417941578479283	-0.18370193680260988	-0.19507896093470736	-0.2068233419612031	-0.2304998430424539	-0.2548677284247894	-0.29481909375766	-0.3418615511284783	-3.8824779846364454	-3.8510354758335623	-3.8334047801358238	-3.8311936652314604	-3.823985886150379	-3.8361188229256253	-3.8663264354160756	-3.888291448669358	-3.927984257941099	-3.983670721766695	-4.045284939940399	-0.21181013040763194	-0.1971343134937059	-0.18436959348750315	-0.18172632978417716	-0.17538344981144316	-0.1864095696444448	-0.20930950636205034	-0.2213479785404582	-0.2511605179634013	-0.28856548895402445	-0.3358191239395359	-3.91000500025211	-3.878672855380669	-3.868200899469419	-3.8531163984436216	-3.852497990290188	-3.864543003828317	-3.886227740168807	-3.924009844573963	-3.9650305429517516	-4.015316897318318	-4.079088125134002
90.45045045045045	-7.536058028830599	-8.750982110855109	-9.468962263699794	-9.126176230834385	-7.848111490163656	-6.236301699489688	-4.7073373303441	-3.3982008687707674	-2.3393428135242815	-1.5091422970950938	-0.889246678317903	-0.48126557847137397	-0.2507453837559412	-0.21511316798036506	-0.35981503453088665	-0.6957349076657788	-1.231488895059688	-1.9653568077398686	-2.9431972399164446	-4.150876769363651	-5.60549196709924	-7.205578179264556	-8.662226434510057	-9.423127962953302	-9.075850708279429	-7.990727693394472	-6.728451507869517	-5.6322079889047405	-4.773010269228069	-4.215769035610864	-3.883845009532124	-3.8401155753879803	-4.050947539733387	-4.526098094830234	-5.267675664257533	-6.283013823080778	-7.499886949069158	-8.7213166965761	-9.440915965027813	-9.093576274765917	-7.825158894882938	-6.194602182607076	-4.677665137240497	-3.369978456098785	-2.31220266869293	-1.4820955543595071	-0.869891997680382	-0.4591684116090041	-0.24296053816330193	-0.20612809600850873	-0.3623396255065363	-0.6964279040214812	-1.2367273464544632	-1.9843196796600477	-2.96001782317194	-4.175615175638427	-5.631828490965363	-7.252159554963385	-8.737060519236996	-9.473633506567626	-9.139495770425375	-8.035712579639876	-6.760726956918976	-5.6633302137269	-4.802657035309421	-4.230659199481222	-3.9157172218819443	-3.867885220448791	-4.073005921419692	-4.54708838491735	-5.294527382752848	-6.320332727208256	-7.53556805931943	-0.2558432925039313	-0.2302960244840672	-0.21718120630493215	-0.20467370320827336	-0.210892410582095	-0.21029878214915662	-0.2282787419304452	-0.24747539655869696	-0.2791007000238063	-0.3126595876961748	-0.3555837566439313	-3.8782504638780693	-3.849181849962844	-3.8394949976011326	-3.827294401511134	-3.8215957206275286	-3.823661512372933	-3.8576921216732956	-3.889080735230953	-3.9326693413129354	-3.985370924089423	-4.040731705271493	-0.22990285049937337	-0.21638287713131021	-0.19963340006682384	-0.1940259828282564	-0.19867165939003123	-0.20413434561076071	-0.2191160048912649	-0.2359188933550848	-0.2731083504175724	-0.30605817581324696	-0.35404887421447273	-3.915072785055639	-3.880581430770683	-3.8595335916050977	-3.8552064468916725	-3.8552419540721243	-3.8604313642812236	-3.8863080989854586	-3.917082458216989	-3.9510619278085195	-4.007622716952034	-4.076963315429691
