freq_GHz	trans_5deg_0.0deg_X	trans_5deg_5.0deg_X	trans_5deg_10.0deg_X	trans_5deg_15.0deg_X	trans_5deg_20.0deg_X	trans_5deg_25.0deg_X	trans_5deg_30.0deg_X	trans_5deg_35.0deg_X	trans_5deg_40.0deg_X	trans_5deg_45.0deg_O	trans_5deg_50.0deg_X	trans_5deg_55.0deg_X	trans_5deg_60.0deg_X	trans_5deg_65.0deg_X	trans_5deg_70.0deg_X	trans_5deg_75.0deg_X	trans_5deg_80.0deg_X	trans_5deg_85.0deg_X	trans_5deg_90.0deg_X	trans_5deg_95.0deg_X	trans_5deg_100.0deg_X	trans_5deg_105.0deg_X	trans_5deg_110.0deg_X	trans_5deg_115.0deg_X	trans_5deg_120.0deg_X	trans_5deg_125.0deg_X	trans_5deg_130.0deg_X	trans_5deg_135.0deg_O	trans_5deg_140.0deg_X	trans_5deg_145.0deg_X	trans_5deg_150.0deg_X	trans_5deg_155.0deg_X	trans_5deg_160.0deg_X	trans_5deg_165.0deg_X	trans_5deg_170.0deg_X	trans_5deg_175.0deg_X	trans_5deg_180.0deg_X	trans_5deg_185.0deg_X	trans_5deg_190.0deg_X	trans_5deg_195.0deg_X	trans_5deg_200.0deg_X	trans_5deg_205.0deg_X	trans_5deg_210.0deg_X	trans_5deg_215.0deg_X	trans_5deg_220.0deg_X	trans_5deg_225.0deg_E	trans_5deg_230.0deg_X	trans_5deg_235.0deg_X	trans_5deg_240.0deg_X	trans_5deg_245.0deg_X	trans_5deg_250.0deg_X	trans_5deg_255.0deg_X	trans_5deg_260.0deg_X	trans_5deg_265.0deg_X	trans_5deg_270.0deg_X	trans_5deg_275.0deg_X	trans_5deg_280.0deg_X	trans_5deg_285.0deg_X	trans_5deg_290.0deg_X	trans_5deg_295.0deg_X	trans_5deg_300.0deg_X	trans_5deg_305.0deg_X	trans_5deg_310.0deg_X	trans_5deg_315.0deg_E	trans_5deg_320.0deg_X	trans_5deg_325.0deg_X	trans_5deg_330.0deg_X	trans_5deg_335.0deg_X	trans_5deg_340.0deg_X	trans_5deg_345.0deg_X	trans_5deg_350.0deg_X	trans_5deg_355.0deg_X	trans_5deg_360.0deg_X
140.0	-7.312187967732712	-7.386476335962713	-6.625900087792712	-5.451854048212712	-4.280380545092712	-3.274729071092712	-2.500182447862712	-1.952793059782712	-1.643027482462712	-1.550239859062712	-1.691683588462712	-2.061225471932712	-2.659140882922712	-3.504302320912712	-4.555228529412712	-5.770342646082712	-6.965617475942713	-7.687313375902712	-7.519669352012713	-6.527395067652712	-5.198057947592712	-3.8732970337427117	-2.740311441852712	-1.816655097442712	-1.1211752276027118	-0.635561106639712	-0.360728470521712	-0.280210105614712	-0.40307110353071196	-0.734870133833712	-1.2577492575227118	-2.0104225258427117	-2.976496277292712	-4.177796659902713	-5.521065531212712	-6.846732435662712	-7.7080300430827124	-7.671018419702713	-6.801883039912712	-5.575304327442712	-4.364188967182712	-3.333929357962712	-2.536160765132712	-1.985602674922712	-1.660041866732712	-1.553278623062712	-1.6718763689527119	-2.012454328972712	-2.588360844092712	-3.4037376026727117	-4.426495371302712	-5.592684565022712	-6.724986849262712	-7.410974321802712	-7.235109148462713	-6.252003012142713	-4.946284590202712	-3.624834595162712	-2.487475214442712	-1.562886772592712	-0.8551559428747121	-0.359436897473712	-0.064417092042312	0.012989085254988	-0.085010519163912	-0.39196947021971196	-0.9176453928517121	-1.6345766167227118	-2.576836882072712	-3.757963238192712	-5.070593176322713	-6.385557947592712	-7.302036581472712
140.08008008008008	-7.276337746165161	-7.296255288203145	-6.507673010947549	-5.3477112398729005	-4.190431348452866	-3.196911293846315	-2.4308519286056534	-1.8900456839244792	-1.5855602472437977	-1.4916510792146582	-1.6322204247097933	-1.9928871711982632	-2.5766682726436807	-3.4009916650147938	-4.4325277806773205	-5.630692185958785	-6.803238913486675	-7.5459826557257905	-7.443188516844571	-6.5270088818168555	-5.244677147373456	-3.9386309948699476	-2.8075056046420266	-1.8836846289826559	-1.1904816158774898	-0.7087990267701482	-0.4324962215642949	-0.35953998749695615	-0.48144206200919976	-0.8045525103567783	-1.3387004896178014	-2.084281191474096	-3.049029346600794	-4.241307207910307	-5.568150443375895	-6.8391924003643805	-7.637483937506853	-7.555374461868001	-6.678270082593891	-5.468498900030656	-4.277730830932192	-3.2634976054819806	-2.4809558929909667	-1.9332712800615661	-1.6081156529161207	-1.5051938380245975	-1.6162978656765308	-1.9449496039116256	-2.5139766843397764	-3.307270301977296	-4.304170456635987	-5.459177187992558	-6.584489612275063	-7.304734198915053	-7.193030578736116	-6.273724800250929	-5.003792087260382	-3.705290195957375	-2.5688828569026465	-1.641901870527329	-0.9317974928709947	-0.44000917314216137	-0.14540829170750827	-0.06082402181471826	-0.1659745608807357	-0.47792886072865987	-0.9918924596541702	-1.7246442531075505	-2.6752442641943803	-3.846197300745555	-5.1469246492888745	-6.418125653669153	-7.274408576152899
140.16016016016016	-7.087728092576396	-7.063753499717033	-6.278022897691906	-5.141791140187372	-4.012688399866121	-3.053174788605601	-2.2926618781632597	-1.7697759569131801	-1.470417093663891	-1.3785247504039213	-1.5196902647732904	-1.8705948398700873	-2.4437557365347615	-3.2530361127182843	-4.25815328853398	-5.43672167510439	-6.5986472830774625	-7.360692962950275	-7.312299428475954	-6.443898118731032	-5.2065822367760095	-3.92900773887571	-2.8148473049748195	-1.9023341738400146	-1.214807909246401	-0.7339643515207813	-0.45401638583964626	-0.38331158698093637	-0.5094837313243336	-0.8269770007770306	-1.3545764705778023	-2.108976684734739	-3.07063856838622	-4.240255694084959	-5.545595269137309	-6.775224500312973	-7.506119750365603	-7.376274908706922	-6.477167992343357	-5.2826135159350995	-4.118207395334239	-3.1184192776183846	-2.3525872054739807	-1.81354094203317	-1.4899497875420795	-1.3971557895985056	-1.4994870917881356	-1.8302222685585057	-2.38281223373326	-3.160531918288655	-4.144156091644	-5.272330931676862	-6.38061027634457	-7.098241127129265	-7.040213617673443	-6.192457365513275	-4.971180035501015	-3.694465270233108	-2.5833010354488137	-1.6704636129228876	-0.965502090956294	-0.47648348015905667	-0.18488628583811992	-0.09607199100205141	-0.19788032933035912	-0.5148260242761675	-1.0299442481067813	-1.7437288574547394	-2.673975665840085	-3.8235206671628674	-5.082790278174528	-6.298089107913716	-7.083514746564032
140.24024024024024	-7.051897189284808	-6.945711748742379	-6.134431114425983	-5.0014091812452905	-3.8840342112178394	-2.931510338912582	-2.191207126094622	-1.6812879881746214	-1.3855630381331494	-1.3026061143957917	-1.4363391889813175	-1.7866329957057625	-2.3547147480232113	-3.149337788604954	-4.144047336177178	-5.308975444543128	-6.462917412364001	-7.2334996286452595	-7.244335692929517	-6.459902190593294	-5.259686939706621	-4.013004424692954	-2.9045059952997407	-1.996418962247007	-1.3122591199136437	-0.8298112907584032	-0.5518490437656635	-0.47656857913885314	-0.5982465770888352	-0.9242428927832795	-1.4485760866361657	-2.196510425201362	-3.1561804225833745	-4.321097787791934	-5.595087204606682	-6.775941247340832	-7.431375020972431	-7.240224951385319	-6.3334956512797955	-5.146316390859131	-3.9899056967297306	-3.01188316073126	-2.253295605607354	-1.7222482388421578	-1.4131819976384048	-1.3137915356403858	-1.4236005408647106	-1.7490718583118285	-2.2850625085415284	-3.0572379365758544	-4.028739900563395	-5.14262286893493	-6.2523182490974545	-7.001365249225651	-7.00590782624261	-6.230182757964917	-5.049675670836261	-3.8016625159474913	-2.6831470702839444	-1.7703863396707897	-1.0649023446244232	-0.5737550289083293	-0.2856005820444615	-0.1936237680506808	-0.2975462244637824	-0.6067198829984561	-1.12462709688019	-1.8393683003953256	-2.7734187673160178	-3.9256365664381834	-5.166322401692782	-6.334264289873898	-7.0388967339342665
140.32032032032032	-6.8685124627662715	-6.723497111838387	-5.913402544804841	-4.7966401248442905	-3.7114828946270517	-2.782196206805799	-2.057087878282172	-1.551608069004532	-1.2619294742760923	-1.183079190516473	-1.312180579679417	-1.6584428647436418	-2.215543872078831	-3.0005107883810163	-3.973105897257106	-5.103879408636386	-6.242099380424665	-7.0357702008284795	-7.107702202580921	-6.3858530665389415	-5.229712900417427	-4.012604196352507	-2.912187776843254	-2.0126604967864363	-1.3279401779496907	-0.8478150789148164	-0.5779247136752355	-0.4995700134240633	-0.6205584488777682	-0.9466376853121719	-1.4690538988088335	-2.2076006206144267	-3.1654686938138585	-4.317250915557956	-5.560545158890623	-6.6942815807675204	-7.278832221130094	-7.0451142540482135	-6.122598243626018	-4.961907011446321	-3.8260978066120157	-2.8652155636399312	-2.1255031487228724	-1.6023754791523517	-1.288791834492578	-1.1986602522872338	-1.3016059555735404	-1.620552829992152	-2.1578454122482023	-2.912912760253581	-3.852863060540659	-4.947206006830193	-6.0342700577707316	-6.798565926449871	-6.861340118796433	-6.145023169656626	-5.020888884461541	-3.786334120907057	-2.6971356136799094	-1.7961117041946053	-1.0920486848292386	-0.6079757638583237	-0.31961124898627324	-0.2268853754258488	-0.3349147685305601	-0.6346973928545199	-1.1442884311392603	-1.8553210687445667	-2.7733674883068176	-3.8975933634617745	-5.101586286324544	-6.222111976255698	-6.8602442959377745
140.4004004004004	-6.859530557711976	-6.664336444107804	-5.826545664223099	-4.706755278191626	-3.6281835665037163	-2.7039886904785595	-1.9925499324799603	-1.4962229229524724	-1.2110089422466068	-1.1309232868952956	-1.2564110033659461	-1.5997303117727137	-2.1412734734465375	-2.914629452664736	-3.8749841266396223	-5.003373692074359	-6.140813803619046	-6.96632987144344	-7.079985465819612	-6.422080934911379	-5.314422659411795	-4.1187191515095405	-3.0282146431583983	-2.132936241116546	-1.4439779562609298	-0.9580500034852778	-0.685974121477123	-0.6113640188952112	-0.7352992954570702	-1.0495497482021003	-1.571361034212411	-2.3180422047528415	-3.2665637971069756	-4.40826689369927	-5.637744723101655	-6.7299727997039716	-7.274823114286159	-6.996027745007474	-6.051719264546482	-4.878457786293407	-3.7480789345079497	-2.794690664786767	-2.0604478596613003	-1.5402581549365255	-1.240458226388668	-1.1460769028142035	-1.2479078077248842	-1.5555047674689186	-2.077417862751291	-2.820196971008419	-3.7564877609036063	-4.837992281974068	-5.931164433140887	-6.731239467735451	-6.847748923912655	-6.196486486411499	-5.107676624859512	-3.904641843976157	-2.819122656894954	-1.9134314871336222	-1.2151630780031417	-0.7266714481281166	-0.4323223356090372	-0.34338132939775823	-0.4454915789893243	-0.7535641394721001	-1.260981883819818	-1.9672636768238219	-2.889244539929368	-4.006296031314455	-5.188054027940485	-6.2617166178023105	-6.844344645976169
140.48048048048048	-6.704227729073748	-6.4658754403592	-5.626471292694104	-4.530525938707501	-3.4796660743035974	-2.5759195932407417	-1.8792751825296894	-1.386746262831849	-1.100052976218453	-1.0167681743168142	-1.1433927853556303	-1.475966276535871	-2.0196676463781857	-2.785216958137528	-3.7225984512198407	-4.826707328226388	-5.943803364277196	-6.772669584012592	-6.943836089914678	-6.344407275819826	-5.293564687088587	-4.131245920434683	-3.05392996990126	-2.1646500380209304	-1.4840481809341455	-1.0043079983798529	-0.7279845186225335	-0.6513016365363284	-0.7741392079459724	-1.0984483171533954	-1.6189498484376585	-2.3619587122557673	-3.3047763236351053	-4.426105997055585	-5.6203326156948075	-6.652170853758929	-7.119984524566514	-6.795204177821272	-5.864128955679929	-4.713449865672846	-3.614394258272274	-2.67983015253852	-1.95706345387209	-1.443005038276442	-1.137961530293827	-1.0447167496431433	-1.1480271875372527	-1.449414468567312	-1.9683357822717287	-2.6969757626050335	-3.6095587192440433	-4.673704791176385	-5.74218920204536	-6.543443858269641	-6.707638261738365	-6.127062237128351	-5.092179907878462	-3.918124414601255	-2.852569889562997	-1.958495471758945	-1.2606928926744123	-0.7749184044321432	-0.48384384055132085	-0.39133437322864156	-0.5002768437111668	-0.8076455670127697	-1.3165344241585593	-2.021199947549728	-2.9264028969164526	-4.019187852247924	-5.162658796835492	-6.170491939733398	-6.695745148287349
140.56056056056056	-6.71812515149429	-6.408119927229436	-5.530841242740487	-4.422341867071147	-3.3662091330678634	-2.4758541374554204	-1.7836676893817967	-1.3028873240348096	-1.0274361078428123	-0.9409584842701615	-1.0703523450726462	-1.400763611951917	-1.935668577001827	-2.6871403920438293	-3.6233091464732996	-4.726207416267293	-5.852409506991047	-6.723283173500186	-6.96729771062618	-6.441403227220803	-5.4241458212695015	-4.264868124883734	-3.185119979550501	-2.2907867694652553	-1.6007526899937834	-1.1140428332137833	-0.8423534802901417	-0.769377879367527	-0.8872350508563067	-1.2118463942790987	-1.7378377702512309	-2.4785422210160553	-3.4271143142031133	-4.550623439383333	-5.732818803091383	-6.727412799983796	-7.122814537463057	-6.7376592873384835	-5.775369466179845	-4.607219191577873	-3.5114083650969223	-2.5799694064182233	-1.8702715782630979	-1.3650125129604251	-1.0710492350018874	-0.9734579489331394	-1.0723684500497372	-1.3762832302998347	-1.8849525541666614	-2.60807164443491	-3.517413232952899	-4.581696799146922	-5.672125724277033	-6.52813471168422	-6.755231891242286	-6.237787145093737	-5.244939986939891	-4.071241650911552	-3.003335779068068	-2.0990687073430925	-1.392020095983763	-0.9020896113611352	-0.6090401067326857	-0.5191023256625678	-0.629747592048812	-0.926836799865238	-1.4358349153666154	-2.1510088148309103	-3.0678348217220215	-4.156392478423493	-5.29896030392821	-6.273664761411335	-6.723347923589645
140.64064064064064	-6.599089384331343	-6.255183434242357	-5.36816415511766	-4.280824309489566	-3.2420902340610964	-2.3733302434932186	-1.6891324435478818	-1.212663764841855	-0.941209860226594	-0.8595941437398122	-0.9865247797696052	-1.3051447114325134	-1.832926095913296	-2.5714625226544374	-3.4926026375905743	-4.584530714410235	-5.701901383840453	-6.593765267389906	-6.87092795435501	-6.391876215947979	-5.422131605232866	-4.2927117008997095	-3.229542703379329	-2.3535995703083006	-1.6666764232264977	-1.185751467984275	-0.9105794988374816	-0.8404699221642616	-0.9592682881056854	-1.2848292696712516	-1.8079123007876474	-2.554389050074436	-3.4871507829556654	-4.5921452291388105	-5.749602544551768	-6.6927175989778025	-7.0322479323563325	-6.6097510383775155	-5.632931294989693	-4.482198729538955	-3.400698172804391	-2.4814709593318565	-1.7800371286598926	-1.2791554953055668	-0.988058527980415	-0.8949879121037305	-0.9889549149548537	-1.2853947892377293	-1.7909219595659776	-2.502815321768641	-3.392634979368671	-4.4421875975808724	-5.519844824615686	-6.387518067988354	-6.653890855090271	-6.19452741030147	-5.237792635594025	-4.1128431368967755	-3.061769276904584	-2.171990631588979	-1.4778792089812822	-0.9840716754961678	-0.6926572316416829	-0.59994493132467	-0.7088431981008163	-1.0190968173494206	-1.5292790622369667	-2.2326967415695287	-3.1339551980254043	-4.197766308321028	-5.297430943932813	-6.214915053156084	-6.592389306761593
140.72072072072072	-6.62002015093045	-6.203536868952611	-5.279581797878556	-4.16563240451162	-3.134120786302071	-2.264075092154323	-1.5875831603977468	-1.115860117238828	-0.8483773725545938	-0.7723463121862875	-0.8926326130984856	-1.220463641919909	-1.7382994759249542	-2.4742836692316206	-3.390489511449098	-4.480965117938016	-5.609556393371981	-6.536520727907927	-6.872412623375765	-6.468193494305856	-5.54488535807982	-4.427445632706036	-3.3670827051536043	-2.4771882690821627	-1.7955710176923432	-1.3158283467741445	-1.0455560198797302	-0.9678096608023429	-1.089970272728289	-1.4184611464477483	-1.944481731320271	-2.679320915108649	-3.621770912254865	-4.719275068384685	-5.855958197353063	-6.75170080705045	-7.029144722924504	-6.54344819666126	-5.53305901042162	-4.369430973508647	-3.2849898443606294	-2.376664438546936	-1.6858272367762153	-1.192007657435765	-0.899641275730693	-0.8109643242403504	-0.9100722201254855	-1.197241863473783	-1.7015671566806296	-2.409021145380179	-3.299355790206305	-4.353749388830719	-5.438077520467926	-6.3365407310136925	-6.677940606856756	-6.2844024110520715	-5.36834831259937	-4.2538652611271175	-3.1989432259709916	-2.3082773790774778	-1.606764665384325	-1.1156117871018927	-0.8317911322077123	-0.7392559253439647	-0.8467476639682529	-1.147275384268379	-1.6656886090045953	-2.37256316000937	-3.274953740998469	-4.350556427083154	-5.430749139058919	-6.304459187147117	-6.618436699304684
