freq_GHz	trans_5deg_0.0deg_X	trans_5deg_5.0deg_X	trans_5deg_10.0deg_X	trans_5deg_15.0deg_X	trans_5deg_20.0deg_X	trans_5deg_25.0deg_X	trans_5deg_30.0deg_X	trans_5deg_35.0deg_X	trans_5deg_40.0deg_X	trans_5deg_45.0deg_E	trans_5deg_50.0deg_X	trans_5deg_55.0deg_X	trans_5deg_60.0deg_X	trans_5deg_65.0deg_X	trans_5deg_70.0deg_X	trans_5deg_75.0deg_X	trans_5deg_80.0deg_X	trans_5deg_85.0deg_X	trans_5deg_90.0deg_X	trans_5deg_95.0deg_X	trans_5deg_100.0deg_X	trans_5deg_105.0deg_X	trans_5deg_110.0deg_X	trans_5deg_115.0deg_X	trans_5deg_120.0deg_X	trans_5deg_125.0deg_X	trans_5deg_130.0deg_X	trans_5deg_135.0deg_O	trans_5deg_140.0deg_X	trans_5deg_145.0deg_X	trans_5deg_150.0deg_X	trans_5deg_155.0deg_X	trans_5deg_160.0deg_X	trans_5deg_165.0deg_X	trans_5deg_170.0deg_X	trans_5deg_175.0deg_X	trans_5deg_180.0deg_X	trans_5deg_185.0deg_X	trans_5deg_190.0deg_X	trans_5deg_195.0deg_X	trans_5deg_200.0deg_X	trans_5deg_205.0deg_X	trans_5deg_210.0deg_X	trans_5deg_215.0deg_X	trans_5deg_220.0deg_X	trans_5deg_225.0deg_E	trans_5deg_230.0deg_X	trans_5deg_235.0deg_X	trans_5deg_240.0deg_X	trans_5deg_245.0deg_X	trans_5deg_250.0deg_X	trans_5deg_255.0deg_X	trans_5deg_260.0deg_X	trans_5deg_265.0deg_X	trans_5deg_270.0deg_X	trans_5deg_275.0deg_X	trans_5deg_280.0deg_X	trans_5deg_285.0deg_X	trans_5deg_290.0deg_X	trans_5deg_295.0deg_X	trans_5deg_300.0deg_X	trans_5deg_305.0deg_X	trans_5deg_310.0deg_X	trans_5deg_315.0deg_O	trans_5deg_320.0deg_X	trans_5deg_325.0deg_X	trans_5deg_330.0deg_X	trans_5deg_335.0deg_X	trans_5deg_340.0deg_X	trans_5deg_345.0deg_X	trans_5deg_350.0deg_X	trans_5deg_355.0deg_X	trans_5deg_360.0deg_X
140.0	-9.994788699433395	-10.592972331323395	-9.533706240933395	-7.773617797183395	-6.1097703507433945	-4.797079615873395	-3.8032200863833947	-3.1341343453433947	-2.762430720613395	-2.648712210943395	-2.813937478353395	-3.244885020543395	-3.971858554173395	-5.018121295263395	-6.393239074033395	-8.097020678803394	-9.821615748693395	-10.673368983523394	-9.818276934903395	-7.9211612275133945	-5.987344794553395	-4.334823184293395	-3.004534058853395	-1.9791441491133952	-1.2264339259133952	-0.6995288660983949	-0.404193841503395	-0.31992366223139496	-0.43935018091039496	-0.779161267564395	-1.3265026143033951	-2.133920960713395	-3.210626654913395	-4.5875416329333945	-6.305852942753395	-8.272790484713395	-10.039561801223394	-10.597972445723395	-9.509300761503395	-7.763716750433395	-6.096898608493395	-4.772404723453395	-3.800715976043395	-3.127876334473395	-2.742729478163395	-2.629020266813395	-2.778128199863395	-3.204007439893395	-3.922917895603395	-4.958774619383395	-6.330447249693395	-8.002152018833394	-9.695428424163396	-10.504274897823395	-9.633813433933394	-7.7437191536833945	-5.844276957793395	-4.177439742373394	-2.8572595646833947	-1.826416187573395	-1.0710120728433952	-0.553040437982395	-0.251661293790395	-0.168037616298395	-0.28674023656639497	-0.623000197694395	-1.1899312069833952	-1.989727788253395	-3.055617623613395	-4.459769301703395	-6.155198149963395	-8.139730029393395	-9.943765216153395
140.08008008008008	-9.754672445650547	-10.327972738566137	-9.32065878396474	-7.635089103836113	-6.013136943856306	-4.717892798529706	-3.749314710260205	-3.08614999319699	-2.7180961941578814	-2.6063233328314643	-2.7657776482289926	-3.185849102837531	-3.907169275407183	-4.927468851596174	-6.272389065826909	-7.928468175312492	-9.566347121188393	-10.368302461736807	-9.569637057967169	-7.753353519314005	-5.873008810556801	-4.259182532819131	-2.949598321878489	-1.9350470041541048	-1.192269296334114	-0.679152730482221	-0.385456931617464	-0.3009106144226971	-0.42241954715352165	-0.7558933023476289	-1.3040925304444544	-2.1010962875802623	-3.1631225071420435	-4.521683687633888	-6.201417563037214	-8.111964849100795	-9.797738432244875	-10.335392823022993	-9.296589604087279	-7.61598779055527	-6.000642077181672	-4.701415314884792	-3.746415010042507	-3.077665558761425	-2.697868357143897	-2.5842371790722645	-2.7334785551621152	-3.1443603391528767	-3.8559320564436406	-4.87804855737132	-6.208189688843546	-7.820467333137146	-9.441224627023862	-10.204975266575856	-9.390145268360062	-7.578130167837899	-5.735426112296933	-4.103571949496869	-2.8091264350557372	-1.7908310318167366	-1.035320733300772	-0.5327899992254258	-0.23222390689717065	-0.14841767693571115	-0.2686505845859696	-0.6027098992111225	-1.163236769660181	-1.9505059818904427	-3.012868989769233	-4.38583642221573	-6.04825079639305	-7.9748694564516365	-9.708689459530166
140.16016016016016	-9.503069512687683	-10.04287401040525	-9.076354747271505	-7.43809914586343	-5.864673119734163	-4.585279416727167	-3.6322309867981093	-2.981347983515497	-2.6096131414657573	-2.5008583658054677	-2.6557780987264588	-3.077347802415357	-3.7829550765754565	-4.7890966859498905	-6.109727226792591	-7.717485709205974	-9.322899699782868	-10.098221996214818	-9.34594563676305	-7.595207064686514	-5.757484927883534	-4.159431176592315	-2.8591031600765597	-1.8421816779045688	-1.1069064774822568	-0.593705790926404	-0.29484481774117033	-0.21737336219113496	-0.33481341257559044	-0.6674907073557255	-1.2161533823950796	-2.0034014378863003	-3.0651213022289423	-4.409037108152716	-6.070242924464125	-7.938818852074803	-9.574635915897312	-10.064123833149592	-9.06243068794612	-7.432164453026173	-5.848084434707096	-4.573183018376627	-3.632348036712483	-2.970166272682814	-2.5925470340891508	-2.484934802024967	-2.6276775983690306	-3.035502592691223	-3.72613702566891	-4.733544507397508	-6.039888339213292	-7.615089863000458	-9.175473890716573	-9.924463177324418	-9.161930148875662	-7.418565316929188	-5.610947454984445	-4.001429348947109	-2.713681230999773	-1.703156774917872	-0.952339671188585	-0.44371317152728795	-0.14183798668166564	-0.060231871315538955	-0.17773462833628606	-0.5132312857315632	-1.0693645554534879	-1.8492421986610055	-2.9044188059127665	-4.2739573013946375	-5.917063970077779	-7.793219988502401	-9.461221965790546
140.24024024024024	-9.249733950347073	-9.731990155213893	-8.812649090787133	-7.233771322425655	-5.704790964202527	-4.462778600901593	-3.5354337037766967	-2.8895721761879263	-2.523919185416754	-2.4203061710850133	-2.5834716874070858	-2.9948662527256147	-3.686005793231321	-4.680786073803605	-5.963765344519615	-7.534485893979742	-9.062052832410737	-9.78712796992284	-9.089243066623164	-7.430982131201145	-5.648406816014022	-4.085915787146693	-2.8087879713426673	-1.8143034139432375	-1.0839907074740183	-0.5721217330034111	-0.2888103520512736	-0.2042314862316095	-0.3213303569440027	-0.6507275591974414	-1.1972972778060007	-1.9789737130664513	-3.027804861259966	-4.354616793481049	-5.970611185343724	-7.777637893791539	-9.314121257493257	-9.75706327540128	-8.809907566374761	-7.233789257520639	-5.695820382824689	-4.4492592393305115	-3.5240463684894885	-2.8738354044167242	-2.5051477768619193	-2.397597920486604	-2.5388722567147424	-2.9517668171225218	-3.631305266848138	-4.621319078882405	-5.894205267785561	-7.422675312874336	-8.919785247249417	-9.621287757982842	-8.919371435653256	-7.259432573272976	-5.505104625965254	-3.932944188660746	-2.662562030627172	-1.668900930909874	-0.928894503934538	-0.4261290792285827	-0.13156629205350812	-0.048702636250447316	-0.16301893117716704	-0.4950703461838113	-1.04410373436376	-1.827441734650086	-2.8688585633459125	-4.214081521924684	-5.80922387496889	-7.6339364607242715	-9.20825230221644
140.32032032032032	-8.979213581696177	-9.446722357862873	-8.549741929982089	-7.034894765939043	-5.546840448421979	-4.330468496431632	-3.407460668562625	-2.7787468352449665	-2.4173410869796585	-2.307951768506092	-2.4680622287675056	-2.8752214548511614	-3.5607387683310834	-4.5408628855874165	-5.794098667694177	-7.306812476129244	-8.782240376723093	-9.50006843713358	-8.857021689559625	-7.273559641695432	-5.542729742199993	-3.9985671050769986	-2.729589810025	-1.7399198745471702	-1.0083910591013712	-0.5023370751155689	-0.21339784657468155	-0.1326642294880036	-0.2514921567819785	-0.5786365604980653	-1.1187934477143961	-1.8985845810178918	-2.9348208460625402	-4.247764466430093	-5.839856159960763	-7.593307236200574	-9.057221824846767	-9.470034141824467	-8.540167057029414	-7.034549132510183	-5.541260934352889	-4.316928344943673	-3.406326849088394	-2.769642735648662	-2.4022785407537133	-2.2923680235117314	-2.432177284008018	-2.831220693920462	-3.5057890828310256	-4.472942821284433	-5.719412424446053	-7.198629828692471	-8.642365412454787	-9.33168857618337	-8.683272684207651	-7.103383842556171	-5.3967003872663355	-3.846432682775517	-2.5839191120516065	-1.5963710756774097	-0.8520989615761526	-0.35333057804927265	-0.06154903900210175	0.025242184776221487	-0.09520657415941128	-0.41896125793080957	-0.9685761884051294	-1.7399054298219865	-2.77192056957307	-4.102166114054869	-5.679912009895239	-7.444052069780998	-8.953959166970193
140.4004004004004	-8.7981968664086	-9.197762595582038	-8.348160850929041	-6.8782525581020195	-5.419508544831354	-4.22984385543971	-3.3305848449644033	-2.7063101400580063	-2.3539556607939525	-2.2544827951021214	-2.4072296880079773	-2.8069246417279676	-3.4851238568222027	-4.444123701346199	-5.680402323584991	-7.147465503784263	-8.567136854560584	-9.26312589245425	-8.664415444751823	-7.149140287147501	-5.467747384537808	-3.9615732707637217	-2.717786686137855	-1.7357258611100759	-1.01682538658887	-0.5117959385799197	-0.22452917005715056	-0.1411588844168479	-0.2603790074027052	-0.5808615338435049	-1.119541549522198	-1.891101954400817	-2.9116004817005177	-4.208665656193043	-5.766821207162894	-7.476703626914361	-8.878920933441425	-9.249801393566162	-8.347661568531525	-6.881546815051088	-5.417554207928632	-4.217295525252002	-3.319322108082311	-2.6893550992188566	-2.3359549361136516	-2.225458116796845	-2.364814825898136	-2.7580005049244933	-3.4201381763159864	-4.373546050295218	-5.592933698995821	-7.027525500668257	-8.421946043781665	-9.0982871846156	-8.496105184844694	-6.985898409097832	-5.331459316342493	-3.808723459072801	-2.5733739671577043	-1.5947960813842605	-0.8609041096071552	-0.36269860424352346	-0.06873712078136388	0.016920543385003983	-0.09971001026613224	-0.4193983996512235	-0.9672024528638519	-1.7302263541379945	-2.751428992957795	-4.05689167433068	-5.600445175373696	-7.314295477868305	-8.765934601737571
140.48048048048048	-8.514413720236606	-8.871799759415476	-8.06311355169752	-6.655415783870874	-5.272212112727173	-4.107050822401254	-3.218142810624821	-2.6033580028456282	-2.2533202791602513	-2.145207390505895	-2.296687682205806	-2.6912966230116027	-3.3528838820830162	-4.291775920825395	-5.483439629949632	-6.91108991264613	-8.268302847050698	-8.948425680764904	-8.410474864305431	-6.977420826668327	-5.347631193593243	-3.8660243593052175	-2.6376041604425726	-1.6716911997756363	-0.948991719940711	-0.45015075364798096	-0.1655527753389412	-0.08071064343251133	-0.2010663037688495	-0.5226024084135312	-1.0542678676437713	-1.821652862493322	-2.8329936130854554	-4.101567782175337	-5.626820710062252	-7.271667957046734	-8.589400054907804	-8.920034739088866	-8.073921362293735	-6.671242763786851	-5.262075469756842	-4.097294641065637	-3.2162451068478544	-2.5979500186547284	-2.2394920538355074	-2.131783565336138	-2.269120443781994	-2.648860271007189	-3.293361970708031	-4.228111490208908	-5.410991469395699	-6.798996478327541	-8.128848810187758	-8.783992539396646	-8.240493921643088	-6.813620841994694	-5.208519952524654	-3.7126301170024245	-2.4979657207791788	-1.52448210353188	-0.7939243208419392	-0.29681877456816075	-0.00692741126771897	0.07558973710253311	-0.04104760262903882	-0.36250117752800237	-0.8998591682448045	-1.6556385366292974	-2.664528156277826	-3.945336014395997	-5.459708792045104	-7.106448449630129	-8.464868893229877
140.56056056056056	-8.350943392488203	-8.660485383060287	-7.846069259958405	-6.4760384243672116	-5.121353350270565	-3.974793198495638	-3.1099122051777903	-2.5117335721922442	-2.1671226009399516	-2.068025500831423	-2.214542927235147	-2.605565740448591	-3.257883585634748	-4.172264299023687	-5.350674375664799	-6.727110514206841	-8.060635727477042	-8.738020909237322	-8.259570505438253	-6.900417508690974	-5.315688768929331	-3.8611749234282087	-2.6426580941792994	-1.6755127577800297	-0.968397495237299	-0.4703257876237604	-0.18883212553622908	-0.10466135754937747	-0.21834709618413561	-0.5395947494014649	-1.0713169063160055	-1.834813677423023	-2.8400870010582984	-4.102572680626188	-5.594364359955547	-7.201226419070895	-8.439049882009563	-8.718348247185892	-7.862428837380907	-6.486416356492627	-5.114785680215149	-3.968343253284547	-3.1074646766532252	-2.500207058447119	-2.149717098867239	-2.0426246508040156	-2.1798066285320234	-2.559909917603155	-3.1982052487599826	-4.108423126504317	-5.269669762748212	-6.6180207444434584	-7.916780143801227	-8.575219528478844	-8.098580857212706	-6.738846203141064	-5.1767230958992805	-3.708501157488319	-2.5074939256775175	-1.53892836118032	-0.8133269107797995	-0.31860771658959813	-0.03073250498288045	0.05026360087653627	-0.06437494833294788	-0.38105341744431587	-0.917412362031307	-1.6707890956415314	-2.6788541336641547	-3.947610600845597	-5.42824999100806	-7.034665234131315	-8.310064273707944
140.64064064064064	-8.14581583922774	-8.397852543902012	-7.620095837174668	-6.300467451002011	-4.9765466387887605	-3.864205593052988	-3.012571009979943	-2.421392905890251	-2.08882551049934	-1.9886813561802805	-2.1286777046187586	-2.5099704737595694	-3.139842838803184	-4.049391325474691	-5.195419510031803	-6.542435794449726	-7.831190590339992	-8.51241058147525	-8.085899713347358	-6.789798056824772	-5.245571214225323	-3.8142107883312426	-2.611067273068318	-1.6516811540512275	-0.9475236618096534	-0.44828377045980117	-0.16188378861214014	-0.0818140507877687	-0.20190470891074594	-0.5256582894809974	-1.052501016618993	-1.8048172909415463	-2.802651153025431	-4.042583173882051	-5.509176039908032	-7.059253512152118	-8.239696386642752	-8.47700755893709	-7.644560137971826	-6.315030518427926	-4.973399763175787	-3.8587387571745104	-3.0135201829779414	-2.413608045018799	-2.072103774775856	-1.963700017836556	-2.0978279180066064	-2.471901887122344	-3.085901142189561	-3.9827586651796247	-5.118716840819239	-6.433710979339315	-7.693336166968881	-8.349334817460953	-7.922738230810062	-6.624958727997585	-5.098410017327404	-3.663502857321722	-2.472928104647176	-1.51213556529456	-0.7909963259915842	-0.2998534398426957	-0.008399173965596318	0.0691885263630724	-0.04339963265716727	-0.3623546301753308	-0.8946976651034955	-1.637917574883377	-2.6337758203106065	-3.880436298909066	-5.340051450955018	-6.88622656808421	-8.092094616556626
140.72072072072072	-7.978593282628065	-8.183426888968516	-7.388161721290497	-6.092292001414822	-4.808560497880498	-3.7283323410134708	-2.8889112684941916	-2.3113143849693265	-1.9772409842659036	-1.8787533203493272	-2.0202096955994167	-2.40342628609248	-3.02629934965266	-3.9117412672129297	-5.030389323726173	-6.3504775642023	-7.608820311413741	-8.282201945006983	-7.92180260857293	-6.697308379011309	-5.207145057044102	-3.807465767837165	-2.6129181898096876	-1.6711540327175258	-0.9708053483341924	-0.4787351355083366	-0.19953883435186817	-0.11562893629541776	-0.23851356208221952	-0.5558991628453818	-1.0846162645348232	-1.8328529959010393	-2.8259774712579757	-4.052192028335363	-5.494964889339147	-6.9751818091723	-8.078906920340406	-8.244903226986352	-7.407883491359145	-6.113764648796804	-4.805746226457885	-3.7192626791762633	-2.8865634662319395	-2.3053368703422095	-1.9613665511786063	-1.859113878794552	-1.9919183477377953	-2.3568045575104075	-2.9717271432916688	-3.8478984057113985	-4.958963134026894	-6.243601736480318	-7.469531250191127	-8.128936052082029	-7.755551146788966	-6.534389927341398	-5.067220702656265	-3.6625251681694175	-2.4812717993783364	-1.535116412376625	-0.819787190598697	-0.33250844239542676	-0.044923376687410525	0.034486638104177736	-0.0778908876813745	-0.39762501971574205	-0.9270252545399943	-1.6716608021433816	-2.6548708578248226	-3.8958702493085164	-5.321903419683742	-6.805774896824282	-7.939074548274461
