freq_GHz	trans_5deg_0.0deg_X	trans_5deg_5.0deg_X	trans_5deg_10.0deg_X	trans_5deg_15.0deg_X	trans_5deg_20.0deg_X	trans_5deg_25.0deg_X	trans_5deg_30.0deg_X	trans_5deg_35.0deg_X	trans_5deg_40.0deg_X	trans_5deg_45.0deg_X	trans_5deg_50.0deg_X	trans_5deg_55.0deg_X	trans_5deg_60.0deg_X	trans_5deg_65.0deg_X	trans_5deg_70.0deg_E	trans_5deg_75.0deg_X	trans_5deg_80.0deg_X	trans_5deg_85.0deg_X	trans_5deg_90.0deg_X	trans_5deg_95.0deg_X	trans_5deg_100.0deg_X	trans_5deg_105.0deg_X	trans_5deg_110.0deg_X	trans_5deg_115.0deg_X	trans_5deg_120.0deg_X	trans_5deg_125.0deg_X	trans_5deg_130.0deg_X	trans_5deg_135.0deg_X	trans_5deg_140.0deg_X	trans_5deg_145.0deg_X	trans_5deg_150.0deg_X	trans_5deg_155.0deg_X	trans_5deg_160.0deg_O	trans_5deg_165.0deg_X	trans_5deg_170.0deg_X	trans_5deg_175.0deg_X	trans_5deg_180.0deg_X	trans_5deg_185.0deg_X	trans_5deg_190.0deg_X	trans_5deg_195.0deg_X	trans_5deg_200.0deg_X	trans_5deg_205.0deg_X	trans_5deg_210.0deg_X	trans_5deg_215.0deg_X	trans_5deg_220.0deg_X	trans_5deg_225.0deg_X	trans_5deg_230.0deg_X	trans_5deg_235.0deg_X	trans_5deg_240.0deg_X	trans_5deg_245.0deg_X	trans_5deg_250.0deg_E	trans_5deg_255.0deg_X	trans_5deg_260.0deg_X	trans_5deg_265.0deg_X	trans_5deg_270.0deg_X	trans_5deg_275.0deg_X	trans_5deg_280.0deg_X	trans_5deg_285.0deg_X	trans_5deg_290.0deg_X	trans_5deg_295.0deg_X	trans_5deg_300.0deg_X	trans_5deg_305.0deg_X	trans_5deg_310.0deg_X	trans_5deg_315.0deg_X	trans_5deg_320.0deg_X	trans_5deg_325.0deg_X	trans_5deg_330.0deg_X	trans_5deg_335.0deg_X	trans_5deg_340.0deg_O	trans_5deg_345.0deg_X	trans_5deg_350.0deg_X	trans_5deg_355.0deg_X	trans_5deg_360.0deg_X	trans_1deg_65.0deg_X	trans_1deg_66.0deg_X	trans_1deg_67.0deg_X	trans_1deg_68.0deg_X	trans_1deg_69.0deg_X	trans_1deg_70.0deg_E	trans_1deg_71.0deg_X	trans_1deg_72.0deg_X	trans_1deg_73.0deg_X	trans_1deg_74.0deg_X	trans_1deg_75.0deg_X	trans_1deg_155.0deg_X	trans_1deg_156.0deg_X	trans_1deg_157.0deg_X	trans_1deg_158.0deg_X	trans_1deg_159.0deg_X	trans_1deg_160.0deg_O	trans_1deg_161.0deg_X	trans_1deg_162.0deg_X	trans_1deg_163.0deg_X	trans_1deg_164.0deg_X	trans_1deg_165.0deg_X	trans_1deg_245.0deg_X	trans_1deg_246.0deg_X	trans_1deg_247.0deg_X	trans_1deg_248.0deg_X	trans_1deg_249.0deg_X	trans_1deg_250.0deg_E	trans_1deg_251.0deg_X	trans_1deg_252.0deg_X	trans_1deg_253.0deg_X	trans_1deg_254.0deg_X	trans_1deg_255.0deg_X	trans_1deg_335.0deg_X	trans_1deg_336.0deg_X	trans_1deg_337.0deg_X	trans_1deg_338.0deg_X	trans_1deg_339.0deg_X	trans_1deg_340.0deg_O	trans_1deg_341.0deg_X	trans_1deg_342.0deg_X	trans_1deg_343.0deg_X	trans_1deg_344.0deg_X	trans_1deg_345.0deg_X
90.0	-7.150856957009675	-8.646473869859674	-10.347379669759675	-11.770175919159675	-11.777978882359674	-10.231201157159674	-8.192079529339674	-6.283761963419676	-4.728901371529675	-3.481927856979675	-2.525633558809675	-1.809848413049675	-1.3189221473296748	-1.041699513969675	-0.956593081529675	-1.0737157912796749	-1.382914409219675	-1.909221992069675	-2.665311083369675	-3.672575459059675	-4.973360523759675	-6.576267704539675	-8.498222336349674	-10.531036362259675	-11.851393684959675	-11.544946655759675	-10.034247383659675	-8.380030617289675	-6.957791790539676	-5.880936131059675	-5.175487026749676	-4.755041584549676	-4.632488712839676	-4.797994122079675	-5.256198868329675	-6.043005451729675	-7.156728729779675	-8.631675705489675	-10.357184395359674	-11.777036652159675	-11.792876228859674	-10.225097641559675	-8.167752251199675	-6.273694500499675	-4.718633160169675	-3.466644272379675	-2.503343329009675	-1.802177414469675	-1.314480528409675	-1.039844617419675	-0.961642131383675	-1.077140912589675	-1.394866571009675	-1.922703132209675	-2.680890545419675	-3.691823229369675	-4.980781540449676	-6.622917637399675	-8.548224434429674	-10.570758804859674	-11.931221947259674	-11.591317162059674	-10.069713577759675	-8.373327240519675	-6.958168491899675	-5.918448433449675	-5.177219376139675	-4.768377766189675	-4.657019123609675	-4.813535675579676	-5.272240624009675	-6.048783287579675	-7.181269630959675	-1.0548130126596749	-1.0179712625096748	-0.9965618701496751	-0.978757128293675	-0.9664305897316751	-0.963127061899675	-0.973190531309675	-0.984082922513675	-1.012089118539675	-1.038014516409675	-1.081475243149675	-4.7439775319696755	-4.7105545850396755	-4.676845535809675	-4.653490051799675	-4.633930191569675	-4.6317305417596755	-4.642423138199676	-4.673416122969676	-4.706817612229675	-4.751179680399676	-4.805138096389675	-1.034304842529675	-1.0175869317596749	-0.9911655040336751	-0.9728372545796751	-0.965910062368675	-0.9686952086046751	-0.971943780954675	-0.993640765722675	-1.017310843049675	-1.0534350724796748	-1.0852453561396749	-4.761565193709675	-4.734410271219676	-4.692068562089675	-4.675412163309676	-4.653366074139675	-4.655014500199675	-4.6708950849096755	-4.6896400304396755	-4.7214712949396755	-4.756635651169676	-4.819375977099676
90.05005005005005	-7.174658748289885	-8.644658622012223	-10.32617847976985	-11.732141502051762	-11.699692507253264	-10.132435657068365	-8.111975932068429	-6.2252631604302096	-4.672958594226252	-3.4250123688604477	-2.4665587520401058	-1.7480105533182406	-1.263861940356557	-0.9834924589503066	-0.8978399837069817	-1.010394860004081	-1.3235208292987186	-1.8458023884320736	-2.5962328910038495	-3.6081605183587477	-4.898229790563594	-6.507401114271352	-8.424259298125788	-10.432939093768365	-11.80721331519791	-11.526015983922724	-10.042200603708245	-8.366783245835832	-6.969111719099881	-5.901782776308396	-5.186050734525663	-4.770973662999755	-4.638041981388849	-4.812738734253257	-5.2710423094077115	-6.061197874345761	-7.175493644327386	-8.629996193464523	-10.338724270639728	-11.702999318003105	-11.697527789666573	-10.133701083623555	-8.086491076125775	-6.214559857357182	-4.653211378527349	-3.413029268743312	-2.4541680256011253	-1.7518662404423757	-1.2640710928783414	-0.9825182293842352	-0.9044446871060684	-1.019670736789897	-1.3369809306048563	-1.8650312407455696	-2.614376785210196	-3.6210928902804267	-4.91295018227062	-6.547967609269946	-8.460759323917976	-10.481849886817608	-11.872272865320037	-11.56715852019199	-10.048488831471678	-8.395592781803227	-6.964137666499816	-5.925704045024534	-5.191246098276051	-4.792684675501219	-4.6663873719915445	-4.83445699095815	-5.283729127148468	-6.056477315832615	-7.1775898238193205	-1.0025766041923907	-0.9652086188930771	-0.9382591057676818	-0.9212035630891162	-0.9140577057789442	-0.9134893218527945	-0.9233923222535757	-0.9327675713168759	-0.9567797266177921	-0.9839262114965074	-1.0257112910537396	-4.766859647075659	-4.731669322548104	-4.695144622461475	-4.665677678877249	-4.649047395892023	-4.662261548741013	-4.663646322514956	-4.690887718631764	-4.71736651895794	-4.760074006585238	-4.821833071335671	-0.982627421155271	-0.9613216877792874	-0.9374562638392179	-0.9195517521571289	-0.9109501731142527	-0.9191573323517753	-0.9209985178009554	-0.9412649650211771	-0.9608075140094052	-0.9947695994541429	-1.0291120191410492	-4.786117519031705	-4.735799225404375	-4.700425168223182	-4.687267808630162	-4.677745545279775	-4.67543239342587	-4.68298788869859	-4.697902239520462	-4.731461969508271	-4.781371962599851	-4.831514022176218
90.10010010010011	-7.12564731227682	-8.578535770493827	-10.234686952046781	-11.53315648503657	-11.502308588106342	-9.98372953371669	-7.98181569741622	-6.128230407893567	-4.589473844041244	-3.3696526379575302	-2.415308585623295	-1.707576927582975	-1.2307005566843363	-0.9442020355037756	-0.8671500024016366	-0.9818722183755116	-1.2913048619265588	-1.8083743405790516	-2.5463546662404726	-3.5461414419886412	-4.8303852934348885	-6.405687858978872	-8.288234679535698	-10.282974473563197	-11.60582988841415	-11.361088584119553	-9.921890745044426	-8.284148986982915	-6.902383033325308	-5.844081552523757	-5.12983512339772	-4.721551804315378	-4.6062389234953685	-4.768867342191885	-5.227307643128441	-6.009952782262906	-7.116436646022246	-8.54424345778798	-10.213176693267002	-11.535623493469602	-11.512635325892829	-9.968724879282808	-7.962206719149985	-6.130624250240545	-4.58403139082623	-3.3529578707347674	-2.4084790711026756	-1.7093724299865691	-1.2215742087492014	-0.95426454873372	-0.8683047600568861	-0.9909904546565728	-1.299715379925508	-1.819663811959612	-2.5633066985555275	-3.568645959970103	-4.847429766537651	-6.459109036999774	-8.337145351297602	-10.34963738990534	-11.651780357950082	-11.412757332625258	-9.932640939015808	-8.315780337375037	-6.909601045307891	-5.863937444143597	-5.142861335116839	-4.735321117345768	-4.624405563880983	-4.797949153135058	-5.25383321168668	-6.016318285775289	-7.141837197723337	-0.9659279556121453	-0.9369546349099271	-0.9062249647844144	-0.8894987738645755	-0.8847376648602345	-0.8794364018595685	-0.8913206789103066	-0.904368190542767	-0.9305659622513659	-0.9530074428625578	-0.9940340749732095	-4.723265983312325	-4.68119964500727	-4.64949436718631	-4.628757995039362	-4.6162972534845474	-4.622419382939462	-4.625264869781014	-4.650755757076079	-4.678702221129102	-4.71861174477734	-4.769980899199082	-0.9483764374936027	-0.9326581081944196	-0.9104301265884709	-0.8918901910887579	-0.8846155640598602	-0.8823810200551954	-0.8947877677952397	-0.9136006016386061	-0.9298676848286388	-0.96026917983577	-1.0027184711792996	-4.745708884052315	-4.699139432611875	-4.6700501798613745	-4.649759841384327	-4.629970973302806	-4.627157875590764	-4.646135312412356	-4.662305789778992	-4.6910514500855784	-4.744693047632755	-4.79460819381685
90.15015015015015	-7.060474168489094	-8.481976092818464	-10.128173466216154	-11.415571343474715	-11.346519463456698	-9.85803689082799	-7.885783661298678	-6.050058517070599	-4.533845525313902	-3.3194898596658233	-2.378212208930238	-1.6755885344634507	-1.2019121855190065	-0.924735079361208	-0.8375866938190877	-0.951211110670283	-1.2573959663422196	-1.769983733085013	-2.5099802157439917	-3.4955794278439014	-4.7571009147514705	-6.325185319389849	-8.190057246594206	-10.150653047626637	-11.477995290115857	-11.26959444636961	-9.865984497547535	-8.236177726971498	-6.868787688600086	-5.809811370569845	-5.096741340242186	-4.685294243370835	-4.56175987039567	-4.723313748719244	-5.1883905160125465	-5.946008506547593	-7.048175416971616	-8.469490359554142	-10.108064621796936	-11.420820953994534	-11.354624377782223	-9.847548936285197	-7.857637474546816	-6.046578641117356	-4.52182859027285	-3.2984027150747126	-2.3531137376128197	-1.6676084963631808	-1.194722648556484	-0.9169275184921177	-0.8341937269804508	-0.9591836670411868	-1.2683225104709286	-1.7790463175369042	-2.5248799199363647	-3.509713587169698	-4.770581354666634	-6.356433125649877	-8.2335985964	-10.202176015703245	-11.542726398284927	-11.31349329522036	-9.878382340983572	-8.256717491859906	-6.867546026117473	-5.810928849189213	-5.106847137726421	-4.703395762310476	-4.584237331089694	-4.749482811093449	-5.190026633081286	-5.958175008063658	-7.064947588372338	-0.9341243421977724	-0.901652289824259	-0.8784870631254033	-0.8635273649801481	-0.8493453477867093	-0.8539852808458149	-0.8519718382721417	-0.8696004426787997	-0.8847305343947482	-0.9209167546247305	-0.9603030270557066	-4.678421325928824	-4.638860657114468	-4.601246029473929	-4.581874567174289	-4.567716626134439	-4.576223535642787	-4.576338272974349	-4.5954969270052795	-4.626985284008253	-4.673389131660474	-4.729706773237562	-0.9183203589363492	-0.8972813664883219	-0.8720570672656404	-0.8587845709506254	-0.8472638698220398	-0.85044791182113	-0.8525053875498353	-0.8713175284522682	-0.8985849463817037	-0.9260392615654662	-0.9711501262476436	-4.702835089154979	-4.653329634873238	-4.6198528282553095	-4.59814822322552	-4.59249174601465	-4.585081477488493	-4.599193520436631	-4.610389223031587	-4.646031014978132	-4.699547077863298	-4.750097391189004
90.2002002002002	-7.005361461405934	-8.428686969497345	-10.024502765534953	-11.268029077289688	-11.199643409874273	-9.688755321653248	-7.747018604880896	-5.929786263383668	-4.4327954910426275	-3.216527626305419	-2.2757991096359804	-1.5811082222375024	-1.1032974044363608	-0.8191290615121476	-0.7399087011082138	-0.8501787609098028	-1.1602385747989534	-1.6613890304785224	-2.4065780731367408	-3.3903864051506853	-4.639877444251366	-6.184867969482257	-8.034935356362249	-9.980351782038207	-11.30737989425916	-11.146087422913313	-9.769508965004114	-8.201722726309157	-6.811671994334102	-5.770761179478155	-5.0794090092018305	-4.657654611776965	-4.538193823796514	-4.697022057010379	-5.156221431633451	-5.90548999303212	-7.006907004234363	-8.410726324676464	-10.018374908782082	-11.274418911918817	-11.200896952192192	-9.681644977966153	-7.726170783627693	-5.929299477558554	-4.4202301655952905	-3.1943179640811556	-2.2644028075105553	-1.5679084320139085	-1.095069724734339	-0.8174211199502845	-0.7397452845630866	-0.8563508417436344	-1.1672296181414359	-1.6817835631230875	-2.411834642670414	-3.396011878397321	-4.6655660953374625	-6.246643089180607	-8.101899058115393	-10.03499786069219	-11.363348215221823	-11.19729156976767	-9.793134852438346	-8.189987868861188	-6.82168318474222	-5.799122815479387	-5.071252254735232	-4.666606447575943	-4.555041327827155	-4.705048759038835	-5.169132199593801	-5.915781389469626	-7.0145182584287165	-0.8319741407953187	-0.7985844229485202	-0.7744027894465453	-0.7532659248595718	-0.7497849554318037	-0.7446877956791526	-0.7543520705287712	-0.7646623071056469	-0.7880401511501167	-0.814565798760959	-0.855129835584252	-4.649287640848747	-4.6133935357034614	-4.570049494340958	-4.555911985708546	-4.53613848763266	-4.544334172825253	-4.551845820081419	-4.578517802941019	-4.603535509309357	-4.648604873527386	-4.69655036578291	-0.8104913245859194	-0.7967071025861449	-0.7695796255045881	-0.7541479544526081	-0.7434810440989053	-0.7445980643170226	-0.7565652118716182	-0.7655356085267829	-0.7913293667070935	-0.8223500054686903	-0.8639662055567294	-4.682918090700569	-4.622938088685292	-4.5993920769709895	-4.57568830518148	-4.547809958196755	-4.552500004861789	-4.563643323626785	-4.584490225578536	-4.61951486518226	-4.664198702981659	-4.7166248163559334
90.25025025025025	-6.942096075945135	-8.362074003411822	-9.943604335746027	-11.180603099972688	-11.131715170356074	-9.647471993150267	-7.728409692301433	-5.929649941166621	-4.414293184265467	-3.2112031833473282	-2.2617466016306405	-1.557368039462492	-1.0868868955178574	-0.8071385105647946	-0.7226012648956806	-0.8432306122572403	-1.1451505270737434	-1.6578764816112208	-2.400895658643464	-3.3779360151149653	-4.635210691716847	-6.171407860057348	-8.005236180431284	-9.899865384430715	-11.210048782527243	-11.041564361052268	-9.671575787873397	-8.115663629719728	-6.749653645435165	-5.725277956158798	-5.01139800097116	-4.589409633533231	-4.473457505491169	-4.622247163804983	-5.089325179419448	-5.845429079764614	-6.935868046638978	-8.33997888449965	-9.922318942649563	-11.185893316597314	-11.112617971043361	-9.647062700757564	-7.704840596230515	-5.91875898143605	-4.396860246396207	-3.1833519182367276	-2.2449031831728328	-1.5493519816624215	-1.078427654455375	-0.8072144641247642	-0.7260466789897579	-0.8381477040404155	-1.1528291371461554	-1.6670206775381171	-2.411765834202413	-3.3943099468110516	-4.644499101534126	-6.210861587994136	-8.037712348328071	-9.963548787337302	-11.253160418565983	-11.07654628346618	-9.725154046271594	-8.147941696365958	-6.761154796833823	-5.736845797935503	-5.012954066195804	-4.620714418735213	-4.481901759355543	-4.665488020288247	-5.103458571691161	-5.861734636170138	-6.956886104968668	-0.8196724255597931	-0.782653978429536	-0.7567634764807638	-0.7451394192283004	-0.7294875160550713	-0.7331836559227811	-0.7432267141126953	-0.7548993487927039	-0.7732249629346158	-0.8085173171878661	-0.8368748761467237	-4.585565835360869	-4.54559249572189	-4.517972422168848	-4.502363317213662	-4.478009533331819	-4.476392480195284	-4.487948310363713	-4.508742525861349	-4.543803427518677	-4.575100751338655	-4.641148122910498	-0.7975897163435762	-0.7804335101310498	-0.7549985874833619	-0.74167352118451	-0.7331975707734093	-0.7302639034852006	-0.7425301362882145	-0.7579329385252968	-0.7796566890001663	-0.806943849133645	-0.8469813739649774	-4.613149362378707	-4.5649656863709875	-4.528893219784462	-4.51412214254155	-4.491196291192959	-4.491602464336524	-4.508538158893712	-4.524454154146764	-4.553477688330568	-4.593854727186624	-4.6525411683111475
90.30030030030031	-6.907673315442681	-8.32373192023145	-9.887949728232925	-11.060725085563826	-11.00035007529416	-9.530843184363524	-7.663567973534878	-5.845581180182143	-4.362156509479109	-3.1634202270376677	-2.2281980287480887	-1.528753193494816	-1.0572281043296092	-0.7885592495948321	-0.7026053590326959	-0.8205010603009366	-1.1122378220349358	-1.6287041084778793	-2.360356530825536	-3.333393230297698	-4.590393413856017	-6.124076261374697	-7.9242176746655675	-9.815798094521154	-11.08639240210617	-10.922529251520885	-9.595740143085417	-8.090722083527549	-6.709726204228747	-5.699464302010879	-5.0011492615178765	-4.581706315750398	-4.466035785107936	-4.624754654593401	-5.080793709574393	-5.826706387458957	-6.906671391792742	-8.286319302567364	-9.849452579548567	-11.072492948322985	-10.971055617369831	-9.529526475154547	-7.619057213786078	-5.838197704747248	-4.353183483782804	-3.1349383827340946	-2.207884256745357	-1.5246796427395313	-1.0485915051417893	-0.7793424439374587	-0.7003582288425131	-0.8141356289798913	-1.1261603640987803	-1.6429627588110622	-2.371276558542983	-3.353133181756407	-4.593325120392713	-6.163516931902714	-7.961038007591243	-9.857310658308903	-11.118504944701066	-10.965947571619683	-9.63618770181803	-8.095797423692291	-6.734684581356976	-5.7288073929760746	-4.999068438675893	-4.615078478806857	-4.483460742274932	-4.636625983897304	-5.0824528021766735	-5.844904528212531	-6.929378307106735	-0.7933226811503298	-0.7556146720017021	-0.7333600304735308	-0.7227010893621172	-0.704446605040879	-0.7058287461827532	-0.7127165032094496	-0.7297093455009247	-0.7483865525861074	-0.7829400841768196	-0.8146117301185699	-4.576576467232349	-4.53673485684322	-4.499832287412379	-4.486430575737576	-4.471948259427966	-4.462670728098836	-4.47488660302292	-4.501424360759076	-4.530307169275203	-4.575408088750638	-4.632687870291028	-0.7811690832275978	-0.7477362247431849	-0.7243160326434198	-0.712654951300768	-0.7124677293517988	-0.7016336331005341	-0.7160987542783752	-0.7301954220956756	-0.7549875409267717	-0.7800568469519152	-0.8187336841372459	-4.60077286288262	-4.567437460671959	-4.530360693885954	-4.509086217455893	-4.5069207152007	-4.487186743536374	-4.494788417071418	-4.517889237101029	-4.556644751349977	-4.5944153992531005	-4.659006353101029
90.35035035035035	-6.867010266176856	-8.253197031059162	-9.783810657266542	-10.957491776119127	-10.869598848528234	-9.447182111865883	-7.559130024934263	-5.76919484277178	-4.290572936550669	-3.092333978079968	-2.148217096415393	-1.4481598620440705	-0.9720789009910862	-0.6938309145808809	-0.6197384680760548	-0.7330861974817506	-1.0346757745864026	-1.546307856336073	-2.2886373802957647	-3.263653480213092	-4.512688493785757	-6.038590034280303	-7.837077372496621	-9.70368926752289	-10.952622000977989	-10.791804878514125	-9.4965416854845	-8.010048079375842	-6.668277911071392	-5.648909111714895	-4.950159025335695	-4.5402295164204185	-4.427828719744092	-4.589877206120049	-5.0296079954521895	-5.7862270412541115	-6.854327301319289	-8.235263174079881	-9.794408962129516	-10.96832630004165	-10.87390943922814	-9.42681536966439	-7.531116256683616	-5.761713775621951	-4.277850365091841	-3.0589605105246123	-2.1217377758173233	-1.435976923958865	-0.9625411308852015	-0.6973010227774454	-0.6138677698641914	-0.728381826789069	-1.0431263024504795	-1.5633915448776856	-2.3014340569750926	-3.2737675075416304	-4.5272299350401894	-6.084298130231133	-7.879643283881307	-9.750307116256659	-10.989605167324237	-10.844361662917128	-9.532752648679697	-8.031224319244028	-6.682238302622544	-5.677935742236799	-4.968805795395106	-4.556575989659378	-4.458499253291302	-4.608558080290669	-5.055275495779268	-5.8002239731417795	-6.873111689728078	-0.7084335773248913	-0.6713539977259865	-0.6497792679313209	-0.630879022115417	-0.6238194219752713	-0.6208477129613844	-0.6319532478704027	-0.6405102658491847	-0.6647447635984585	-0.6938909535218346	-0.7309962447393156	-4.542349825590679	-4.511169583661921	-4.46765688466252	-4.437860264277004	-4.434562761580439	-4.4314720200619115	-4.438013239269687	-4.463826157269568	-4.489407964376024	-4.540236040832672	-4.599546817883463	-0.6871519083547094	-0.6708187032680807	-0.6400363765846185	-0.6302104841885926	-0.620962924444679	-0.6160401009993564	-0.6272464060616735	-0.6406271889805513	-0.6651755169996298	-0.6966289551696567	-0.7313349427931009	-4.573042192927858	-4.526020343317858	-4.486652472787927	-4.474538950791322	-4.456655981742593	-4.44852587048069	-4.468747521022513	-4.4845245304094785	-4.521741631467567	-4.555138696979157	-4.618075123259879
90.4004004004004	-6.77111274837729	-8.138756498962497	-9.643172571415723	-10.78613622046627	-10.707853061391097	-9.285837413950365	-7.461371522930019	-5.683826198727896	-4.2040332911817755	-3.0114289746962597	-2.077374846291344	-1.3871028898702926	-0.9116361022312905	-0.6353008709951788	-0.5534619771756525	-0.6658326118756107	-0.9758926035010178	-1.4785148972633149	-2.203512888340683	-3.1753989680448376	-4.403356803592915	-5.910639085490386	-7.685212884618496	-9.539741067360403	-10.74538835836857	-10.590779134546542	-9.339504510123128	-7.857271970494627	-6.55262246090826	-5.548615038854265	-4.852902390856569	-4.4560992055871775	-4.344874015370352	-4.502397881302425	-4.954806368315447	-5.704649469316729	-6.760246125469113	-8.129205483139897	-9.636690830842863	-10.78760542203444	-10.675915841172879	-9.287164606894338	-7.40965473799148	-5.66570865587484	-4.183378780373678	-2.986672028093377	-2.066930672475579	-1.3787755892672098	-0.9003558302508107	-0.6380152486183699	-0.5521321591273054	-0.6702578141009455	-0.9757788257520231	-1.4870802484341963	-2.2253930847153094	-3.1893668763477105	-4.427602315378283	-5.9601097865150106	-7.7275574786447	-9.547866474683634	-10.76937973498989	-10.631902053146945	-9.371513486911198	-7.88142998241927	-6.568006185126799	-5.556154033366797	-4.854343367934675	-4.469670874147939	-4.353847738429712	-4.524569382936267	-4.967686820125447	-5.713030559689202	-6.772953888244507	-0.6461901469475165	-0.6175680872156812	-0.5860848884280844	-0.5754273905369865	-0.5645622303617095	-0.56185343618385	-0.5703684589608087	-0.5863009640365118	-0.5963201060266007	-0.6376977790666553	-0.6688980162874912	-4.457416247961043	-4.411330853543876	-4.384935338855028	-4.362759658803125	-4.341088913033724	-4.335620584114276	-4.359395780765338	-4.375153183501955	-4.4067872693931145	-4.4473648533545465	-4.499224526191042	-0.6307395439327794	-0.6056421978890567	-0.5822920160093666	-0.570352443389085	-0.567501569637893	-0.5573221644801368	-0.5701579495550911	-0.5843757377693762	-0.6041429255662636	-0.6369463608512785	-0.6742208206096334	-4.474651298885408	-4.4274042790284405	-4.394496374938791	-4.370124577203885	-4.354688887284927	-4.359661699821544	-4.369343410547388	-4.38807440464867	-4.428659440439491	-4.4708334370230345	-4.522501320140192
90.45045045045045	-6.763650264951938	-8.133122283194194	-9.61113188086537	-10.701569494981584	-10.598621529600502	-9.194300262907971	-7.396505126139053	-5.631815972762832	-4.181794160255986	-3.002593848215717	-2.077059039257969	-1.386599919949592	-0.9130413098606821	-0.6408514709319081	-0.5662498698270338	-0.6764557164224672	-0.9722919905743396	-1.4847385573216643	-2.20287596010815	-3.172312045011214	-4.39458750617797	-5.885108249816979	-7.641189152188061	-9.456179659775632	-10.675411325426627	-10.552815890666267	-9.324838292618786	-7.860176827587435	-6.550063092556531	-5.551430970826621	-4.856576509432926	-4.474277945383017	-4.345961426959953	-4.501326382825177	-4.956182623901575	-5.6940874861352695	-6.744312864292659	-8.09077647583086	-9.57968954794969	-10.68435595710771	-10.563800148214012	-9.188702847637794	-7.3563118476289615	-5.634730650630131	-4.167638493143194	-2.9756827055010326	-2.0578506595629245	-1.3764341104370694	-0.9048662793757627	-0.645407860473701	-0.5634487992169883	-0.6685446894078704	-0.9865112418754576	-1.49001124326815	-2.2109739760250857	-3.1852287968200437	-4.402022969750132	-5.9332934307813945	-7.6962362862093245	-9.494862142040226	-10.703028668332031	-10.587379161453656	-9.339258466890321	-7.887166382084641	-6.565339516007072	-5.573737030760224	-4.868620363575088	-4.478702006174547	-4.3562564314131045	-4.53200334484653	-4.969978592551397	-5.704132400246712	-6.776683384360497	-0.6573709572986194	-0.6166932439172936	-0.5954225177394212	-0.5820021775623219	-0.5699723490422771	-0.5726228513393944	-0.5752928537522404	-0.5956096978033582	-0.6074563126542039	-0.6436563822828717	-0.6742782862569165	-4.454780275883015	-4.4098717480347265	-4.375549615095717	-4.360102728815268	-4.350770565970043	-4.341716974840673	-4.3580040567870695	-4.37034623485959	-4.41545308830698	-4.448613031620402	-4.50889628869716	-0.6371912334650428	-0.6122558016192048	-0.5915987283488091	-0.5743130752867911	-0.5689416198812235	-0.5629568530869254	-0.5729643131928897	-0.5891064916876639	-0.6133496950569536	-0.637570231477934	-0.679215526926142	-4.4744422050413934	-4.43250315266707	-4.391378022654906	-4.3794363706181505	-4.360055556302383	-4.356448115657429	-4.375729077706349	-4.393885576107969	-4.43373074630716	-4.468952774061213	-4.528850793972385
