freq_GHz	trans_5deg_0.0deg_X	trans_5deg_5.0deg_X	trans_5deg_10.0deg_X	trans_5deg_15.0deg_X	trans_5deg_20.0deg_X	trans_5deg_25.0deg_X	trans_5deg_30.0deg_X	trans_5deg_35.0deg_X	trans_5deg_40.0deg_X	trans_5deg_45.0deg_X	trans_5deg_50.0deg_X	trans_5deg_55.0deg_X	trans_5deg_60.0deg_X	trans_5deg_65.0deg_X	trans_5deg_70.0deg_X	trans_5deg_75.0deg_X	trans_5deg_80.0deg_X	trans_5deg_85.0deg_X	trans_5deg_90.0deg_O	trans_5deg_95.0deg_X	trans_5deg_100.0deg_X	trans_5deg_105.0deg_X	trans_5deg_110.0deg_X	trans_5deg_115.0deg_X	trans_5deg_120.0deg_X	trans_5deg_125.0deg_X	trans_5deg_130.0deg_X	trans_5deg_135.0deg_X	trans_5deg_140.0deg_X	trans_5deg_145.0deg_X	trans_5deg_150.0deg_X	trans_5deg_155.0deg_X	trans_5deg_160.0deg_X	trans_5deg_165.0deg_X	trans_5deg_170.0deg_X	trans_5deg_175.0deg_X	trans_5deg_180.0deg_E	trans_5deg_185.0deg_X	trans_5deg_190.0deg_X	trans_5deg_195.0deg_X	trans_5deg_200.0deg_X	trans_5deg_205.0deg_X	trans_5deg_210.0deg_X	trans_5deg_215.0deg_X	trans_5deg_220.0deg_X	trans_5deg_225.0deg_X	trans_5deg_230.0deg_X	trans_5deg_235.0deg_X	trans_5deg_240.0deg_X	trans_5deg_245.0deg_X	trans_5deg_250.0deg_X	trans_5deg_255.0deg_X	trans_5deg_260.0deg_X	trans_5deg_265.0deg_X	trans_5deg_270.0deg_E	trans_5deg_275.0deg_X	trans_5deg_280.0deg_X	trans_5deg_285.0deg_X	trans_5deg_290.0deg_X	trans_5deg_295.0deg_X	trans_5deg_300.0deg_X	trans_5deg_305.0deg_X	trans_5deg_310.0deg_X	trans_5deg_315.0deg_X	trans_5deg_320.0deg_X	trans_5deg_325.0deg_X	trans_5deg_330.0deg_X	trans_5deg_335.0deg_X	trans_5deg_340.0deg_X	trans_5deg_345.0deg_X	trans_5deg_350.0deg_X	trans_5deg_355.0deg_X	trans_5deg_360.0deg_X	trans_1deg_-5.0deg_X	trans_1deg_-4.0deg_X	trans_1deg_-3.0deg_X	trans_1deg_-2.0deg_X	trans_1deg_-1.0deg_X	trans_1deg_0.0deg_E	trans_1deg_1.0deg_X	trans_1deg_2.0deg_X	trans_1deg_3.0deg_X	trans_1deg_4.0deg_X	trans_1deg_5.0deg_X	trans_1deg_85.0deg_X	trans_1deg_86.0deg_X	trans_1deg_87.0deg_X	trans_1deg_88.0deg_X	trans_1deg_89.0deg_X	trans_1deg_90.0deg_O	trans_1deg_91.0deg_X	trans_1deg_92.0deg_X	trans_1deg_93.0deg_X	trans_1deg_94.0deg_X	trans_1deg_95.0deg_X	trans_1deg_175.0deg_X	trans_1deg_176.0deg_X	trans_1deg_177.0deg_X	trans_1deg_178.0deg_X	trans_1deg_179.0deg_X	trans_1deg_180.0deg_E	trans_1deg_181.0deg_X	trans_1deg_182.0deg_X	trans_1deg_183.0deg_X	trans_1deg_184.0deg_X	trans_1deg_185.0deg_X	trans_1deg_265.0deg_X	trans_1deg_266.0deg_X	trans_1deg_267.0deg_X	trans_1deg_268.0deg_X	trans_1deg_269.0deg_X	trans_1deg_270.0deg_O	trans_1deg_271.0deg_X	trans_1deg_272.0deg_X	trans_1deg_273.0deg_X	trans_1deg_274.0deg_X	trans_1deg_275.0deg_X
90.0	-3.96488531888344	-4.134226644643441	-4.56695731938344	-5.2484296208734404	-6.25815614522344	-7.4900258427934405	-8.81143173040344	-9.815893018853439	-9.775840604913439	-8.58453449071344	-6.94417699636344	-5.3130119687434405	-3.88114818395344	-2.73294886411344	-1.8311121112234399	-1.14472814859344	-0.6798809415194399	-0.40315073193044	-0.31621980131644	-0.41654639900644	-0.70907565415844	-1.1981610900234398	-1.89406629861344	-2.8123720532734398	-3.99156793416344	-5.418441141253441	-7.06530698598344	-8.67685779393344	-9.76546939672344	-9.67850288213344	-8.61814197362344	-7.30008872808344	-6.10229715169344	-5.12020191014344	-4.47814449132344	-4.07955440343344	-3.95159729779344	-4.10521920980344	-4.52166398824344	-5.20657762349344	-6.199337804923441	-7.44329866231344	-8.75554164708344	-9.735090101373439	-9.68213447393344	-8.50657733739344	-6.857706392413441	-5.218863332873441	-3.82585223973344	-2.67291601956344	-1.7750492936434399	-1.0895499831534399	-0.62601765454744	-0.35449757636544	-0.27564426721044	-0.37795865000244	-0.67594536603444	-1.18250771821344	-1.87157341302344	-2.80458744825344	-4.00357827008344	-5.436471307883441	-7.12665780843344	-8.728436315663439	-9.82825263799344	-9.75531562627344	-8.68943866552344	-7.348089063773441	-6.124708974963441	-5.15762504399344	-4.51615222753344	-4.11988338292344	-3.99343880475344	-4.13044627965344	-4.07696994603344	-4.02850230992344	-4.000820243963441	-3.98302730382344	-3.98225435079344	-3.98491987050344	-4.00663598836344	-4.03872760594344	-4.085707510123441	-4.14936384023344	-0.38818937004544	-0.37065800488944	-0.34858950437044	-0.32709186733744	-0.31494706333644	-0.31147506297544003	-0.31884329975544	-0.33471893728744	-0.35631966055344	-0.38332145870644	-0.41171895922144003	-4.070539320123441	-4.033557737483441	-3.99894937337344	-3.96657165349344	-3.94798477948344	-3.94016894162344	-3.96038254560344	-3.97743400396344	-4.00909217656344	-4.050236547603441	-4.10454591573344	-0.33937051356744	-0.32475128234344003	-0.29852702678144	-0.28061767877044	-0.27114325226244	-0.26976262987544003	-0.28037464083144	-0.29279323876844	-0.31467395485344	-0.33787330449544	-0.37656878889544
90.05005005005005	-3.9477896033741873	-4.114745729046144	-4.5390188576756065	-5.235377483512747	-6.217980243513606	-7.434297771636633	-8.758285424105058	-9.727814479602248	-9.665154655624324	-8.50930996433992	-6.864918363196903	-5.251820998591296	-3.84258835735321	-2.7006753662526766	-1.7939179550673847	-1.1133348576293025	-0.646626673510397	-0.3719761256145608	-0.28836306231336933	-0.39094592670963196	-0.6790701083159604	-1.163610051905351	-1.848901771898245	-2.779365106117433	-3.9490595620086375	-5.362198434881419	-7.00548894027923	-8.602766080870236	-9.655688323978247	-9.58828339845263	-8.56568994223463	-7.241148314763497	-6.058953985403454	-5.108158159751145	-4.439047343226269	-4.051378062502542	-3.9297290647545626	-4.08086395165113	-4.495289839749964	-5.193017250270453	-6.164693710654649	-7.397233373493939	-8.708199642293332	-9.664523923692338	-9.604754077508936	-8.41705310997383	-6.781388863162768	-5.178809803615355	-3.782855614737575	-2.6339141665957575	-1.738875374394324	-1.0541934240012547	-0.59679815047668	-0.32607787993543313	-0.2435446773248682	-0.3537288532169858	-0.6455069531831743	-1.1420708962417176	-1.8382624118979858	-2.7717401634995733	-3.9610532260592377	-5.379727559256891	-7.050491290494014	-8.655167391557509	-9.728693157312469	-9.660357391245524	-8.619724398703918	-7.305180922374973	-6.085852872585855	-5.139495718795588	-4.47262928695232	-4.094520942079562	-3.9702771759808875	-4.09839750740922	-4.056113844489148	-4.02048982653953	-3.9893986543645714	-3.9761595315169336	-3.9734626916199156	-3.9843472231326698	-4.003663399519738	-4.027068335461298	-4.069199797830589	-4.121523779283394	-0.3645986007425971	-0.33916020291785337	-0.31442250443938313	-0.2974848313479107	-0.28955543211118895	-0.28283656908124455	-0.2908939131194498	-0.29881629974069573	-0.32756773165267195	-0.3517434794490702	-0.38594605826451434	-4.042112756863144	-4.007154947734847	-3.9728188886747047	-3.9410730913915777	-3.937795028281732	-3.9283299622380348	-3.94352288333342	-3.9546335179933574	-3.9847775531541023	-4.032881843876968	-4.080531378498469	-0.31687469173185073	-0.2945991540316271	-0.2651215958449922	-0.2490137836939655	-0.2384054751468692	-0.24371085872882878	-0.24897815455464264	-0.2628651752950283	-0.2786775156164919	-0.31363990297095456	-0.3452876705411944
90.10010010010011	-3.9050736238322385	-4.055068416954361	-4.470419018312128	-5.158599916470547	-6.114266406022488	-7.317577107128895	-8.61879165557159	-9.512109154055905	-9.470760852319788	-8.343527448256713	-6.748654948770726	-5.171097608373159	-3.7882609753545	-2.6553752538817768	-1.770789715693068	-1.1043851162678628	-0.6456491404950903	-0.3660037500965356	-0.2864837149609652	-0.3846233395972065	-0.6687874339487849	-1.1467998139525175	-1.8274032874628678	-2.7289750492010865	-3.886574831291046	-5.269698351548023	-6.871538641887263	-8.455848170659387	-9.465902254938538	-9.398331749019528	-8.412967542466044	-7.132185586536002	-5.960392830207333	-5.030832084878415	-4.363149075373959	-3.9881181859626285	-3.87053043367395	-4.019658573110516	-4.415109623849005	-5.1220319840987045	-6.052418130721848	-7.249726478234582	-8.54611831809181	-9.447889509334262	-9.384142654148036	-8.26620671264258	-6.6683971673753915	-5.08355549930506	-3.7256082800645505	-2.5960199796611967	-1.7085362982624874	-1.043769588771867	-0.587141748735883	-0.3217586821386741	-0.24716699476635165	-0.3456931385196689	-0.632949321191926	-1.123760850770926	-1.8137301939973824	-2.7274616649588843	-3.900459218623629	-5.298268460366462	-6.920700681771738	-8.48426526154225	-9.542793092503032	-9.463807587108597	-8.479586566843421	-7.182948908124911	-5.990637623108914	-5.069152206699755	-4.414053466777013	-4.021358309992998	-3.916567886625662	-4.0317778706177325	-3.9960148684813275	-3.956591981982378	-3.934575959800136	-3.9215758249708172	-3.9218942254683946	-3.9280244432537397	-3.9465892402790854	-3.97507855670335	-4.009668025599965	-4.0569340010421175	-0.3642175040812965	-0.33896812630831036	-0.31005791719909404	-0.2962022813781953	-0.28498773706125236	-0.2864419265854548	-0.2911387449395467	-0.3000871370988769	-0.3213017603006509	-0.34603808864800606	-0.3845799756371553	-3.975641974892258	-3.9369664659533687	-3.9069148636933893	-3.8878965145816973	-3.871023825528965	-3.873579328797263	-3.8882178128541507	-3.907990158216673	-3.9244058444295455	-3.9660758549283646	-4.015314249142438	-0.31201095777423044	-0.29444950178903945	-0.26581999628023856	-0.24862080619776195	-0.24206314211053873	-0.24184037525518362	-0.24701913282587812	-0.25684829506520346	-0.2855709912723186	-0.3096145745097971	-0.34601446355058296
90.15015015015015	-3.839374388572352	-3.9859282207041233	-4.4037047867149335	-5.075471750874784	-6.043899719686376	-7.230876781116858	-8.482729111613075	-9.389017673853706	-9.337710385120584	-8.241056128935327	-6.691818486733614	-5.125367005928869	-3.7471469088519918	-2.633837157446167	-1.7395965286018722	-1.0727232273040825	-0.6149757403317732	-0.3382515743498695	-0.2507891005209049	-0.34689181300137045	-0.6398738995846921	-1.1170672284787788	-1.7969931645912414	-2.6976869724650254	-3.8593043352942757	-5.221941774940221	-6.806762784364546	-8.343664394389473	-9.337240564477822	-9.275974086360284	-8.32478476170623	-7.062497687676107	-5.904894393748388	-4.97294986310043	-4.325980911290039	-3.942728932109259	-3.81876128957004	-3.9567269744647837	-4.363312604102382	-5.043517585542742	-5.974399572642892	-7.159222477104574	-8.417913117831034	-9.316137074975599	-9.274957455223046	-8.171429996643226	-6.595687757649141	-5.04703886470908	-3.685589873667668	-2.5616307110955963	-1.6786948506022323	-1.006936178818701	-0.5563011917608154	-0.281365080413623	-0.21033568856924498	-0.3103803061491333	-0.6057940110239474	-1.0896963571139142	-1.7785879709159567	-2.697590415096768	-3.8581459553605515	-5.241691996291842	-6.849330156325747	-8.392711970451966	-9.398424327822084	-9.34543096007656	-8.38573337128686	-7.11454392508821	-5.929452045814484	-5.022691204291841	-4.367501703024093	-3.979459056887907	-3.8606608067029224	-3.9904484164376974	-3.9476805358825025	-3.907708229157487	-3.881918650395175	-3.8582955569312105	-3.863161961503043	-3.867501174628148	-3.8773541760992885	-3.9001351243187776	-3.9515360958076373	-4.005689004075926	-0.3312230881615869	-0.3110756294136382	-0.2841733726285299	-0.26473874797700725	-0.2540474207355448	-0.24697004576246973	-0.2577716073188148	-0.2713309236010675	-0.2871184069816378	-0.31719859767692354	-0.35262471249384236	-3.931928281936016	-3.8996786916354753	-3.8549646410329226	-3.8376293249494995	-3.827751757775115	-3.816475521241331	-3.8240231467919013	-3.8465361390240638	-3.8696501365110607	-3.904178762849499	-3.9586270466729525	-0.27820712815575216	-0.2534134027282322	-0.22825154796276395	-0.21538469593468615	-0.2082109937244877	-0.2006230840712141	-0.21175332904249686	-0.22123033421257166	-0.2494722398001006	-0.27119524593304034	-0.30625582206534957
90.2002002002002	-3.788992842355962	-3.9468007435796664	-4.353631131246774	-5.025463514218236	-5.977797397460859	-7.152235020106916	-8.375999459713883	-9.281490177444844	-9.212859997120406	-8.150336501796291	-6.603925355522065	-5.05750346967812	-3.681831212331493	-2.561523983984206	-1.664389627552203	-0.9987981428218932	-0.5393094713584482	-0.2570341913984216	-0.18431403351906805	-0.2781332041131468	-0.5650362848125561	-1.0469916527567578	-1.724086579932483	-2.627398962211312	-3.7656195533210415	-5.13297971324855	-6.7044908906897716	-8.214486883409075	-9.187040623438806	-9.136790066951301	-8.208321774168398	-6.965563693403302	-5.82511257477064	-4.904862080687805	-4.250185697249986	-3.882192927155013	-3.762234859842179	-3.9131255619625103	-4.3102904148486765	-4.98736736362193	-5.911672155862221	-7.086899529189649	-8.31828564181052	-9.202294394972101	-9.14415729650211	-8.057465521268593	-6.507076449539972	-4.969001441114347	-3.607242828573115	-2.4868361266928942	-1.6086185899320233	-0.9305645514617844	-0.4759481218620606	-0.20614172526177932	-0.12764528392064792	-0.23958178360254337	-0.5302762426974971	-1.0183344761644653	-1.6976218168289694	-2.6081478981914823	-3.7680312193039947	-5.155395846669041	-6.745984278359481	-8.250324036819274	-9.259837948126734	-9.203366779315466	-8.263244242720882	-7.0172523630835535	-5.8612316768910695	-4.94892461494172	-4.313549859827245	-3.9260057810707583	-3.808490936895743	-3.9365715889400272	-3.892440945020468	-3.8504300119489856	-3.8301551346362435	-3.8119703178809075	-3.8088838776844907	-3.810594010242509	-3.8321584616624396	-3.8596009365268937	-3.8992195692184755	-3.9563077047048623	-0.2579077093118136	-0.23254745374274363	-0.20961150165044823	-0.19246269466176857	-0.1812003018817114	-0.17523744241995595	-0.19020582418374862	-0.19465976697507759	-0.21566352572425718	-0.2371574749809994	-0.27329580528116587	-3.8761038223766047	-3.8402572522616496	-3.803014396031068	-3.781690348102439	-3.773470274520728	-3.7647506431384152	-3.775722650639136	-3.791604147734041	-3.8139244094489864	-3.8572313682485255	-3.9132342395473754	-0.20254908342976666	-0.18695283976274807	-0.15790683925073662	-0.13846603003668856	-0.13732568323481503	-0.13744315311620034	-0.1378725623692244	-0.1539796196777256	-0.17176735450872962	-0.1985320521564403	-0.2348236303090698
90.25025025025025	-3.732735994273416	-3.86799730079782	-4.2706802791496115	-4.9417254393000025	-5.8816633964784115	-7.035374845758302	-8.25730308999445	-9.166240285511948	-9.166742524392271	-8.114677638305542	-6.594920044835921	-5.063387783489324	-3.692756371500805	-2.5753099978466594	-1.6976052825061996	-1.0232178105743164	-0.5709249584750571	-0.29893098288491077	-0.21293683891738302	-0.3123704206226781	-0.6019457413259823	-1.0794534318547977	-1.7596923680195629	-2.6618210193529466	-3.8013333165024163	-5.1685868193046	-6.715487197161387	-8.176601997057613	-9.10785267045356	-9.006524162419508	-8.082754839696761	-6.848887862672957	-5.724598834036389	-4.812437288081733	-4.179302102025546	-3.793317534467459	-3.6857618286069793	-3.8221714217878198	-4.224289733296508	-4.9013869607716645	-5.803418865954847	-6.9653722479079	-8.193842086041487	-9.07929462479441	-9.052913577996343	-8.012040627062628	-6.5064175790505265	-4.965078584468944	-3.62383207334543	-2.509184860299293	-1.6313880595380212	-0.9642441068553402	-0.5111742866751612	-0.24260001764746247	-0.1683391644393344	-0.2706132208252329	-0.5636642215957378	-1.0509029577236164	-1.7363289908920252	-2.642663920654087	-3.7978331635077915	-5.17618141474536	-6.755622329222289	-8.225382148131528	-9.169188147240689	-9.080465670035622	-8.115565390720665	-6.895455179558012	-5.756813766287451	-4.855510000996909	-4.2255716930495515	-3.840465702022594	-3.726670513452184	-3.849727407993115	-3.8110231876385203	-3.7739161751037256	-3.753726152376568	-3.738270683018481	-3.741978804792936	-3.7399089348839865	-3.751195542017078	-3.791716766359812	-3.8283525714160587	-3.872155536806798	-0.2887551981872657	-0.2626052242578056	-0.24165169266903902	-0.2240658644549386	-0.21451025343748426	-0.2035038322527701	-0.22055416883331044	-0.23137192391058073	-0.24542066419270228	-0.2755036405241399	-0.3062523270982855	-3.7819697511283894	-3.7489925796457166	-3.7256521529933644	-3.7080394470361093	-3.6892137060132555	-3.6857212241781396	-3.7010528681404233	-3.7147380253701128	-3.7339737783288505	-3.784015032192455	-3.820092719883445	-0.23252229999769655	-0.2094077639774241	-0.18816411162816135	-0.16874284426455338	-0.162149564373335	-0.16289184464134732	-0.16319845631950625	-0.18434284296528045	-0.2017023485544875	-0.22949570938167274	-0.26751274541922204
90.30030030030031	-3.7022500890066654	-3.8436862047685265	-4.243323494356757	-4.908180760187326	-5.8382276035221325	-6.993038816846309	-8.17903527339661	-9.073275646998415	-9.0446339290676	-8.026884744109822	-6.529344195707688	-5.004559252708077	-3.641653460416574	-2.5398626936021302	-1.654324215087415	-0.9971369372362924	-0.5331209711758329	-0.26337222812337713	-0.1803919144856172	-0.2817791956234317	-0.5604494756322236	-1.0429635395114103	-1.7178584727390989	-2.617651506217807	-3.75250207052117	-5.096311161818768	-6.636028128694056	-8.091866797501353	-8.993724242334839	-8.902504517861265	-7.99654744479376	-6.799375826883908	-5.68937881643613	-4.78590104600862	-4.164477323256096	-3.780603503312102	-3.658087625871681	-3.798677327748677	-4.205349775401531	-4.856431202832581	-5.772047567643092	-6.925653008721474	-8.120149441301445	-8.992406986129765	-8.967530887043548	-7.929639312943546	-6.423107102103693	-4.895166628344772	-3.571127506338376	-2.4615023221931205	-1.5886727188361536	-0.9300010345637346	-0.4735967124824694	-0.20513195478772805	-0.1302550532081615	-0.23648378314770166	-0.5257283950269991	-1.016861221443675	-1.6952013446678367	-2.6032732399269953	-3.749617227917117	-5.10400614222063	-6.666948095801503	-8.120923091688502	-9.062485013988894	-8.990698225139345	-8.048675454764448	-6.841992778454507	-5.717863166648531	-4.824819672922133	-4.201274077804445	-3.82559202239114	-3.70820851010075	-3.832440439277057	-3.791820167409609	-3.7466412693108095	-3.731439080678168	-3.7121717808037222	-3.704521745526545	-3.7077765070875053	-3.7405862485950148	-3.7628200676973864	-3.8008287031596986	-3.8563399687073567	-0.25931469356957804	-0.22794596930601319	-0.20440543399569513	-0.1912830544401936	-0.18013887495838887	-0.175065792663563	-0.18146378364884572	-0.19214413701339528	-0.21378143077200745	-0.24063498935465663	-0.2660286736113616	-3.7680290461172357	-3.744372560449038	-3.7124617643807505	-3.672797604718406	-3.6617304534052235	-3.6690257096728525	-3.6675944994056446	-3.6829308038649238	-3.714272368769068	-3.7525723052000584	-3.800033291535313	-0.19693661223044862	-0.1758903362023713	-0.14809091348107944	-0.13372857518797643	-0.12951804329741096	-0.12610254603697124	-0.1291254187762225	-0.144866680812864	-0.16429234279562002	-0.1914082246413616	-0.2315058322824437
90.35035035035035	-3.6347679110757123	-3.785865583444502	-4.176989500446804	-4.842163215266875	-5.754759149368708	-6.8832625865287485	-8.064255436120233	-8.919266962294408	-8.911007600483883	-7.924543182630228	-6.443608482537933	-4.936630922500563	-3.588073809444574	-2.48706392362045	-1.606452032949358	-0.9411986934227684	-0.47828396114791466	-0.2010103636971178	-0.12030618996988691	-0.21328079961142615	-0.503659926716684	-0.9799741393033355	-1.6459961061456518	-2.5450134317749527	-3.684889032294965	-5.024908783182794	-6.533181041071544	-7.981040510191149	-8.846940278277527	-8.754331575366558	-7.857566308913196	-6.671567361732673	-5.573449951967076	-4.701597293443262	-4.084311103663112	-3.701695268196565	-3.59259344911326	-3.7401412079686454	-4.136091104365183	-4.7989630293215395	-5.703223660402033	-6.826618591214427	-7.999598615739263	-8.84423926545531	-8.834181852384576	-7.8317347102527615	-6.353594031517564	-4.849384452943896	-3.522720445011552	-2.4149926534322903	-1.5415642145594182	-0.867720266821228	-0.4206929855813415	-0.14789697737862303	-0.0684468661055086	-0.1718269067746765	-0.46071419663910224	-0.9500711369137225	-1.6311258082250029	-2.542427232896036	-3.6717973122760346	-5.033156293271194	-6.56907247707699	-8.018589893718355	-8.923676961398009	-8.838851977381314	-7.926351753897121	-6.738985339421102	-5.618142990484625	-4.742952754884283	-4.1166360533250925	-3.7599305934503184	-3.634088436978605	-3.7564678965186755	-3.72233264461156	-3.683401691764582	-3.6552068327780236	-3.647687524869717	-3.643053735206012	-3.654160451350647	-3.6683751255031205	-3.6972169806695363	-3.7372859672109775	-3.785478689508325	-0.20018009410000645	-0.17248015150174226	-0.1457117069946551	-0.13289903597699979	-0.12123890099244021	-0.11633148875584863	-0.11804088988641574	-0.1284296094921612	-0.1552546384065051	-0.17599835861778598	-0.20966957145271195	-3.7061554862771153	-3.674038287496586	-3.6346131955573147	-3.616890712045433	-3.6024526489955138	-3.5951608282051923	-3.599718431792589	-3.6160829983466223	-3.6458640014902177	-3.6923936472798875	-3.7426997779797486	-0.14147010230431079	-0.1119084363923865	-0.09054829464802383	-0.07275726066354142	-0.06506478660833409	-0.06937123399195609	-0.07028402918027679	-0.08513983308901099	-0.105984190030287	-0.1352599937211691	-0.1637379242757492
90.4004004004004	-3.540161462152717	-3.6844590261418464	-4.075352136790274	-4.732172019718375	-5.636471334746655	-6.75360314790037	-7.909423692322362	-8.752345778437517	-8.769951324194006	-7.819225880947354	-6.367409723529091	-4.887928948145335	-3.5609400780587186	-2.461181911257296	-1.588589291303723	-0.9333396951275182	-0.4784718662624185	-0.20206033681547345	-0.11808959520688027	-0.2140511326765916	-0.49802534655823455	-0.9755451056251498	-1.6504820319026237	-2.537367911902213	-3.655279262641964	-4.979189138389451	-6.476439979809653	-7.867347042114679	-8.713036524992491	-8.598464292086483	-7.703519613769896	-6.544790501580526	-5.457786114472706	-4.585520682029291	-3.961903400720653	-3.5925397510131463	-3.49894610443531	-3.643017024483249	-4.030019042481785	-4.689256943251637	-5.564564151920036	-6.679102772338758	-7.838345877274404	-8.676065967356017	-8.674207931039883	-7.711714709949984	-6.265144114493185	-4.795997316291732	-3.4865158141119426	-2.403501968351783	-1.521943215364634	-0.8676792762574219	-0.4073642417032112	-0.14180300829244508	-0.07151512325769649	-0.17157199472329487	-0.4569731377901215	-0.9413342031308	-1.620182408098008	-2.516111929725116	-3.654707283582954	-4.981402488548719	-6.513819392128211	-7.906696214321445	-8.781748016784283	-8.681129437658877	-7.757956745139726	-6.601503350462708	-5.495604499554096	-4.633526974599603	-4.015980804280052	-3.6517835176454794	-3.5415101946168894	-3.6614448017019456	-3.6112617713636768	-3.579953362624168	-3.570266819090826	-3.544117747836129	-3.5506115599192944	-3.5591206925227077	-3.566253721048832	-3.601046660514348	-3.6435353774975923	-3.688453831340084	-0.19397504438990046	-0.17536290396304915	-0.14914843982168835	-0.13307644172471284	-0.12142029082438151	-0.11651818459477266	-0.12275131025049722	-0.13602027127666397	-0.15701944722492148	-0.18189158238403805	-0.2152526268469282	-3.5959078334704744	-3.55316235161879	-3.531156666155119	-3.5112297038485227	-3.494486486824307	-3.4971083253380923	-3.5056128308548593	-3.5271662085749402	-3.542447556956651	-3.588938689197812	-3.6242823953890815	-0.13470784975936267	-0.11865256502915807	-0.08266347053741095	-0.07002660006343715	-0.06444358176026327	-0.06015599149035522	-0.07008348187528882	-0.0775365351998649	-0.10679287489431623	-0.13420698621647	-0.16706656148425922
90.45045045045045	-3.526754262481191	-3.6674421770644354	-4.056548770758489	-4.696473000555427	-5.582552509537771	-6.686621763953902	-7.833841138330568	-8.67639528229147	-8.693351877979575	-7.782378273240471	-6.365014990440556	-4.90997963902416	-3.5823413136306455	-2.4918443697607358	-1.616385423653529	-0.9479333734231493	-0.498325050955637	-0.22286619796838375	-0.14381061561873604	-0.2430164071665023	-0.5164780823538888	-0.9994895750914661	-1.6619635790910054	-2.5550696218907354	-3.6611347147519044	-4.984933173606319	-6.462918822026863	-7.84356172584858	-8.659506998892097	-8.557235497885255	-7.662623241416513	-6.517457767918584	-5.443777143693447	-4.583640359820293	-3.9624595548154264	-3.586292609713533	-3.4810388295051533	-3.61639358251047	-4.0154605290381316	-4.658310378191374	-5.529645132862007	-6.619074751937594	-7.780729679642461	-8.599602642634894	-8.591979288041015	-7.690642742695697	-6.26838023303218	-4.807799175253348	-3.505437592399024	-2.412252128937402	-1.5484644241786645	-0.8842754903724297	-0.4278707294896897	-0.16538814710783564	-0.08692141433100137	-0.1870563818296993	-0.48261893359840363	-0.9613268501628971	-1.641631832261997	-2.5285846083641577	-3.665443868527492	-4.990683125216229	-6.510397695476324	-7.890242296567858	-8.734450927996424	-8.626793796154622	-7.718234946332368	-6.572839465501196	-5.491430805882816	-4.621066535118762	-4.012970229801552	-3.63803298543155	-3.5403514351417327	-3.6519225817004703	-3.608638852843174	-3.5684017761920916	-3.548714190191911	-3.5387867520061453	-3.528049307103622	-3.537314167163441	-3.5599511134243444	-3.58890549261885	-3.623614112806866	-3.67746182739858	-0.2180558950558534	-0.19481661459746566	-0.16399222780612277	-0.15239126826350843	-0.14085805248739336	-0.1379705417845832	-0.14570768110783633	-0.15370364641993783	-0.17262156516233026	-0.2022858205718265	-0.23337977413519567	-3.5861205552692095	-3.5630669736188505	-3.521856663735696	-3.494558496794885	-3.492070708465065	-3.480257398648667	-3.488005386018398	-3.5036833600434436	-3.524412270338577	-3.5723928409137136	-3.6242043147759673	-0.15234404171841956	-0.1314665978593852	-0.11223456448593025	-0.09306874982423488	-0.08413048597424821	-0.0835166247352201	-0.09202715860645053	-0.10278767508891329	-0.12805337257870933	-0.14991655248144145	-0.1878285257710966
