freq_GHz	trans_5deg_0.0deg_X	trans_5deg_5.0deg_X	trans_5deg_10.0deg_X	trans_5deg_15.0deg_X	trans_5deg_20.0deg_X	trans_5deg_25.0deg_X	trans_5deg_30.0deg_O	trans_5deg_35.0deg_X	trans_5deg_40.0deg_X	trans_5deg_45.0deg_X	trans_5deg_50.0deg_X	trans_5deg_55.0deg_X	trans_5deg_60.0deg_X	trans_5deg_65.0deg_X	trans_5deg_70.0deg_X	trans_5deg_75.0deg_X	trans_5deg_80.0deg_X	trans_5deg_85.0deg_X	trans_5deg_90.0deg_X	trans_5deg_95.0deg_X	trans_5deg_100.0deg_X	trans_5deg_105.0deg_X	trans_5deg_110.0deg_X	trans_5deg_115.0deg_X	trans_5deg_120.0deg_E	trans_5deg_125.0deg_X	trans_5deg_130.0deg_X	trans_5deg_135.0deg_X	trans_5deg_140.0deg_X	trans_5deg_145.0deg_X	trans_5deg_150.0deg_X	trans_5deg_155.0deg_X	trans_5deg_160.0deg_X	trans_5deg_165.0deg_X	trans_5deg_170.0deg_X	trans_5deg_175.0deg_X	trans_5deg_180.0deg_X	trans_5deg_185.0deg_X	trans_5deg_190.0deg_X	trans_5deg_195.0deg_X	trans_5deg_200.0deg_X	trans_5deg_205.0deg_X	trans_5deg_210.0deg_E	trans_5deg_215.0deg_X	trans_5deg_220.0deg_X	trans_5deg_225.0deg_X	trans_5deg_230.0deg_X	trans_5deg_235.0deg_X	trans_5deg_240.0deg_X	trans_5deg_245.0deg_X	trans_5deg_250.0deg_X	trans_5deg_255.0deg_X	trans_5deg_260.0deg_X	trans_5deg_265.0deg_X	trans_5deg_270.0deg_X	trans_5deg_275.0deg_X	trans_5deg_280.0deg_X	trans_5deg_285.0deg_X	trans_5deg_290.0deg_X	trans_5deg_295.0deg_X	trans_5deg_300.0deg_O	trans_5deg_305.0deg_X	trans_5deg_310.0deg_X	trans_5deg_315.0deg_X	trans_5deg_320.0deg_X	trans_5deg_325.0deg_X	trans_5deg_330.0deg_X	trans_5deg_335.0deg_X	trans_5deg_340.0deg_X	trans_5deg_345.0deg_X	trans_5deg_350.0deg_X	trans_5deg_355.0deg_X	trans_5deg_360.0deg_X	trans_1deg_25.0deg_X	trans_1deg_26.0deg_X	trans_1deg_27.0deg_X	trans_1deg_28.0deg_X	trans_1deg_29.0deg_O	trans_1deg_30.0deg_X	trans_1deg_31.0deg_X	trans_1deg_32.0deg_X	trans_1deg_33.0deg_X	trans_1deg_34.0deg_X	trans_1deg_35.0deg_X	trans_1deg_115.0deg_X	trans_1deg_116.0deg_X	trans_1deg_117.0deg_X	trans_1deg_118.0deg_O	trans_1deg_119.0deg_X	trans_1deg_120.0deg_X	trans_1deg_121.0deg_X	trans_1deg_122.0deg_X	trans_1deg_123.0deg_X	trans_1deg_124.0deg_X	trans_1deg_125.0deg_X	trans_1deg_205.0deg_X	trans_1deg_206.0deg_X	trans_1deg_207.0deg_X	trans_1deg_208.0deg_E	trans_1deg_209.0deg_X	trans_1deg_210.0deg_X	trans_1deg_211.0deg_X	trans_1deg_212.0deg_X	trans_1deg_213.0deg_X	trans_1deg_214.0deg_X	trans_1deg_215.0deg_X	trans_1deg_295.0deg_X	trans_1deg_296.0deg_X	trans_1deg_297.0deg_X	trans_1deg_298.0deg_X	trans_1deg_299.0deg_E	trans_1deg_300.0deg_X	trans_1deg_301.0deg_X	trans_1deg_302.0deg_X	trans_1deg_303.0deg_X	trans_1deg_304.0deg_X	trans_1deg_305.0deg_X
90.0	-4.767444137247891	-3.48862552991789	-2.50858545652789	-1.78805375448789	-1.30558240762789	-1.02788079133789	-0.9491096769928901	-1.05032027116789	-1.36341250291789	-1.88267314783789	-2.6416780983578896	-3.6480577026978898	-4.94929600110789	-6.55322075239789	-8.41285753599789	-10.254993919047891	-11.20059347504789	-10.68567037934789	-9.22016001096789	-7.66263485303789	-6.37691116681789	-5.43288612714789	-4.786695483837891	-4.437067989027891	-4.3861246143978905	-4.60428190580789	-5.116890433947891	-5.934113505997891	-7.0789084469478905	-8.51687479368789	-10.07066583984789	-11.09229231234789	-10.70826101654789	-9.10689020505789	-7.24639559141789	-5.54422331205789	-4.16668892255789	-3.12438011518789	-2.35697770467789	-1.80460226884789	-1.46957981935789	-1.32156873098789	-1.36898112646789	-1.59476161352789	-2.04001689306789	-2.7136917149178896	-3.62910318723789	-4.80070591321789	-6.28008222928789	-8.14005804410789	-10.33796358454789	-12.54475927704789	-13.49608755464789	-12.34776163454789	-10.309210303947891	-8.48719644895789	-7.05273723951789	-6.026739600817891	-5.35885143628789	-5.00269174924789	-4.92708778730789	-5.15302610746789	-5.69608402601789	-6.564828876177891	-7.79169369092789	-9.43246031156789	-11.36419248934789	-12.87284708374789	-12.62100744594789	-10.680020812647891	-8.403708938277891	-6.4086785351378905	-4.78823805204789	-1.12122476449789	-1.08547413698789	-1.06725764623789	-1.05112064233789	-1.05556655279789	-1.05858469358789	-1.07323658815789	-1.10005867830789	-1.13247919431789	-1.15779304853789	-1.21171510568789	-4.7608709370278905	-4.73691511503789	-4.7206811939878905	-4.70454264036789	-4.704637054117891	-4.71787596097789	-4.74462986341789	-4.7831573521278905	-4.8354034458778905	-4.89359903684789	-4.96427488675789	-1.28298378339789	-1.27398157468789	-1.25186372152789	-1.24489570012789	-1.25696182599789	-1.26709652295789	-1.28564715734789	-1.31215000501789	-1.34131062379789	-1.38021171441789	-1.43001687875789	-4.84588718763789	-4.81788349500789	-4.79355144849789	-4.78923130384789	-4.7834224735878905	-4.79460525861789	-4.82398319593789	-4.84504080167789	-4.90869427076789	-4.95736933103789	-5.021666530287891
90.05005005005005	-4.712066864029524	-3.451248122210591	-2.4659912328886944	-1.7548707399465266	-1.2757842365707381	-0.9891220422876728	-0.9081415221776075	-1.0099416561723233	-1.3160018958285444	-1.8316864751770652	-2.5947909205222106	-3.6048557586908747	-4.895358493060139	-6.501081225430189	-8.359627729224803	-10.178125764058294	-11.16221718100394	-10.664353308382111	-9.203497040656119	-7.662372173648108	-6.371053907404278	-5.437381571401546	-4.79229198899754	-4.448608593462904	-4.386656788655209	-4.612177824753986	-5.127038464335849	-5.950534596018	-7.085216284315929	-8.520502113169822	-10.045175429023487	-11.027337939957295	-10.604464057292732	-9.034222446082513	-7.172621577867348	-5.4811966233465	-4.124798224649005	-3.082780916092534	-2.3014612279380233	-1.7595014629801347	-1.42922498398285	-1.2776389784664086	-1.3166962599872216	-1.5590626816727802	-2.0008528172148026	-2.6625211060227008	-3.5843183171290316	-4.757327808431738	-6.229764014075288	-8.094432791471041	-10.281330290781804	-12.4812538051692	-13.476290172846067	-12.38846251510412	-10.360917209535833	-8.527970830285545	-7.0866968932893295	-6.054532707195954	-5.376783868612188	-5.0282151804425	-4.9551041078928595	-5.184533855977995	-5.7343733941152975	-6.618023257873762	-7.8381336155788235	-9.49643738758577	-11.405275928915533	-12.886522948747189	-12.568072857261706	-10.618542604148281	-8.346593927258414	-6.3627083335399055	-4.7446661184374275	-1.0768496401130996	-1.042091556950445	-1.0207569674699088	-1.0140552653620472	-1.0100865089389315	-1.0139852909347604	-1.0281340622837765	-1.0501319854125282	-1.0722120492369513	-1.1099629470595067	-1.1550754122970421	-4.782600987339625	-4.760931431034661	-4.735104536788408	-4.731818757897373	-4.737383294316473	-4.733317017477067	-4.757763078661976	-4.79572284809913	-4.856873568395121	-4.914826235892819	-4.982575612546894	-1.2395872014094336	-1.2215966182358104	-1.2100934518548405	-1.2016273891257603	-1.2033806497863617	-1.212379962153659	-1.2305956560236486	-1.2596174123330384	-1.2852460400550894	-1.3330411636964639	-1.3815466441543296	-4.873626420961715	-4.845702582089786	-4.81834082349416	-4.808388418658617	-4.805289780450665	-4.81164959581647	-4.841866071076033	-4.87240318043198	-4.9140296753657005	-4.975069542703332	-5.044525444604724
90.10010010010011	-4.640697601230106	-3.3920013157896958	-2.424151266688865	-1.6979560631618873	-1.227554604961337	-0.9517973625306634	-0.8716654373883421	-0.973455639660269	-1.273266278850476	-1.7811929737205963	-2.542256140281257	-3.5344799605776034	-4.808969696029486	-6.38212645331376	-8.201885698584682	-9.999719713085593	-10.979637996399749	-10.51218498391246	-9.10013237016328	-7.605595917820046	-6.335872950639305	-5.397989333956793	-4.759165368908325	-4.424326214372169	-4.352257691135401	-4.582925381038304	-5.09347118847318	-5.888218111010437	-7.0190232210840415	-8.415985132984392	-9.910002762641529	-10.83978686054189	-10.40898039516261	-8.841997071939417	-7.046121788958085	-5.379396904727313	-4.045564873232849	-3.0213208826490345	-2.25967813280476	-1.721289484375341	-1.3825801330851408	-1.2467450171075831	-1.2789282036491147	-1.5110483043318674	-1.9511998884917274	-2.6126001680972832	-3.518630286027133	-4.683146788222689	-6.131541869571878	-7.966146972946303	-10.143665048134181	-12.319787528290338	-13.348383863226474	-12.277836144506752	-10.30800607451406	-8.504042608035132	-7.062575216432888	-6.034600103493169	-5.367617915733249	-5.010232702296292	-4.941373142306231	-5.170364469408524	-5.705002367345822	-6.5634376473187155	-7.797766074792489	-9.420825015826875	-11.289016407466512	-12.687475691124972	-12.356491396036084	-10.446361994017964	-8.197472950149367	-6.254705334837474	-4.6526670320179635	-1.0320466179541676	-0.9937283228744869	-0.977560743464425	-0.9734748785961037	-0.9615098170854257	-0.9749562316989455	-0.9854671772818986	-1.0078170217456655	-1.0341808933471468	-1.0625033726100253	-1.115176673316472	-4.744003158701097	-4.719325377565921	-4.7101742338557715	-4.689377599802168	-4.691956863535741	-4.709468017023509	-4.720669117091777	-4.769261193374221	-4.81061515271437	-4.8721312696415575	-4.938334984610867	-1.202461663339435	-1.1828010704259315	-1.1682637727336294	-1.1634387626617473	-1.161915479989575	-1.1711331878217168	-1.190792504995531	-1.21792757609445	-1.2477748387107963	-1.2848283987109461	-1.3405144802009263	-4.837003024640186	-4.799806658123609	-4.775899482111386	-4.7570289050348205	-4.7661459346026085	-4.778441264249395	-4.795138681528194	-4.824221912001677	-4.873034689431396	-4.923060936760136	-4.98993930805472
90.15015015015015	-4.570739455407448	-3.3267060242579887	-2.3668824996218927	-1.661284456735496	-1.1835443425799406	-0.9040442341735231	-0.8222462950111775	-0.923918488857661	-1.2293349056886191	-1.7374825269910819	-2.4859244687344755	-3.4814621213591606	-4.7466105856289795	-6.302555581104386	-8.116701070247212	-9.863919494386911	-10.831410945017481	-10.392513053211474	-9.027397563859822	-7.53201964810072	-6.277505970563722	-5.329581779037596	-4.708325659538527	-4.3510183214050135	-4.3008712175656445	-4.5133092768465755	-5.003233812226244	-5.804672120921259	-6.907447363877146	-8.285708749608379	-9.75305690563985	-10.64957548977724	-10.251884473329492	-8.728133666974177	-6.955233761487899	-5.319357767471562	-3.993700233663965	-2.9767226263521036	-2.213894687963995	-1.677689980454145	-1.3408803524544453	-1.2033451101057369	-1.2353056955526738	-1.465709144994836	-1.9036385719384092	-2.5559207813093106	-3.4626271946593405	-4.615859220691532	-6.05182280983991	-7.879153331835768	-10.015308690881266	-12.188434361701868	-13.220170686881445	-12.211254387654117	-10.235219461444803	-8.4475334256218	-7.0328627420208685	-6.00251879276324	-5.325301302086154	-4.966682856495823	-4.889782295565703	-5.124319769589127	-5.651637942221499	-6.494975065679215	-7.729328792728195	-9.320620389303631	-11.193748509875435	-12.56436861888685	-12.211339989187453	-10.31655028779556	-8.107582841185378	-6.175333872210391	-4.5964014852312625	-0.9968861447027515	-0.9591119860323433	-0.939333652943277	-0.9316350409515713	-0.9273466610991149	-0.9347194658686528	-0.9408657128328868	-0.9634494158542503	-0.9902504711119349	-1.0343777608928328	-1.0731538000716343	-4.694833088201108	-4.677711518311169	-4.660151776599907	-4.634937101651198	-4.648917352829217	-4.652795452249517	-4.6785750904537515	-4.711951271539577	-4.763877583686724	-4.810144047830988	-4.879025963331979	-1.1627512250200613	-1.137963437812313	-1.126380862050992	-1.126655151886998	-1.1276781537461873	-1.1446987104087103	-1.1536420426154665	-1.1810412113326738	-1.2078248598854964	-1.2541123442423434	-1.3035362575836649	-4.782785230926754	-4.75735250965207	-4.739603593895674	-4.7126106700312285	-4.718082847528166	-4.724011946722279	-4.752580162988856	-4.778092760932579	-4.830171933036034	-4.87466098882288	-4.941567555556995
90.2002002002002	-4.4764611191899615	-3.2347000772397805	-2.26962785278995	-1.5738068255262967	-1.0949498336870171	-0.8140053738423014	-0.7375860155838361	-0.8374571964383157	-1.1410080480382185	-1.6448806690806606	-2.394236191684915	-3.371765483312042	-4.637237501877237	-6.173548101611463	-7.959364493753447	-9.695819871750764	-10.673717984540376	-10.24664263762446	-8.915083424893547	-7.464688472746141	-6.213821724078691	-5.286580086062195	-4.654508591484767	-4.303586266124386	-4.243162192215147	-4.463606333061324	-4.960350624979532	-5.7657602817304054	-6.859235502768133	-8.226449263655722	-9.673416569013401	-10.528411577716154	-10.127325018699434	-8.61054614625711	-6.845392770181243	-5.2256021154204415	-3.892264803678989	-2.867621355054454	-2.115049750549069	-1.5802752232476278	-1.2423404967732932	-1.103438850112993	-1.1377219117556057	-1.3598450686716415	-1.8076749963181191	-2.4577878309753056	-3.362214865334505	-4.508757693702914	-5.949394080799001	-7.747839151864968	-9.852703500027541	-12.008391933792929	-13.067626804007944	-12.103741631339973	-10.204114774430364	-8.421962046710743	-7.00374044318849	-5.981191890797649	-5.301630673414495	-4.937229629814836	-4.8710520301610725	-5.082969149381932	-5.631503969405056	-6.4920539252848775	-7.7086592768974205	-9.304130666669012	-11.134072462055391	-12.441495424617953	-12.059873469979614	-10.183217873252786	-7.982608560156958	-6.0693924771382095	-4.493295343856498	-0.9039857580924158	-0.862578353254331	-0.847235648190234	-0.8380643776179074	-0.8316056937265726	-0.8310299092178669	-0.8440438899865342	-0.8637185729852345	-0.8938912072774862	-0.9337396985726302	-0.9817689176987474	-4.679139667388351	-4.649857529952386	-4.629558306739102	-4.61355656481698	-4.616072690347391	-4.627596409181623	-4.647165540770203	-4.6819791792067385	-4.729042227749042	-4.790900944295668	-4.860852091946169	-1.0585265635245344	-1.048055115591302	-1.024914598026577	-1.0237614512496098	-1.0261786366527827	-1.034625888418689	-1.0508515154096298	-1.0776583044131234	-1.113493603342443	-1.1518113025507413	-1.199556002096066	-4.760036225855497	-4.728551330812524	-4.7020554077873	-4.698545408987961	-4.693750668640333	-4.703056019292545	-4.725080527171214	-4.752473135076619	-4.79887901227829	-4.848156538400112	-4.9157278438195915
90.25025025025025	-4.456076708687088	-3.2163941123243447	-2.258033856540581	-1.5564910023581089	-1.080937567822832	-0.8034241711905787	-0.7245454199815523	-0.8226055772469175	-1.1238479582495582	-1.6354106768932022	-2.3849902831314904	-3.361238898272631	-4.623192335921461	-6.152206327158638	-7.906920526404926	-9.619542351762806	-10.562056584220787	-10.145707467241808	-8.839723751995178	-7.386835984449369	-6.1715765708715615	-5.234922000287397	-4.610667561193101	-4.264896871858196	-4.211611315109067	-4.419144089919958	-4.910297986435714	-5.681685447983981	-6.772998403429769	-8.12415817650024	-9.537204121736847	-10.390723331350513	-10.031329800141506	-8.55755567770634	-6.812811025080823	-5.201672310873976	-3.881673602183124	-2.864953221792322	-2.1093285062773277	-1.5670989665173267	-1.2342354097863355	-1.0924487551184279	-1.1253862917248036	-1.3530534216321308	-1.7798353669214502	-2.4439688834325914	-3.3457631251444435	-4.488136182005796	-5.913212329703033	-7.698941771854736	-9.798122123243187	-11.914365580175044	-12.965883969844011	-12.052899593438303	-10.16318991359976	-8.392879243414422	-6.975579324597225	-5.957673030148375	-5.286336222738746	-4.916573944800748	-4.846377872780769	-5.073306556031359	-5.608373986398027	-6.453005447334952	-7.649969067352249	-9.247099444724244	-11.030640932267827	-12.341634798871436	-11.9632212615369	-10.108664809320084	-7.959000572951434	-6.046431074441644	-4.475232500262534	-0.8718565449950052	-0.8433262636484179	-0.82561872640399	-0.8206024550473004	-0.8063512418737968	-0.8214134217634013	-0.8253106591122675	-0.8515392653952976	-0.8733071537362971	-0.9165843079528382	-0.9626698935968088	-4.627092202796283	-4.586835371773829	-4.572136388571207	-4.564026175131118	-4.561552428918234	-4.58604156964286	-4.603678708841648	-4.644560644270228	-4.688177145801068	-4.737584474736984	-4.803946451429476	-1.048318449850089	-1.025664506420334	-1.0090082734608887	-1.0080258229875965	-1.0169887418548587	-1.021530100644518	-1.03673498199194	-1.064948173307346	-1.0927204804644426	-1.1317099478867048	-1.1866407098993985	-4.724507923049766	-4.695095756559997	-4.665523341278766	-4.646276706742638	-4.647737840803369	-4.661169847143719	-4.674246462786002	-4.704787642199816	-4.7598925255451325	-4.806698901569556	-4.872650504758855
90.30030030030031	-4.391780170023357	-3.156299091817229	-2.203371161593026	-1.4952508638557584	-1.0431632996984688	-0.7607120101506027	-0.6882906897634951	-0.787819415026101	-1.089307211679525	-1.597559006504948	-2.346108664760053	-3.3268571792735075	-4.580767299100295	-6.1012738414737475	-7.840938239982698	-9.51092160549453	-10.42260761787886	-10.014779788012309	-8.74865506554438	-7.334913915129004	-6.1173714185926364	-5.187937648944044	-4.584824642048131	-4.2365146397149465	-4.175052234501673	-4.389085859651642	-4.870421339225576	-5.658217260931041	-6.7264488149302615	-8.067516591593687	-9.471843451488615	-10.303175898752132	-9.91984564814102	-8.455889771789396	-6.734814769652605	-5.127314286689722	-3.818230677438251	-2.809855830345549	-2.0497100107689112	-1.5220128456764197	-1.1947942848347988	-1.0481880364137708	-1.089650359024979	-1.3165747916693629	-1.7462853445309534	-2.4049872977568705	-3.3030274864425158	-4.428048760829691	-5.860928709941224	-7.625963458570803	-9.692059154404738	-11.740965661165038	-12.802185480826601	-11.95641456184552	-10.111084357886057	-8.364246151972694	-6.948057356324823	-5.950777248365786	-5.267835515179178	-4.902353547140619	-4.822945985495153	-5.053253006070469	-5.578134205748486	-6.440029370317406	-7.638396481989598	-9.187768963143771	-10.9878258445287	-12.237901004417592	-11.866355711090867	-10.02009877047489	-7.8640765497231175	-5.960742250001554	-4.4025730769538365	-0.8418771803193147	-0.8118331816814078	-0.7981516185096577	-0.7802782742097171	-0.7812169875818286	-0.7838434954293481	-0.7958401663157443	-0.8209439555074955	-0.8495730744819971	-0.8855118690298468	-0.9237245805980507	-4.61800094531077	-4.591186239697107	-4.5710131611499	-4.5539588926097485	-4.556972626591762	-4.56535699753933	-4.58939265467041	-4.622464486210199	-4.679650264959959	-4.726591097128307	-4.805911777042182	-1.0095497134943359	-0.9930094517741049	-0.9845957437072793	-0.9721742386567261	-0.9806356762612342	-0.9887388017074498	-1.0106733977979283	-1.0317497297848888	-1.0643092481214176	-1.1062444510726666	-1.1480723699623354	-4.712893669094464	-4.685405413091462	-4.656825549393593	-4.645381378845095	-4.647764857247888	-4.662501104388699	-4.671490898146356	-4.70399474789218	-4.73930286838092	-4.80264555420014	-4.8696547497493
90.35035035035035	-4.306044376669479	-3.0809120272904282	-2.119211313622899	-1.416874936291567	-0.9471710841741049	-0.6774691209221892	-0.5987697113191894	-0.7070589763787738	-1.001136137038154	-1.5139981347358218	-2.2627555913675836	-3.23147447094336	-4.4771559766041005	-6.0054260188234725	-7.726815381701282	-9.379510953991037	-10.246963886647222	-9.890469840356584	-8.637519866988804	-7.231034379125829	-6.0235020014295095	-5.12828299903128	-4.5012206997991075	-4.167176357397835	-4.115908729202741	-4.326887662963611	-4.808944842500009	-5.601932838292292	-6.660171862972923	-7.971648502654746	-9.342621693520494	-10.149208031669646	-9.771508574856322	-8.33794705790817	-6.655101101220541	-5.050304295443121	-3.734627738748445	-2.7219086008547597	-1.972494115835542	-1.4380415278417678	-1.1033167882168733	-0.9657012983889095	-0.993955454506489	-1.226162160615973	-1.6680972447463343	-2.311476557836904	-3.214165276845083	-4.355087859269158	-5.772729369147866	-7.547385844397818	-9.59320025115912	-11.664927975173445	-12.70157527546494	-11.856896469189762	-10.052203742656058	-8.308440147356565	-6.909312454446133	-5.893241876609918	-5.224607022331348	-4.872437085733692	-4.803423478693541	-5.013429519073429	-5.550963620418515	-6.4058761424991975	-7.6066192993649535	-9.172172522533211	-10.919260500449518	-12.136793081289065	-11.751995157281058	-9.910885492019435	-7.764500870501161	-5.8827240832390775	-4.319519625309108	-0.7542420316196639	-0.7240962138095466	-0.704428689095025	-0.6925286104298393	-0.6906423971028163	-0.6934718890157274	-0.706949158012784	-0.7263258136706469	-0.7538843731426564	-0.7928440306081918	-0.8325731228230033	-4.561736617617426	-4.542676841672982	-4.510880280318206	-4.509358037116456	-4.507905645550319	-4.51104154483321	-4.546568392292431	-4.57915474154973	-4.631814202050831	-4.683584451456425	-4.755764791331481	-0.9214131857937932	-0.9010628862352444	-0.8903760040891029	-0.8846774767872776	-0.8868878266755981	-0.9013348899133466	-0.9122432985389307	-0.9389962615003031	-0.9676830508018032	-1.0132623262501452	-1.064783246204452	-4.669229570947759	-4.627341575943383	-4.603820666197677	-4.599089644468868	-4.593790664340599	-4.605320373467627	-4.633656252631913	-4.669438036610211	-4.7024597949964555	-4.755671643896586	-4.816808649985654
90.4004004004004	-4.239095830448636	-3.0168453244829188	-2.0724899915477235	-1.3807168078351302	-0.9066901233085385	-0.6435947785015725	-0.5631174068539435	-0.6632576685516129	-0.9585811631677097	-1.4702626495264715	-2.2157991499128693	-3.182877419459176	-4.4297002279369755	-5.935833207704216	-7.632045587730053	-9.239604871538445	-10.099830232111987	-9.737012838208454	-8.494917774924676	-7.122332585219217	-5.943107754724822	-5.052892760700407	-4.438984694648374	-4.113676417566984	-4.053386178800436	-4.26706264576195	-4.743334350037886	-5.524958729256156	-6.576798425529101	-7.877656131763077	-9.208945496650609	-9.992294615920077	-9.627608691471197	-8.229350620669912	-6.561266213554655	-4.991430695811669	-3.6844390248759527	-2.686027315749916	-1.9234286145614858	-1.395213910992938	-1.0571897694375507	-0.9168724906799142	-0.9462179943586454	-1.1744641965230176	-1.6058570363592441	-2.25722965522471	-3.1501485011307464	-4.289464307481791	-5.705336126227609	-7.465953152327292	-9.492374188054683	-11.550313091277664	-12.557850562677856	-11.758141683602679	-9.941516935271169	-8.244829583441387	-6.860806793411357	-5.832199612045689	-5.173771310604838	-4.809518738541076	-4.745410041752777	-4.976805593743078	-5.49952387295475	-6.347154172316072	-7.538001454616223	-9.096990870632215	-10.842700196322301	-11.993133672727007	-11.597175128344226	-9.76407040094566	-7.689674562030313	-5.813633288572834	-4.248369073596214	-0.6997322117825469	-0.670012605725215	-0.6528239263771871	-0.6457085840204636	-0.6335966226554646	-0.6434752407596407	-0.6616094360461555	-0.6805521355242075	-0.7033071252897098	-0.744149265691389	-0.7864280940157499	-4.496101090968634	-4.474556488420785	-4.4507951000028685	-4.429422298693487	-4.440716150984489	-4.4572064653227566	-4.483550370378614	-4.496113507341134	-4.552921044438271	-4.617258334771116	-4.678367319634918	-0.8652562262640082	-0.8467521661974153	-0.8404606988105698	-0.8386194538173024	-0.8297308818699276	-0.8457681235230613	-0.861955732839401	-0.8877358511025065	-0.9210170103365487	-0.960296334731748	-1.0070161102121566	-4.583501464838863	-4.548225046621354	-4.529433788708441	-4.527156980536151	-4.523412445627821	-4.52625550866724	-4.54549372051813	-4.581441785581996	-4.631551150078033	-4.6778769892692535	-4.751529761246932
90.45045045045045	-4.214964672821654	-3.0044994628522836	-2.0622672911556177	-1.3762911939784124	-0.9036401703927802	-0.6396790829164659	-0.5628504745436553	-0.665027582468528	-0.9628836239088897	-1.4660767612567882	-2.200196265677869	-3.1630807970365162	-4.392540931204986	-5.872163857999579	-7.562101200393457	-9.146264483836973	-10.009375421308599	-9.651812522838869	-8.453197165154092	-7.093601380956523	-5.921600319819854	-5.034515118312287	-4.42583229685616	-4.092465681572826	-4.036226059441116	-4.2417597464941785	-4.719823974243817	-5.480213139006251	-6.5169026739312095	-7.800990920388056	-9.1033003819277	-9.886487913066437	-9.536519552711662	-8.16254392779904	-6.512966563611294	-4.961669616374986	-3.6692796672076886	-2.6724797793669683	-1.9264313009817433	-1.3908413085189513	-1.0680860619638168	-0.9193404838152582	-0.9612367212609539	-1.1739750461907539	-1.6028252448376907	-2.248575519372105	-3.1411646459951688	-4.24835854986841	-5.648197534425978	-7.37416362282868	-9.377301159780483	-11.38481344139301	-12.444430080094817	-11.656449278761475	-9.926846499421114	-8.246519006625709	-6.854084469755888	-5.841610456951472	-5.182828138043004	-4.810982170976336	-4.751849513375798	-4.966057626554806	-5.489016987752915	-6.3343731943886805	-7.513825575012015	-9.037577950777239	-10.737432655463278	-11.872294996841658	-11.447699773956973	-9.692393452777242	-7.619330560341112	-5.758625493971472	-4.225820699828499	-0.7107578709695384	-0.676188565627313	-0.6670420540721792	-0.6491507437152233	-0.6462712857476917	-0.6483929082456458	-0.6625255942719804	-0.6745228381151596	-0.6977622230148165	-0.7440361456136195	-0.7897341165833136	-4.496582047935528	-4.470643979514446	-4.439627560983455	-4.440194705087779	-4.438986399722464	-4.456871814060662	-4.474060955924897	-4.513086838270843	-4.565539969552826	-4.6122770648105735	-4.690199370355799	-0.8683636886954124	-0.851907208197331	-0.8429059386626386	-0.8339137768268444	-0.8453440371241251	-0.8475725672648451	-0.8619867724722499	-0.8915432734913217	-0.9158116815702867	-0.9622637076794933	-1.0069159650918174	-4.589001715216969	-4.564826191582465	-4.545381249110122	-4.526304446400031	-4.528950523191114	-4.53930435474796	-4.564617349799762	-4.589006208661203	-4.632581701722826	-4.6771120719399395	-4.747481843946788
