freq_GHz	trans_5deg_0.0deg_X	trans_5deg_5.0deg_X	trans_5deg_10.0deg_X	trans_5deg_15.0deg_X	trans_5deg_20.0deg_X	trans_5deg_25.0deg_X	trans_5deg_30.0deg_X	trans_5deg_35.0deg_X	trans_5deg_40.0deg_X	trans_5deg_45.0deg_X	trans_5deg_50.0deg_X	trans_5deg_55.0deg_X	trans_5deg_60.0deg_E	trans_5deg_65.0deg_X	trans_5deg_70.0deg_X	trans_5deg_75.0deg_X	trans_5deg_80.0deg_X	trans_5deg_85.0deg_X	trans_5deg_90.0deg_X	trans_5deg_95.0deg_X	trans_5deg_100.0deg_X	trans_5deg_105.0deg_X	trans_5deg_110.0deg_X	trans_5deg_115.0deg_X	trans_5deg_120.0deg_X	trans_5deg_125.0deg_X	trans_5deg_130.0deg_X	trans_5deg_135.0deg_X	trans_5deg_140.0deg_X	trans_5deg_145.0deg_X	trans_5deg_150.0deg_O	trans_5deg_155.0deg_X	trans_5deg_160.0deg_X	trans_5deg_165.0deg_X	trans_5deg_170.0deg_X	trans_5deg_175.0deg_X	trans_5deg_180.0deg_X	trans_5deg_185.0deg_X	trans_5deg_190.0deg_X	trans_5deg_195.0deg_X	trans_5deg_200.0deg_X	trans_5deg_205.0deg_X	trans_5deg_210.0deg_X	trans_5deg_215.0deg_X	trans_5deg_220.0deg_X	trans_5deg_225.0deg_X	trans_5deg_230.0deg_X	trans_5deg_235.0deg_X	trans_5deg_240.0deg_E	trans_5deg_245.0deg_X	trans_5deg_250.0deg_X	trans_5deg_255.0deg_X	trans_5deg_260.0deg_X	trans_5deg_265.0deg_X	trans_5deg_270.0deg_X	trans_5deg_275.0deg_X	trans_5deg_280.0deg_X	trans_5deg_285.0deg_X	trans_5deg_290.0deg_X	trans_5deg_295.0deg_X	trans_5deg_300.0deg_X	trans_5deg_305.0deg_X	trans_5deg_310.0deg_X	trans_5deg_315.0deg_X	trans_5deg_320.0deg_X	trans_5deg_325.0deg_X	trans_5deg_330.0deg_O	trans_5deg_335.0deg_X	trans_5deg_340.0deg_X	trans_5deg_345.0deg_X	trans_5deg_350.0deg_X	trans_5deg_355.0deg_X	trans_5deg_360.0deg_X	trans_1deg_55.0deg_X	trans_1deg_56.0deg_X	trans_1deg_57.0deg_X	trans_1deg_58.0deg_E	trans_1deg_59.0deg_X	trans_1deg_60.0deg_X	trans_1deg_61.0deg_X	trans_1deg_62.0deg_X	trans_1deg_63.0deg_X	trans_1deg_64.0deg_X	trans_1deg_65.0deg_X	trans_1deg_145.0deg_X	trans_1deg_146.0deg_X	trans_1deg_147.0deg_X	trans_1deg_148.0deg_O	trans_1deg_149.0deg_X	trans_1deg_150.0deg_X	trans_1deg_151.0deg_X	trans_1deg_152.0deg_X	trans_1deg_153.0deg_X	trans_1deg_154.0deg_X	trans_1deg_155.0deg_X	trans_1deg_235.0deg_X	trans_1deg_236.0deg_X	trans_1deg_237.0deg_X	trans_1deg_238.0deg_E	trans_1deg_239.0deg_X	trans_1deg_240.0deg_X	trans_1deg_241.0deg_X	trans_1deg_242.0deg_X	trans_1deg_243.0deg_X	trans_1deg_244.0deg_X	trans_1deg_245.0deg_X	trans_1deg_325.0deg_X	trans_1deg_326.0deg_X	trans_1deg_327.0deg_X	trans_1deg_328.0deg_O	trans_1deg_329.0deg_X	trans_1deg_330.0deg_X	trans_1deg_331.0deg_X	trans_1deg_332.0deg_X	trans_1deg_333.0deg_X	trans_1deg_334.0deg_X	trans_1deg_335.0deg_X
90.0	-5.771201117665078	-7.540161116745078	-9.584721549185078	-11.554697974385078	-12.396736128985077	-11.449906333085078	-9.717710478925078	-8.055706961775078	-6.745080454975078	-5.783038600115078	-5.136829360155078	-4.820260985525078	-4.782197936205078	-5.017083151965078	-5.554290755415078	-6.420100672865078	-7.620968802595078	-9.202341063645077	-10.944951041385078	-12.160809500885078	-11.734286292185079	-9.952357276105078	-7.843050463825078	-6.018302901415078	-4.502429946095078	-3.3205306369350778	-2.4234781104650778	-1.751249297285078	-1.310713751935078	-1.079716547155078	-1.037803633835078	-1.194436534075078	-1.561040623815078	-2.132984383735078	-2.951646311905078	-4.051101668505078	-5.443551047475078	-7.169178946645078	-9.214291556505078	-11.242670043185077	-12.206302626785078	-11.399451239685078	-9.675428374435079	-7.992545111805078	-6.676838381915078	-5.693462832595078	-5.058700545455078	-4.740092738295078	-4.700600608015078	-4.957246764335078	-5.517668231155078	-6.407080634265078	-7.662841780805078	-9.273385985525078	-11.107139571385078	-12.380213721385077	-11.940768225785078	-10.046387656385077	-7.956539137985078	-6.105184062155078	-4.613299830585078	-3.427798255115078	-2.544024689825078	-1.906329258115078	-1.479271038205078	-1.262459500455078	-1.245746358065078	-1.436461313395078	-1.808730466985078	-2.418201668885078	-3.264048083455078	-4.364648326065078	-5.786327822835078	-4.834664328725078	-4.798097117575078	-4.772829516555078	-4.766045554305078	-4.769964678915078	-4.782206519275078	-4.814133628035078	-4.850036128195078	-4.889996035725078	-4.946355326795078	-5.016915305285078	-1.070143683585078	-1.061746581225078	-1.046114309455078	-1.040023787645078	-1.035788281585078	-1.041251762535078	-1.058522089155078	-1.085186226995078	-1.112103326945078	-1.153642638355078	-1.193325265075078	-4.731333716535078	-4.713587268025078	-4.696329100755078	-4.688096030385078	-4.698621256975078	-4.711696131855078	-4.738365157275078	-4.768044455675078	-4.825633032945078	-4.890511496695078	-4.964007838395078	-1.257168157725078	-1.247323258545078	-1.236091955335078	-1.237539275315078	-1.240429862165078	-1.257969959405078	-1.270030601645078	-1.296113713415078	-1.336819155845078	-1.384040935665078	-1.434990032345078
90.05005005005005	-5.70760669531548	-7.477217433446354	-9.509961479302806	-11.4832070847246	-12.36929308285733	-11.466981659400561	-9.740105192463846	-8.069181052534883	-6.768840086475791	-5.797778844832101	-5.157380502859977	-4.832179120357715	-4.791199334033353	-5.029932742121248	-5.573773658315103	-6.442306369391271	-7.637861920786588	-9.22469272818852	-10.938487309483147	-12.11658066314983	-11.642503741007683	-9.846646295293914	-7.769959041899127	-5.949508591343258	-4.442395463959309	-3.2684968436741224	-2.358959478184273	-1.6924017604514485	-1.2482157086434713	-1.0173060064730732	-0.9735061806132297	-1.1393622803173762	-1.4959048366878254	-2.074836078947419	-2.88381818393684	-3.985589130267987	-5.363788963441222	-7.094443391153326	-9.128661739691214	-11.136573567866044	-12.155443639938522	-11.395116289318986	-9.682818417313568	-8.020246004316983	-6.6827511613248	-5.707251491724552	-5.0627049433180895	-4.755489051756793	-4.724330057974344	-4.969033190443215	-5.526595937362068	-6.425698415651963	-7.673689406194849	-9.276842856911012	-11.094953026972938	-12.326101228450435	-11.812739472271543	-9.950467399644772	-7.864824467113044	-6.043990029466553	-4.536876967954519	-3.3695901779136905	-2.480106214622759	-1.8421787698969077	-1.4201240208986787	-1.2040073648440928	-1.186621489349457	-1.3641138464570137	-1.748638583969158	-2.359257139602375	-3.192826809709523	-4.290858589730759	-5.721528027752538	-4.846513549848195	-4.817604847975173	-4.784582497242662	-4.784275822688057	-4.782747918062702	-4.8027250905223156	-4.826701461853402	-4.863623758693475	-4.902794195248534	-4.959198099473487	-5.030452765745862	-1.013733356799227	-0.9967118066123387	-0.9856432854723578	-0.9750921741753049	-0.9794030061842637	-0.9828337685728005	-0.9993810965735475	-1.0246560833706584	-1.0504821478029505	-1.0923878980713186	-1.1376554710610178	-4.748383769995763	-4.728252878414632	-4.709336836180379	-4.7038294548248825	-4.7018789259413465	-4.726463923821291	-4.745486657306922	-4.784299622068865	-4.839045654663301	-4.906704255168343	-4.97305806167263	-1.1999722374376558	-1.1919520765201208	-1.1750978828079361	-1.1718278713984938	-1.1769862941062634	-1.1964523125201898	-1.21038107459218	-1.2401420621425105	-1.2687402304903943	-1.3199774009016687	-1.3706183676982449
90.10010010010011	-5.6259856454358905	-7.384928944475411	-9.398697931007833	-11.329096545615982	-12.226104237627993	-11.365677989778042	-9.6700033808658	-8.042004686098473	-6.721901915689303	-5.76934620293627	-5.135791836440084	-4.810239421588912	-4.762200289778482	-5.010547717291446	-5.549659437961095	-6.412024783057121	-7.600296797213538	-9.150655233463509	-10.829040315035202	-11.95040343269246	-11.489902256377144	-9.714982897307625	-7.676991093863499	-5.869806202443188	-4.378277468015179	-3.2084994677712553	-2.331061550210644	-1.6700557940477316	-1.223430156707181	-0.9914400331727845	-0.9607669479012031	-1.1114967008944783	-1.471937468103287	-2.0379270255501436	-2.8406625680645887	-3.9229668989810556	-5.295903884252948	-6.988201592059735	-8.984336538597333	-10.976182324356023	-11.976724885820285	-11.270691955269635	-9.604690033987692	-7.973958323432656	-6.666924765991616	-5.6818795467902845	-5.0572582457062705	-4.7350812212475315	-4.69623753031623	-4.966451841190936	-5.506840785703177	-6.39044491748502	-7.629791907120055	-9.208852222489805	-10.975205112705773	-12.14868562488195	-11.671617864573342	-9.827631698000467	-7.762932274430046	-5.958529460056712	-4.456624766247221	-3.3153514173551293	-2.4284659946234175	-1.8079951912071612	-1.3882290839678118	-1.1761773432054594	-1.1624542100078217	-1.3436030744938579	-1.720427729580234	-2.318853810149804	-3.1485290390098637	-4.2301479308374415	-5.636628868939434	-4.826212043992707	-4.7935251260024065	-4.756289786765869	-4.7540055754376915	-4.754252167554398	-4.759597977958912	-4.79928891543705	-4.827486423042907	-4.8853840285006545	-4.950597357463608	-5.011362531283147	-0.9891047887020358	-0.974104972692443	-0.9591650672259247	-0.9513877109956214	-0.9501049721435892	-0.9624829408643192	-0.9782083300018486	-0.9937878135922059	-1.0276584356754033	-1.069668684159834	-1.1167174973921963	-4.7270970403020565	-4.704807591392857	-4.682651562374018	-4.67912555731622	-4.6859605893466805	-4.695547120703358	-4.728649964801545	-4.76539052654535	-4.815259586110716	-4.892107349379584	-4.951347292482707	-1.1746287958087125	-1.1579420364871509	-1.1498606410244783	-1.1557538937748386	-1.1545053434126162	-1.165854812740374	-1.1861943683141478	-1.2153920658330069	-1.2574142416899234	-1.2983582920749288	-1.35008604760592
90.15015015015015	-5.553014961560996	-7.284634129179376	-9.271155308788327	-11.200343272454694	-12.080134821490729	-11.272453016052589	-9.577701734821234	-7.97427924771766	-6.6852903037823745	-5.711797813147179	-5.088958032965017	-4.76153530813856	-4.715116558242944	-4.953512746048861	-5.491971452786848	-6.337276076523966	-7.520535925953335	-9.060670795494747	-10.705366003015351	-11.81628873908112	-11.330346597306043	-9.563213872587573	-7.558404714970155	-5.793671139836462	-4.315833352457573	-3.1456926815211754	-2.2818224774863114	-1.6249685750356508	-1.1879412448886841	-0.9496386558851074	-0.9133589703809452	-1.0671699944946298	-1.4290811894951407	-1.993247438230096	-2.780443858926822	-3.8508821565860116	-5.201118913251057	-6.894392656602289	-8.865589187776676	-10.841476131196735	-11.860528871603945	-11.18224976527241	-9.56169987022559	-7.9238740375167	-6.6156338243227655	-5.636452826766639	-5.000709934743545	-4.6744403711359785	-4.6351645974882	-4.892109100635077	-5.451917024101414	-6.305204932869791	-7.55254094532754	-9.109395783341684	-10.842495915557091	-11.993669160645982	-11.492889421574212	-9.655280915221269	-7.651617348130906	-5.873613934727273	-4.39922311582499	-3.2555251230034887	-2.3764956764692844	-1.7558375798585935	-1.3408454944103354	-1.1333786293281432	-1.124447342982708	-1.3013144134853505	-1.6774381547062216	-2.2649956387844195	-3.0983737124734887	-4.172180098565981	-5.554455658448594	-4.769186565575527	-4.737118646664297	-4.708412312282434	-4.703217722739911	-4.698018571034717	-4.724000429714657	-4.746341410450843	-4.773971506175257	-4.8301403201451985	-4.883816051882705	-4.966372787882975	-0.9448532398812124	-0.9361056901364166	-0.9178676703009753	-0.9071878043788884	-0.9120377541359218	-0.9175780026455939	-0.9358522372258764	-0.9543427487801706	-0.9815116579514859	-1.0215420908430985	-1.07136178743645	-4.668594101280573	-4.647159493479282	-4.626771438699311	-4.618390238072974	-4.629276354502374	-4.640173077337539	-4.678897575685918	-4.705768402030933	-4.755620514065798	-4.8183264848009335	-4.8854522978281105	-1.1319746531949906	-1.1235624012383838	-1.1132798432270268	-1.1111771835945012	-1.119454615581387	-1.1295669208847505	-1.1475740643651706	-1.177189473748444	-1.2198207050180538	-1.2574809873124082	-1.304236941625711
90.2002002002002	-5.446192941518707	-7.145619997275944	-9.109481997328139	-11.00625420634754	-11.893651119952546	-11.127038402624116	-9.533445950756168	-7.9386068990758965	-6.654285221968679	-5.683915555544694	-5.051768819022552	-4.726679209242302	-4.694265952350211	-4.919393899456587	-5.4601956341050455	-6.306931311549991	-7.480970827676137	-8.996925455799373	-10.612986518508203	-11.658665830419013	-11.167713669899591	-9.435604009197297	-7.445270722700199	-5.680462692239338	-4.2078028046253335	-3.057168483148157	-2.1745525493614197	-1.5184815672300382	-1.0797003665228313	-0.841059738877945	-0.8075862756086859	-0.9621699704269591	-1.313055037144903	-1.8730489898743325	-2.674366344449899	-3.736001568526025	-5.08282972803079	-6.7432386096032815	-8.689964016285375	-10.625474527587679	-11.64730869004454	-11.058159863131626	-9.475118820979864	-7.870862755698199	-6.559761248438238	-5.598090488404035	-4.964218829495454	-4.6359457326539735	-4.620727410311182	-4.853460608427467	-5.408371417146897	-6.284476162441402	-7.499549042486297	-9.063012795771595	-10.765364711439934	-11.849552976081576	-11.337302114078872	-9.508355257755957	-7.528292367297908	-5.752788815902002	-4.292760952709068	-3.147982931833152	-2.2758385795127616	-1.6590086566605093	-1.2373673142714698	-1.0314941014917003	-1.015090920073792	-1.1945911731877663	-1.5685246557693577	-2.1619913717738823	-2.99626244452045	-4.063093311084853	-5.4341095495109695	-4.73243371062125	-4.703462178407997	-4.678449211785696	-4.6807058734617115	-4.671511387695255	-4.684681060562823	-4.713428491238427	-4.7530890729574775	-4.781576847417987	-4.850881533233213	-4.923192603342591	-0.8406337619634594	-0.8276473167508365	-0.8096092406065384	-0.7960161316231094	-0.7928580390049826	-0.8084135062186759	-0.8220802817101572	-0.846586575626814	-0.8709148882835903	-0.9144033368493417	-0.9558989482685225	-4.632831967876326	-4.608149483288848	-4.5875979082133025	-4.590470921775636	-4.596735152521592	-4.615402415595275	-4.650476265849	-4.672398612672051	-4.716784288346435	-4.7846766092225925	-4.852629818252092	-1.022041180953942	-1.0120976616880664	-0.9942929180386587	-0.9972891012912427	-1.003600485938697	-1.0123926448925507	-1.0341814129964748	-1.0636096921966451	-1.1001028120945227	-1.1407743630384068	-1.1968335625758544
90.25025025025025	-5.43117481074992	-7.132486110741143	-9.096260172757201	-10.947375710708535	-11.812517059021747	-11.082867321470594	-9.49064358795845	-7.891858615722872	-6.616303873772612	-5.663710634558938	-5.027661425021931	-4.701021631484973	-4.654548501633421	-4.885425298232191	-5.428008666435555	-6.265174847396166	-7.439089030285025	-8.928920993858558	-10.516692916512833	-11.563635808770995	-11.107535504268094	-9.421142188448034	-7.4299003553364695	-5.6682097134311125	-4.202656577704945	-3.054558114649691	-2.1804082253321733	-1.5212358882361268	-1.078994362246286	-0.844888884369969	-0.8110990758635271	-0.96700012044116	-1.3204540217545442	-1.8811324309026924	-2.66863173554943	-3.7332717270226032	-5.070378692347888	-6.730102983245607	-8.663863569452776	-10.587250756115845	-11.572694945328957	-10.960014166471096	-9.39240248645016	-7.8185685578720525	-6.527439081435966	-5.565596512059718	-4.9434399831981874	-4.623477981416566	-4.578080143697846	-4.825943513718688	-5.371468169596174	-6.235050576868558	-7.449728517372912	-8.993705489661012	-10.670939265846469	-11.739332225660283	-11.257183525361288	-9.470480045210445	-7.495897352561354	-5.728547487457089	-4.283556280713405	-3.1471006099841854	-2.26922138631955	-1.65439935600989	-1.2418455006428728	-1.030777372862182	-1.0169923734925677	-1.1966234361276873	-1.5708768446944144	-2.163330131387327	-2.983682363286747	-4.059476731464613	-5.427409146085676	-4.7134123075656245	-4.67887833149111	-4.649059433406594	-4.647764152281561	-4.645397919718057	-4.664957728399789	-4.695080352185705	-4.714441028606155	-4.766759446477877	-4.818578344250659	-4.901014442842971	-0.8506147082126913	-0.8245240696781198	-0.8030596112801626	-0.8002830040213591	-0.8052982755825778	-0.8118276160384673	-0.8274122377988825	-0.8504184641861448	-0.8835534147172764	-0.9148930414284222	-0.9639856305671578	-4.611653373095774	-4.591467073894383	-4.563805830532149	-4.556427587423262	-4.561322854013661	-4.579941359416425	-4.606376106477656	-4.649356107256915	-4.694229875164634	-4.754621848253652	-4.830278165866083	-1.0314850896535186	-1.0155818669234034	-1.000629375871698	-0.9959133657465592	-1.0041120061740036	-1.0176103787386386	-1.0362833092628025	-1.0677895188404702	-1.1064395751063663	-1.1446072005609602	-1.1975786676902003
90.30030030030031	-5.380876949231635	-7.059419560347462	-8.97931363130704	-10.817274516064641	-11.686047211722599	-10.980439783225902	-9.415316754981424	-7.85519372806821	-6.572382262509319	-5.63292433763064	-4.994387913021421	-4.673822567613131	-4.627190617099617	-4.856702914816224	-5.389462077208175	-6.224194178696075	-7.389153550687758	-8.866885891177247	-10.44995546627635	-11.454143319377552	-10.977581171623799	-9.306753930377253	-7.334018445213376	-5.595272543898871	-4.142575420043496	-2.9932548992502817	-2.1225005391720244	-1.467469392944367	-1.0357823185567459	-0.7964927446614694	-0.7691009241419716	-0.9215440331153854	-1.2799416715934375	-1.8366602791601645	-2.6174296666759886	-3.6796419570308845	-5.009124311943256	-6.655143712002957	-8.556177289625662	-10.433444998308184	-11.410581802106083	-10.850844450525305	-9.325229568867432	-7.758681971738628	-6.480066880791871	-5.5254737092040935	-4.902976488553373	-4.574913306988026	-4.545901549096675	-4.785943114354513	-5.3445421038304595	-6.198961761967606	-7.41698926345929	-8.927370184527428	-10.592880559745717	-11.643238232245421	-11.106911420090167	-9.360418999867733	-7.410716801418243	-5.656853050073196	-4.214770445938421	-3.0825313497816946	-2.2147252681214833	-1.6065384321295029	-1.19632547823692	-0.9881339755020555	-0.969377687552082	-1.155788161002656	-1.5263847166214553	-2.1199613361978504	-2.9380169995796535	-4.015791580827431	-5.37326783101746	-4.683452378512682	-4.6444804575231915	-4.625780168582022	-4.612588978372321	-4.605574264166675	-4.626746088880098	-4.653592996045534	-4.686833865637035	-4.73251635318289	-4.7871486589257435	-4.8707963095655655	-0.7952052836182593	-0.7825768199646858	-0.7629140132057814	-0.757308052812632	-0.754290611882028	-0.7660751262104427	-0.7842830959981761	-0.8086016870711579	-0.8347332976842987	-0.8705560036841393	-0.9212471831910856	-4.5771779269316	-4.5529976349238215	-4.544943291138328	-4.524176004760548	-4.5387446686934325	-4.545650522256675	-4.571418050514422	-4.615239154817847	-4.650921963348927	-4.717186236155864	-4.810060558364454	-0.9858253064698486	-0.9717554007805239	-0.9638859357441785	-0.9539820034463943	-0.9616332646481756	-0.9735967676085954	-0.9951538239393822	-1.025307236837827	-1.0595934641484879	-1.1087060576007346	-1.1512303144626261
90.35035035035035	-5.289262074432012	-6.958604972711582	-8.884647350953188	-10.69995728025364	-11.559463758429615	-10.85432249430459	-9.33745266863449	-7.776820365315687	-6.519596489046417	-5.586137182786447	-4.957615212458788	-4.642939653670911	-4.604781156731221	-4.832300545764073	-5.373889719942003	-6.186637661424704	-7.3368521745653945	-8.818697763942904	-10.359641832837722	-11.341498347932221	-10.862156929772159	-9.181021840907459	-7.255705391625758	-5.5187436545725115	-4.070853849255645	-2.9230904869803287	-2.0446985750662336	-1.3899920606738312	-0.9510895347999091	-0.7150649690360255	-0.6795519566576741	-0.8391670976742382	-1.1853580205816696	-1.7402315497249923	-2.536817987822181	-3.5911990894044936	-4.928760135915546	-6.563870428749101	-8.447222751365288	-10.295907029864551	-11.274566803814505	-10.702913412857043	-9.224674697106607	-7.7025179463883715	-6.436238125823635	-5.474619610718478	-4.855484861939339	-4.550735607942143	-4.506601609696445	-4.751796297311729	-5.307093397106787	-6.173527317787408	-7.361192146887888	-8.874623359446566	-10.510803632849536	-11.518882936387877	-10.976232662059244	-9.245074186899382	-7.30358471282964	-5.574427691258147	-4.130619276458446	-2.994691985450718	-2.1414036521186475	-1.5213777841832916	-1.1125829487738617	-0.9010790503008822	-0.8869967020973194	-1.0714171620753639	-1.4363965435113992	-2.037813371434253	-2.847355964963691	-3.926219149702262	-5.291408365742383	-4.648542969023934	-4.61240103790973	-4.5789545040066155	-4.5799429282432325	-4.577883638004543	-4.600835975532932	-4.623293049174985	-4.658758481531201	-4.70941340786924	-4.757478130899699	-4.821627498695323	-0.7133349836594761	-0.6993961425579441	-0.6835158361754288	-0.6700136572696498	-0.6724644864237793	-0.6810374201543833	-0.6910900338220035	-0.7179504936114959	-0.7475011506306332	-0.7865716211261354	-0.8332094282306141	-4.547192862985436	-4.532459649661903	-4.5035587308811715	-4.499376769251762	-4.4971139693014415	-4.5135256403513715	-4.543686930909559	-4.576246525737787	-4.626588578162311	-4.689677317879979	-4.764266062972491	-0.8947313585502641	-0.8856004845937997	-0.8775788015255837	-0.8729571501482954	-0.8756152693402071	-0.8941199968120896	-0.9149065700326232	-0.939886135806686	-0.9729877394189789	-1.016551640607896	-1.0641398759890475
90.4004004004004	-5.214439637245833	-6.877329660067946	-8.772042338246528	-10.53858746122001	-11.422089064838234	-10.716798038541429	-9.203860016371868	-7.684499461190644	-6.437022816122575	-5.504574824676296	-4.8853766617988095	-4.569442298731612	-4.527499988682173	-4.761446760749981	-5.2911909409862075	-6.11882288802847	-7.2720300674464	-8.717945676243568	-10.221384894089178	-11.163598937715406	-10.70684594965665	-9.071500921203484	-7.157945874747486	-5.455275467139446	-4.003060226622256	-2.861604378443836	-1.9940819986664384	-1.3392991473627247	-0.9003122962566644	-0.6626726147826626	-0.6274329790175169	-0.7815927554592093	-1.1305028019281789	-1.6889724221223943	-2.4726215368845663	-3.52285064023697	-4.8467462154044405	-6.469282758181299	-8.336580012829279	-10.141246342947039	-11.08531568697026	-10.550799645487876	-9.124491644627053	-7.590600598736039	-6.341232003209462	-5.401507559294696	-4.781347966698618	-4.462951551141142	-4.446120807534324	-4.698503751827009	-5.233427817450612	-6.092476495689191	-7.285024511493016	-8.790230480687933	-10.358527769471555	-11.349884937070767	-10.83784881878778	-9.133476498656867	-7.2249379786216394	-5.5064170929120095	-4.08008284402454	-2.947037724809563	-2.0795872896937055	-1.4593353522559662	-1.057621624074966	-0.8391802160521877	-0.828011470805999	-1.0103527274595903	-1.38108417501927	-1.9707539920942354	-2.797581752193446	-3.855966563273557	-5.206555237460146	-4.57294101238013	-4.53564617588967	-4.518870968775586	-4.504316758397347	-4.5101953529436045	-4.533375128900582	-4.548555341025755	-4.584286431344415	-4.622586034370659	-4.687622150791713	-4.763913409778129	-0.6681074093700945	-0.6397129567467905	-0.631613256688625	-0.6208756330909697	-0.6185809253866802	-0.6328107487262786	-0.6473501924217033	-0.6664392604423777	-0.6945516114413738	-0.7349551544345819	-0.7804608560950652	-4.461159973699951	-4.440376093014895	-4.4229902369701	-4.422342643897407	-4.420286570754614	-4.434741481577918	-4.467699678383874	-4.509006645164695	-4.564695047356187	-4.622330305035336	-4.693793915704306	-0.8378666201924369	-0.8280407405649339	-0.8189845996151566	-0.8128922306551885	-0.8182882671893789	-0.8309877762380292	-0.8510619542671716	-0.8791030036131746	-0.9156357808803791	-0.957757978521123	-1.0035269789594035
90.45045045045045	-5.157543301919382	-6.809573714060284	-8.67701154927677	-10.455900767149297	-11.283884726433982	-10.646906516953806	-9.157477962345332	-7.66243267415146	-6.421903321673079	-5.506241673084432	-4.879493098338934	-4.562340757127583	-4.521689895377585	-4.758730616990559	-5.279280545811458	-6.109121768662632	-7.242393376931282	-8.686874827084706	-10.14893299750786	-11.08244409570336	-10.593249139790743	-8.986993548368215	-7.084496600468031	-5.400499068203979	-3.973300984650646	-2.8367109141006446	-1.974951470559386	-1.3218552790434395	-0.9000420568364855	-0.661227968698405	-0.6216573783009994	-0.7783454944565494	-1.122053171400108	-1.6708344739996568	-2.4520821392172234	-3.490811368706772	-4.797533240737583	-6.4042227067492945	-8.248906435530017	-10.042444408786956	-11.001422090895247	-10.480644268278128	-9.069200996139209	-7.564236597239115	-6.327621446332809	-5.38937156620254	-4.781995806946141	-4.459938551194789	-4.440762660857405	-4.683574259085241	-5.227522664577674	-6.07877372977146	-7.259532936319658	-8.739228840679573	-10.313194987250206	-11.21286347465921	-10.726934157281738	-9.046842239258668	-7.156627774572538	-5.442395471572717	-4.035186880679475	-2.91341921156479	-2.0606551345578534	-1.4539936279538919	-1.047645098255252	-0.8316827564764758	-0.816870359486485	-1.003251380012964	-1.3751747504197467	-1.959889955685963	-2.7735997763944304	-3.822559875745781	-5.161855851541815	-4.581262733818665	-4.5361846538447	-4.520840107122629	-4.5072425499843405	-4.505708672239025	-4.51910119799542	-4.56273338742353	-4.586303701605331	-4.633602966397763	-4.682883803175151	-4.756709158219205	-0.66203047006354	-0.6395004599087108	-0.6255909911293145	-0.620308577277045	-0.6201932084595407	-0.6268514516257025	-0.63865517851808	-0.661089343866639	-0.6974607607412436	-0.7369258852832345	-0.7755749626348375	-4.454649894428573	-4.435984262807311	-4.42699881643353	-4.4222567782860525	-4.424319335270197	-4.432839474499384	-4.4622288859801955	-4.503714311568575	-4.552592977006952	-4.615400223377854	-4.6853399570099254	-0.8318921266513785	-0.8172884994945486	-0.8041189364628545	-0.8077049038569728	-0.811350912460702	-0.8271012921737472	-0.8449092661082066	-0.8728187731940715	-0.90664718313591	-0.9564484500816306	-1.000759181475188
