freq,trans_dB
140.0,-9.837442704944655
140.08008008008008,-9.767234627579297
140.16016016016016,-9.676813427689364
140.24024024024024,-9.524942688035665
140.32032032032032,-9.369883285994101
140.4004004004004,-9.212742073150755
140.48048048048048,-9.056656168030052
140.56056056056056,-8.910154302145767
140.64064064064064,-8.786119148080557
140.72072072072072,-8.649466307017912
140.8008008008008,-8.513389315382906
140.88088088088088,-8.379662095809024
140.96096096096096,-8.281306399651445
141.04104104104104,-8.183631735733096
141.12112112112112,-8.107242998971065
141.2012012012012,-7.998041637632187
141.28128128128128,-7.935385912788695
141.36136136136136,-7.850439306067931
141.44144144144144,-7.806703762806026
141.52152152152152,-7.733410614525584
141.6016016016016,-7.701540169877487
141.68168168168168,-7.658278701840128
141.76176176176176,-7.6386430026492365
141.84184184184184,-7.595132303784271
141.92192192192192,-7.578964869798758
142.002002002002,-7.566486694079979
142.08208208208208,-7.586969393809418
142.16216216216216,-7.592461005926909
142.24224224224224,-7.613836781793411
142.32232232232232,-7.635405705308759
142.4024024024024,-7.686354679350017
142.48248248248248,-7.727427548721034
142.56256256256256,-7.7658959518458
142.64264264264264,-7.821123770543021
142.72272272272272,-7.883905584405851
142.8028028028028,-7.978013709832525
142.88288288288288,-8.036711459783707
142.96296296296296,-8.124495884932006
143.04304304304304,-8.187898646242582
143.12312312312312,-8.292601220370042
143.2032032032032,-8.36970880953034
143.28328328328328,-8.491403152784667
143.36336336336336,-8.580486217396938
143.44344344344344,-8.71711810182035
143.52352352352352,-8.794009817650409
143.6036036036036,-8.926268938338124
143.68368368368368,-9.008085789251309
143.76376376376376,-9.170621291026146
143.84384384384384,-9.27975396807601
143.92392392392392,-9.434826714538056
144.004004004004,-9.542697199135723
144.08408408408408,-9.698616758658886
144.16416416416416,-9.844254376734273
144.24424424424424,-10.009279650810944
144.32432432432432,-10.159568036332558
144.4044044044044,-10.313488208890035
144.48448448448448,-10.473969233788102
144.56456456456456,-10.637774518541631
144.64464464464464,-10.794714705405632
144.72472472472472,-10.938028463383585
144.8048048048048,-11.116240996250571
144.88488488488488,-11.264361064623017
144.96496496496496,-11.460662598493087
145.04504504504504,-11.600106686037366
145.12512512512512,-11.788899610156298
145.2052052052052,-11.914552953752235
145.28528528528528,-12.102330982683618
145.36536536536536,-12.234539823551081
145.44544544544544,-12.400315380502034
145.52552552552552,-12.522497925600646
145.6056056056056,-12.697089369504175
145.68568568568568,-12.82057252510878
145.76576576576576,-12.985027254688587
145.84584584584584,-13.085649291339198
145.92592592592592,-13.25487496316817
146.006006006006,-13.368077693125189
146.08608608608608,-13.519877591637405
146.16616616616616,-13.602941180082599
146.24624624624624,-13.701241051260755
146.32632632632632,-13.780583096979068
146.4064064064064,-13.91749676895386
146.48648648648648,-14.033129767502391
146.56656656656656,-14.153253411434447
146.64664664664664,-14.223431158895002
146.72672672672672,-14.309448511800436
146.8068068068068,-14.382152045177218
146.88688688688688,-14.451953676512009
146.96696696696696,-14.526200515734228
147.04704704704704,-14.575856951221098
147.12712712712712,-14.653987820526039
147.2072072072072,-14.67341715579889
147.28728728728728,-14.717098453848362
147.36736736736736,-14.72381137423765
147.44744744744744,-14.760981456392953
147.52752752752752,-14.779744055801546
147.6076076076076,-14.809269174829419
147.68768768768768,-14.8133788753404
147.76776776776777,-14.818065333766537
147.84784784784785,-14.792415026784985
147.92792792792793,-14.772886406236903
148.008008008008,-14.731534581332964
148.08808808808809,-14.704886628180358
148.16816816816817,-14.642359501427357
148.24824824824825,-14.587043862193227
148.32832832832833,-14.513720655413016
148.4084084084084,-14.469597534113374
148.48848848848849,-14.408648847906798
148.56856856856857,-14.33519808051778
148.64864864864865,-14.24998388992733
148.72872872872873,-14.185929203998889
148.8088088088088,-14.115981401480994
148.88888888888889,-14.023828213290297
148.96896896896897,-13.90808576465858
149.04904904904905,-13.80788778070049
149.12912912912913,-13.699637280808377
149.2092092092092,-13.586258910928278
149.2892892892893,-13.451446913536786
149.36936936936937,-13.343633744068605
149.44944944944945,-13.229605607370859
149.52952952952953,-13.10817033804538
149.6096096096096,-12.94994029994316
149.6896896896897,-12.804958693995758
149.76976976976977,-12.668983391417227
149.84984984984985,-12.527373586071697
149.92992992992993,-12.368129420358738
150.01001001001,-12.195430903797256
150.0900900900901,-12.038635855444944
150.17017017017017,-11.874398512337178
150.25025025025025,-11.720941445559133
150.33033033033033,-11.550168669537323
150.4104104104104,-11.382458466345938
150.4904904904905,-11.202507569610022
150.57057057057057,-11.02917775056999
150.65065065065065,-10.855327820263126
150.73073073073073,-10.693144700869569
150.8108108108108,-10.521261884293946
150.8908908908909,-10.348912304038109
150.97097097097097,-10.158496975941953
151.05105105105105,-9.975037527697944
151.13113113113113,-9.787398999633353
151.2112112112112,-9.609683455310398
151.2912912912913,-9.423205783615256
151.37137137137137,-9.243752775418502
151.45145145145145,-9.075156727798367
151.53153153153153,-8.906181951226841
151.6116116116116,-8.743108639511368
151.6916916916917,-8.557783897842487
151.77177177177177,-8.383182975071929
151.85185185185185,-8.203435967946712
151.93193193193193,-8.050859293774439
152.012012012012,-7.888444124300751
152.0920920920921,-7.737635074801669
152.17217217217217,-7.574269322549131
152.25225225225225,-7.42708836721516
152.33233233233233,-7.278251730328478
152.4124124124124,-7.147403362913662
152.4924924924925,-7.018082597341477
152.57257257257257,-6.9020319849501925
152.65265265265265,-6.769601176134212
152.73273273273273,-6.653359888928401
152.8128128128128,-6.533984366121745
152.8928928928929,-6.444927862412101
152.97297297297297,-6.347155275241783
153.05305305305305,-6.264562735300785
