freq_GHz	trans_5deg_0.0deg_X	trans_5deg_5.0deg_X	trans_5deg_10.0deg_X	trans_5deg_15.0deg_X	trans_5deg_20.0deg_X	trans_5deg_25.0deg_X	trans_5deg_30.0deg_X	trans_5deg_35.0deg_X	trans_5deg_40.0deg_X	trans_5deg_45.0deg_O	trans_5deg_50.0deg_X	trans_5deg_55.0deg_X	trans_5deg_60.0deg_X	trans_5deg_65.0deg_X	trans_5deg_70.0deg_X	trans_5deg_75.0deg_X	trans_5deg_80.0deg_X	trans_5deg_85.0deg_X	trans_5deg_90.0deg_X	trans_5deg_95.0deg_X	trans_5deg_100.0deg_X	trans_5deg_105.0deg_X	trans_5deg_110.0deg_X	trans_5deg_115.0deg_X	trans_5deg_120.0deg_X	trans_5deg_125.0deg_X	trans_5deg_130.0deg_X	trans_5deg_135.0deg_E	trans_5deg_140.0deg_X	trans_5deg_145.0deg_X	trans_5deg_150.0deg_X	trans_5deg_155.0deg_X	trans_5deg_160.0deg_X	trans_5deg_165.0deg_X	trans_5deg_170.0deg_X	trans_5deg_175.0deg_X	trans_5deg_180.0deg_X	trans_5deg_185.0deg_X	trans_5deg_190.0deg_X	trans_5deg_195.0deg_X	trans_5deg_200.0deg_X	trans_5deg_205.0deg_X	trans_5deg_210.0deg_X	trans_5deg_215.0deg_X	trans_5deg_220.0deg_X	trans_5deg_225.0deg_O	trans_5deg_230.0deg_X	trans_5deg_235.0deg_X	trans_5deg_240.0deg_X	trans_5deg_245.0deg_X	trans_5deg_250.0deg_X	trans_5deg_255.0deg_X	trans_5deg_260.0deg_X	trans_5deg_265.0deg_X	trans_5deg_270.0deg_X	trans_5deg_275.0deg_X	trans_5deg_280.0deg_X	trans_5deg_285.0deg_X	trans_5deg_290.0deg_X	trans_5deg_295.0deg_X	trans_5deg_300.0deg_X	trans_5deg_305.0deg_X	trans_5deg_310.0deg_X	trans_5deg_315.0deg_E	trans_5deg_320.0deg_X	trans_5deg_325.0deg_X	trans_5deg_330.0deg_X	trans_5deg_335.0deg_X	trans_5deg_340.0deg_X	trans_5deg_345.0deg_X	trans_5deg_350.0deg_X	trans_5deg_355.0deg_X	trans_5deg_360.0deg_X
140.0	-10.9534299951458	-11.3893573861458	-10.0194500070458	-8.0443571191258	-6.3201959710558	-4.9683001618858	-3.9845731835857996	-3.3250945191857997	-2.9640167336957997	-2.8814266305458	-3.0638087373258	-3.5348663907458	-4.3109682183758	-5.4200323205458	-6.8967683892658	-8.7435339074558	-10.6136043649458	-11.426136789845799	-10.2765825372458	-8.1640194039758	-6.1222870927257995	-4.4235833268658	-3.0871711354657996	-2.0580812077957997	-1.3117006402458	-0.8081119041888	-0.5262520294638	-0.4609065335248	-0.6139621715988001	-0.9730152469128001	-1.5575006585558	-2.4043894391458	-3.5402701478457996	-5.0130689721558	-6.8263395410058	-8.9881055932458	-10.905948458245799	-11.3783195596458	-10.0022256951758	-8.0490854363858	-6.3232734780758	-4.9662745576358	-3.9861591439658	-3.3220918755957998	-2.9548006635157997	-2.8755710702357997	-3.0549321752057996	-3.5261941533558	-4.2968767266758	-5.4142850022758	-6.9047573190158	-8.7460601907258	-10.6099565606458	-11.4094226937458	-10.2698352914458	-8.1267498116958	-6.102373896165799	-4.3977516274858	-3.0625208001558	-2.0436602216258	-1.2879818063258	-0.7823144178838	-0.5043464284388	-0.4396754484628	-0.5950597506018	-0.9505624156448	-1.5566373448858	-2.3961916547257998	-3.5383627992158	-5.0162270646558	-6.8380625825358	-8.9720371346958	-10.909498987745799
140.08008008008008	-10.692128204860802	-11.108318065903246	-9.811529966709934	-7.916039290282507	-6.233257600166878	-4.9043591459487965	-3.934683485460367	-3.2813886338698453	-2.922570462006151	-2.835845864235081	-3.0181351197525284	-3.4829302853415376	-4.239678450674602	-5.3420926429374775	-6.786012908747672	-8.56739139225081	-10.350998457993333	-11.096515236918961	-10.010755830589677	-7.977420383058876	-5.991538670232012	-4.33081117457142	-3.011429796253811	-2.000122103517374	-1.2663692208731894	-0.765985028907083	-0.489194315591612	-0.42871938826025136	-0.5684120838502579	-0.9307865459549869	-1.508095133915513	-2.350821038293201	-3.470270916051401	-4.91537211108854	-6.695256063315028	-8.786233577905277	-10.63760991862987	-11.100711107961104	-9.79724762463551	-7.920941662652579	-6.2352759602138645	-4.91001433680217	-3.9320350667285244	-3.2769734339491943	-2.9150310412542493	-2.8305780992887644	-3.0128887656965024	-3.4708485777796163	-4.23542558111217	-5.330832260411761	-6.790868589735288	-8.579696541223635	-10.348624939222562	-11.095125196920263	-10.003698390551188	-7.948234423056964	-5.971663142853273	-4.300608850720718	-2.9883734180215584	-1.983851866586453	-1.2450023083128001	-0.7441294980506973	-0.46589944049686277	-0.40298355985788564	-0.5499579912101896	-0.9084054351241914	-1.5064544336687264	-2.341621944998016	-3.4606866583866953	-4.915121264675425	-6.701554139962155	-8.77536045159143	-10.626140107186723
140.16016016016016	-10.417361628075055	-10.824665002888867	-9.58807179939805	-7.754076529687132	-6.0933063750034	-4.785366631264943	-3.824175917132712	-3.1794087258108403	-2.821432581074594	-2.729652289894394	-2.912074590134464	-3.3757173830271965	-4.120527822711811	-5.206786878972482	-6.621741698804111	-8.36991529984446	-10.096796232592533	-10.819352843135814	-9.766805497160952	-7.80095564605481	-5.854782362861209	-4.2060183038685075	-2.8970103709106203	-1.88802656911939	-1.158647831163234	-0.6519446722819984	-0.3787776890362456	-0.3137983277836352	-0.45646110319297944	-0.8101826708321895	-1.3913395060128442	-2.23335834512935	-3.3406776765173576	-4.769735335486666	-6.5367565275765145	-8.581771226402326	-10.377541908808888	-10.820410915722903	-9.572735037190512	-7.743307697062928	-6.093330903716094	-4.79044441957233	-3.826192803470459	-3.1743481155802793	-2.81494126606063	-2.7261302267322414	-2.9073327087874463	-3.3597505695471166	-4.114876484747476	-5.197546319463642	-6.635206774450007	-8.37544269594683	-10.097433506522382	-10.813603530186764	-9.76041883285752	-7.771563406002227	-5.840589767360908	-4.183473963776485	-2.873608132519049	-1.8733353039891496	-1.1302964035996603	-0.632702213945789	-0.35846392861616116	-0.29028240057080923	-0.4391745086274578	-0.7991068745243365	-1.3888404234717229	-2.2239705761087394	-3.3367345594660662	-4.786556848797757	-6.547815311087605	-8.57724786415519	-10.382275167176557
140.24024024024024	-10.11475491398397	-10.504711634589228	-9.326740292990936	-7.5609657966745605	-5.957468350187259	-4.6715968258427525	-3.729560709039088	-3.0905597562579463	-2.7364204368483964	-2.6540955697053037	-2.837164624853622	-3.293046131689809	-4.034553417752723	-5.102779851842965	-6.484460513691436	-8.17917085284946	-9.828287923118598	-10.49115381099854	-9.510126895200486	-7.618466111809394	-5.731072505497079	-4.112844627717106	-2.826311389429056	-1.8372056847538007	-1.1118447696511282	-0.6183327110685182	-0.34522537582864427	-0.28601761077349463	-0.4257753625653385	-0.7769379470806871	-1.3525693973254829	-2.182309195985574	-3.279969008655755	-4.691309226702093	-6.406203830746571	-8.389158007795407	-10.079686562412952	-10.498601079558599	-9.317632938116132	-7.561857254479336	-5.958052285260985	-4.674749988158939	-3.7173912863505882	-3.0829311442769245	-2.7332039432514588	-2.643983634922029	-2.8234286245677955	-3.2802129581144337	-4.0230298473664465	-5.0883471380454575	-6.495603689739515	-8.182284330284535	-9.818578662273733	-10.477052791181722	-9.488128764671776	-7.579787591732728	-5.7035674728385795	-4.0798733322099885	-2.803589450884012	-1.8172675856252423	-1.0802911818908727	-0.595821574375233	-0.3179865994080974	-0.2586777582101847	-0.4062699961057706	-0.7594291075576985	-1.3486390641839519	-2.1730238175999586	-3.2758319845111603	-4.693475847308308	-6.412493281353718	-8.370827376486938	-10.081200905552258
140.32032032032032	-9.82805897483776	-10.212906047847989	-9.076786884034552	-7.378088367194969	-5.805775099046762	-4.542794261326034	-3.609542758458541	-2.975575449550469	-2.6237522871627	-2.541400297106172	-2.718864193981618	-3.169892099009996	-3.9035012453160762	-4.954738699837193	-6.311648027391858	-7.952553128889146	-9.526579084412544	-10.177046251591674	-9.247737771710328	-7.439598538213403	-5.5898830786412566	-3.99603293496398	-2.7217268763208518	-1.7345072301464954	-1.0077741146861248	-0.5171717855370654	-0.24397683069392714	-0.18007671497760405	-0.3201451367394863	-0.6686545119580868	-1.2470750674679265	-2.065007388129419	-3.155700868630835	-4.554013590031935	-6.243570087036057	-8.167167074404418	-9.792408899100092	-10.179815330398696	-9.046286363224446	-7.373673191614278	-5.799519472849371	-4.546720407701557	-3.6054179843462997	-2.9730791404339945	-2.624542390335895	-2.5374596394191977	-2.713652828750729	-3.15842433504111	-3.892797992351383	-4.941462032154082	-6.316630289796009	-7.959971394818998	-9.517813245180296	-10.166701990609694	-9.23590647000769	-7.3952349201996	-5.564377548776593	-3.9663933431568843	-2.692095297192186	-1.7140231672606194	-0.9787008973164139	-0.49338275413829114	-0.21947988356501508	-0.15856909468858724	-0.3031425872129461	-0.6562445630484065	-1.2379986604598885	-2.0564339643747553	-3.151539905255972	-4.56229514935655	-6.248720235731613	-8.156098872529784	-9.801438218795122
140.4004004004004	-9.602332615985372	-9.955803288459357	-8.872141032950184	-7.22172440720135	-5.683565674463006	-4.445639218998241	-3.5288233550384596	-2.9115014790892	-2.564135518625456	-2.485240774569781	-2.661031747465297	-3.1130546121248575	-3.8317345048923457	-4.86249832119614	-6.186290234166713	-7.785526054264696	-9.300497675190336	-9.917699603455192	-9.037868004883016	-7.300132971134152	-5.501020084141146	-3.939517764220733	-2.6845471671502317	-1.704130703244945	-0.9941689577759599	-0.5008351070602133	-0.23173726168862732	-0.16705800717501265	-0.305698437271328	-0.6512055081857735	-1.2185960994823426	-2.0340024057305217	-3.1059208198965482	-4.474525858439633	-6.13616117711392	-8.00974084866926	-9.566166639668475	-9.9358488094398	-8.85626568055515	-7.215640280082621	-5.684961506662016	-4.458256278649392	-3.522586526442633	-2.9003037104349354	-2.5564711068744246	-2.471386695035856	-2.649117563680752	-3.091465076155617	-3.8156145834806026	-4.845221304787101	-6.197178456504601	-7.783428426131883	-9.282147852970846	-9.895962366331869	-9.012075698750893	-7.248908169978155	-5.470208406788543	-3.904544619933255	-2.6436708561633537	-1.6846177157741349	-0.958707270426007	-0.4752312712935153	-0.19688984978447668	-0.13739443696395112	-0.2799683007540294	-0.6302026843022266	-1.2095492847737537	-2.019475565647678	-3.094604938816878	-4.478660836574357	-6.136265481777243	-7.998547280140672	-9.562033344546082
140.48048048048048	-9.295056001778189	-9.616660862220817	-8.599880470035524	-7.021637654025479	-5.551179460083791	-4.337381644514056	-3.428274026011228	-2.8143849804617664	-2.4724087166082507	-2.3885332838635054	-2.555620634027949	-2.991448970389452	-3.704086828017323	-4.7149639869274464	-6.007580537553819	-7.54241824601401	-8.996875636430207	-9.591147041399488	-8.765188554607159	-7.107351155110234	-5.357859990480586	-3.825592801592742	-2.582780992164481	-1.620338101866642	-0.9092785906190312	-0.4159951287393884	-0.15236367450370036	-0.08838987504424443	-0.22708960217149676	-0.5709370455631277	-1.1308544668764322	-1.9356691406348412	-3.0004415034610283	-4.350592101517007	-5.960611404460285	-7.764239627179096	-9.241963526374102	-9.573637039676905	-8.573039890626871	-7.020855715543106	-5.540988517811627	-4.339314673613454	-3.4331498348742016	-2.8097991150825767	-2.4707593741013447	-2.3883252461087623	-2.5558224542722745	-2.988920441836751	-3.703971392616094	-4.708623010693002	-6.023848000455172	-7.553109072568964	-8.990206085025315	-9.556131356689336	-8.747216879999565	-7.065620039540928	-5.332604432115272	-3.796775400680402	-2.556559053128417	-1.5921442571787732	-0.876074950119449	-0.3957410882949051	-0.12406411972398305	-0.06505515629583682	-0.20519940796335578	-0.5553459632906624	-1.1301611255961321	-1.9348382644107573	-2.997378482692351	-4.3629744484701325	-5.979848232575124	-7.768127416564085	-9.265357117259542
140.56056056056056	-9.08833317009569	-9.348878351771818	-8.363800802141176	-6.846932000820935	-5.405571876577199	-4.2151868117790805	-3.3302798573021026	-2.7246381762685687	-2.3917050355660865	-2.311378307760651	-2.483053865253334	-2.9111123203149556	-3.61246688050892	-4.604614628795818	-5.869892004009163	-7.358405739094159	-8.763335336907533	-9.355132041980056	-8.606555138851535	-7.017314070930413	-5.3097405434798315	-3.802974034950741	-2.5737392311667064	-1.6145631608208906	-0.9092270686530656	-0.41661911432723264	-0.15445507748394133	-0.0882356519221878	-0.22661289154570388	-0.5688112969350184	-1.1244347890191486	-1.9261159587720016	-2.98709055741985	-4.321906920897549	-5.910802328661444	-7.662649637817531	-9.050713303441297	-9.340544726511718	-8.358114364857032	-6.850401543400204	-5.403213008020994	-4.223383295518871	-3.332061595861072	-2.722730764873794	-2.3882738669232038	-2.304348543595726	-2.4780401516390596	-2.9025537956868277	-3.6007494390664676	-4.596596814846619	-5.878134619715028	-7.368351835260675	-8.750196637453127	-9.323606998107913	-8.571230108552335	-6.96539493043744	-5.2748331986538854	-3.765366509026887	-2.5385975375877976	-1.5922464213425123	-0.874021348528707	-0.39551290063782923	-0.12449182098897571	-0.06145228671310724	-0.2039562896429783	-0.5524509397545662	-1.1224510756770263	-1.924769880654004	-2.9790823895104004	-4.323766075092123	-5.915831275767819	-7.646435370669813	-9.051144987611066
140.64064064064064	-8.864160880276234	-9.101956123900798	-8.14787460479532	-6.673672329397234	-5.266942851733271	-4.112415412361456	-3.2390815735163474	-2.6463407518702	-2.316759273292962	-2.230871822340298	-2.3976876865356846	-2.8176215733960657	-3.5033991896120535	-4.474341513119373	-5.7079136410605695	-7.162877930854521	-8.513565328709223	-9.09613803469586	-8.404354176447091	-6.874390338480551	-5.212630844050341	-3.7266476310245085	-2.5066594338468375	-1.5606664598986193	-0.8570995447956655	-0.36966251929273464	-0.10732832544828151	-0.04007064252218996	-0.1849200564364185	-0.5208283781736408	-1.0753012913112892	-1.8723629734128917	-2.9068996589693277	-4.226588872899161	-5.783087672013292	-7.482063124329991	-8.816119046862438	-9.083259787609588	-8.129107532397022	-6.674060562672878	-5.266762144769379	-4.115124908497563	-3.235130570516636	-2.6410583185708	-2.306019347072741	-2.227734824999717	-2.3944858949477568	-2.812378631658829	-3.498102905112943	-4.463464337268592	-5.71579847711126	-7.175805799079498	-8.512521877266432	-9.080678968297834	-8.385089067449995	-6.837990829855126	-5.182603508936748	-3.6954864184429588	-2.4811258858553575	-1.535534679075457	-0.8297936188057149	-0.3485535593749837	-0.0788348970599502	-0.015896906493437047	-0.15917511068567786	-0.500176721885402	-1.075399504366926	-1.8619740857354952	-2.903946157774755	-4.239469565746631	-5.803692020414007	-7.4879526336261595	-8.828876884694754
140.72072072072072	-8.652935826385269	-8.84413848840707	-7.907382633602297	-6.474245319861576	-5.115824831860675	-3.978836305870496	-3.1236986591315774	-2.5400781022950905	-2.2146959491008564	-2.133589797556983	-2.294953027651487	-2.711714720226532	-3.387880092627613	-4.346565821511937	-5.55332973770401	-6.965812802680945	-8.277388829735358	-8.858634733227431	-8.21761242047653	-6.766041157845001	-5.1567054088504065	-3.7040341215486046	-2.5014607942204963	-1.5564191334273434	-0.8627963746320101	-0.3807938298538209	-0.12189329961976504	-0.05917013789997498	-0.20008032368974885	-0.5354856449616227	-1.0872288924495055	-1.878987544649866	-2.913509529276983	-4.2107113667831095	-5.73680951502509	-7.372508142807253	-8.624401426890405	-8.82149801097662	-7.886585329388603	-6.484857824833378	-5.10853568426518	-3.977583895223559	-3.1287571646521175	-2.5362861127922076	-2.2083403348241895	-2.1353085785661716	-2.2902988435286042	-2.7029715479387844	-3.3889348005805857	-4.337823613631036	-5.558577489571937	-6.96735595511545	-8.266569772640404	-8.831181774631755	-8.19517300938707	-6.721260654319055	-5.120171653619145	-3.661116307208244	-2.468829289572929	-1.5286778698462624	-0.8283112863573343	-0.3551415887910641	-0.08692178226844975	-0.030494413105738888	-0.16867305737101912	-0.507796348577875	-1.0807126055296858	-1.8632527700776136	-2.9034078242964427	-4.216667028519325	-5.7326269529256315	-7.360758252334099	-8.613018894344368
