freq_GHz	trans_5deg_0.0deg_X	trans_5deg_5.0deg_X	trans_5deg_10.0deg_X	trans_5deg_15.0deg_X	trans_5deg_20.0deg_X	trans_5deg_25.0deg_X	trans_5deg_30.0deg_O	trans_5deg_35.0deg_X	trans_5deg_40.0deg_X	trans_5deg_45.0deg_X	trans_5deg_50.0deg_X	trans_5deg_55.0deg_X	trans_5deg_60.0deg_X	trans_5deg_65.0deg_X	trans_5deg_70.0deg_X	trans_5deg_75.0deg_X	trans_5deg_80.0deg_X	trans_5deg_85.0deg_X	trans_5deg_90.0deg_X	trans_5deg_95.0deg_X	trans_5deg_100.0deg_X	trans_5deg_105.0deg_X	trans_5deg_110.0deg_X	trans_5deg_115.0deg_X	trans_5deg_120.0deg_E	trans_5deg_125.0deg_X	trans_5deg_130.0deg_X	trans_5deg_135.0deg_X	trans_5deg_140.0deg_X	trans_5deg_145.0deg_X	trans_5deg_150.0deg_X	trans_5deg_155.0deg_X	trans_5deg_160.0deg_X	trans_5deg_165.0deg_X	trans_5deg_170.0deg_X	trans_5deg_175.0deg_X	trans_5deg_180.0deg_X	trans_5deg_185.0deg_X	trans_5deg_190.0deg_X	trans_5deg_195.0deg_X	trans_5deg_200.0deg_X	trans_5deg_205.0deg_X	trans_5deg_210.0deg_E	trans_5deg_215.0deg_X	trans_5deg_220.0deg_X	trans_5deg_225.0deg_X	trans_5deg_230.0deg_X	trans_5deg_235.0deg_X	trans_5deg_240.0deg_X	trans_5deg_245.0deg_X	trans_5deg_250.0deg_X	trans_5deg_255.0deg_X	trans_5deg_260.0deg_X	trans_5deg_265.0deg_X	trans_5deg_270.0deg_X	trans_5deg_275.0deg_X	trans_5deg_280.0deg_X	trans_5deg_285.0deg_X	trans_5deg_290.0deg_X	trans_5deg_295.0deg_X	trans_5deg_300.0deg_O	trans_5deg_305.0deg_X	trans_5deg_310.0deg_X	trans_5deg_315.0deg_X	trans_5deg_320.0deg_X	trans_5deg_325.0deg_X	trans_5deg_330.0deg_X	trans_5deg_335.0deg_X	trans_5deg_340.0deg_X	trans_5deg_345.0deg_X	trans_5deg_350.0deg_X	trans_5deg_355.0deg_X	trans_5deg_360.0deg_X	trans_1deg_25.0deg_X	trans_1deg_26.0deg_X	trans_1deg_27.0deg_X	trans_1deg_28.0deg_X	trans_1deg_29.0deg_O	trans_1deg_30.0deg_X	trans_1deg_31.0deg_X	trans_1deg_32.0deg_X	trans_1deg_33.0deg_X	trans_1deg_34.0deg_X	trans_1deg_35.0deg_X	trans_1deg_115.0deg_X	trans_1deg_116.0deg_X	trans_1deg_117.0deg_X	trans_1deg_118.0deg_X	trans_1deg_119.0deg_E	trans_1deg_120.0deg_X	trans_1deg_121.0deg_X	trans_1deg_122.0deg_X	trans_1deg_123.0deg_X	trans_1deg_124.0deg_X	trans_1deg_125.0deg_X	trans_1deg_205.0deg_X	trans_1deg_206.0deg_X	trans_1deg_207.0deg_X	trans_1deg_208.0deg_E	trans_1deg_209.0deg_X	trans_1deg_210.0deg_X	trans_1deg_211.0deg_X	trans_1deg_212.0deg_X	trans_1deg_213.0deg_X	trans_1deg_214.0deg_X	trans_1deg_215.0deg_X	trans_1deg_295.0deg_X	trans_1deg_296.0deg_X	trans_1deg_297.0deg_X	trans_1deg_298.0deg_O	trans_1deg_299.0deg_X	trans_1deg_300.0deg_X	trans_1deg_301.0deg_X	trans_1deg_302.0deg_X	trans_1deg_303.0deg_X	trans_1deg_304.0deg_X	trans_1deg_305.0deg_X
90.0	-4.767444137247891	-3.48862552991789	-2.50858545652789	-1.78805375448789	-1.30558240762789	-1.02788079133789	-0.9491096769928901	-1.05032027116789	-1.36341250291789	-1.88267314783789	-2.6416780983578896	-3.6480577026978898	-4.94929600110789	-6.55322075239789	-8.41285753599789	-10.254993919047891	-11.20059347504789	-10.68567037934789	-9.22016001096789	-7.66263485303789	-6.37691116681789	-5.43288612714789	-4.786695483837891	-4.437067989027891	-4.3861246143978905	-4.60428190580789	-5.116890433947891	-5.934113505997891	-7.0789084469478905	-8.51687479368789	-10.07066583984789	-11.09229231234789	-10.70826101654789	-9.10689020505789	-7.24639559141789	-5.54422331205789	-4.16668892255789	-3.12438011518789	-2.35697770467789	-1.80460226884789	-1.46957981935789	-1.32156873098789	-1.36898112646789	-1.59476161352789	-2.04001689306789	-2.7136917149178896	-3.62910318723789	-4.80070591321789	-6.28008222928789	-8.14005804410789	-10.33796358454789	-12.54475927704789	-13.49608755464789	-12.34776163454789	-10.309210303947891	-8.48719644895789	-7.05273723951789	-6.026739600817891	-5.35885143628789	-5.00269174924789	-4.92708778730789	-5.15302610746789	-5.69608402601789	-6.564828876177891	-7.79169369092789	-9.43246031156789	-11.36419248934789	-12.87284708374789	-12.62100744594789	-10.680020812647891	-8.403708938277891	-6.4086785351378905	-4.78823805204789	-0.91981870285189	-0.90283692232289	-0.87297785631389	-0.85932004800989	-0.84161347500089	-0.83084142557389	-0.83362204185689	-0.84196889749689	-0.85971176973589	-0.89043778530289	-0.92919898382389	-4.41998625150789	-4.39906263700789	-4.370543960247891	-4.363343242327891	-4.367572311077891	-4.36708212247789	-4.393013957657891	-4.42647552839789	-4.46969032636789	-4.52039623609789	-4.58812094083789	-1.29350018850789	-1.31773984781789	-1.34158611646789	-1.37393284192789	-1.41106987348789	-1.44792437902789	-1.50286209932789	-1.56116545549789	-1.62371623865789	-1.70788312307789	-1.79970980039789	-4.91367388120789	-4.89131307950789	-4.865772250807891	-4.86202144971789	-4.85239506116789	-4.8585362469278905	-4.88520050397789	-4.92212295881789	-4.966168883957891	-5.02416086545789	-5.09011936536789
90.05005005005005	-4.712066864029524	-3.451248122210591	-2.4659912328886944	-1.7548707399465266	-1.2757842365707381	-0.9891220422876728	-0.9081415221776075	-1.0099416561723233	-1.3160018958285444	-1.8316864751770652	-2.5947909205222106	-3.6048557586908747	-4.895358493060139	-6.501081225430189	-8.359627729224803	-10.178125764058294	-11.16221718100394	-10.664353308382111	-9.203497040656119	-7.662372173648108	-6.371053907404278	-5.437381571401546	-4.79229198899754	-4.448608593462904	-4.386656788655209	-4.612177824753986	-5.127038464335849	-5.950534596018	-7.085216284315929	-8.520502113169822	-10.045175429023487	-11.027337939957295	-10.604464057292732	-9.034222446082513	-7.172621577867348	-5.4811966233465	-4.124798224649005	-3.082780916092534	-2.3014612279380233	-1.7595014629801347	-1.42922498398285	-1.2776389784664086	-1.3166962599872216	-1.5590626816727802	-2.0008528172148026	-2.6625211060227008	-3.5843183171290316	-4.757327808431738	-6.229764014075288	-8.094432791471041	-10.281330290781804	-12.4812538051692	-13.476290172846067	-12.38846251510412	-10.360917209535833	-8.527970830285545	-7.0866968932893295	-6.054532707195954	-5.376783868612188	-5.0282151804425	-4.9551041078928595	-5.184533855977995	-5.7343733941152975	-6.618023257873762	-7.8381336155788235	-9.49643738758577	-11.405275928915533	-12.886522948747189	-12.568072857261706	-10.618542604148281	-8.346593927258414	-6.3627083335399055	-4.7446661184374275	-0.8928370470202357	-0.860708925379414	-0.8375240533114738	-0.8173966365210101	-0.8044309796078228	-0.7987444538409102	-0.7966361682855005	-0.8052871570134427	-0.8218898993149227	-0.858378604228376	-0.8842695676800411	-4.403165363131556	-4.3833821980077445	-4.352616090354538	-4.3441470485913065	-4.340159689979063	-4.346221575664206	-4.36591009648945	-4.416194212007344	-4.457447021259584	-4.511519807989627	-4.583447954473601	-1.261886744929422	-1.2794132175785098	-1.3010563034554075	-1.320950531311882	-1.3609848846273482	-1.4007714835639031	-1.4637422668256086	-1.5179991512445647	-1.5808056709041145	-1.6661709086865903	-1.75151088040759	-4.912934185184314	-4.892551943146917	-4.863022512422995	-4.850054076288912	-4.853013952014887	-4.86170030502989	-4.9009328521334865	-4.928599140702636	-4.982241206975678	-5.032023444465939	-5.105278416360773
90.10010010010011	-4.640697601230106	-3.3920013157896958	-2.424151266688865	-1.6979560631618873	-1.227554604961337	-0.9517973625306634	-0.8716654373883421	-0.973455639660269	-1.273266278850476	-1.7811929737205963	-2.542256140281257	-3.5344799605776034	-4.808969696029486	-6.38212645331376	-8.201885698584682	-9.999719713085593	-10.979637996399749	-10.51218498391246	-9.10013237016328	-7.605595917820046	-6.335872950639305	-5.397989333956793	-4.759165368908325	-4.424326214372169	-4.352257691135401	-4.582925381038304	-5.09347118847318	-5.888218111010437	-7.0190232210840415	-8.415985132984392	-9.910002762641529	-10.83978686054189	-10.40898039516261	-8.841997071939417	-7.046121788958085	-5.379396904727313	-4.045564873232849	-3.0213208826490345	-2.25967813280476	-1.721289484375341	-1.3825801330851408	-1.2467450171075831	-1.2789282036491147	-1.5110483043318674	-1.9511998884917274	-2.6126001680972832	-3.518630286027133	-4.683146788222689	-6.131541869571878	-7.966146972946303	-10.143665048134181	-12.319787528290338	-13.348383863226474	-12.277836144506752	-10.30800607451406	-8.504042608035132	-7.062575216432888	-6.034600103493169	-5.367617915733249	-5.010232702296292	-4.941373142306231	-5.170364469408524	-5.705002367345822	-6.5634376473187155	-7.797766074792489	-9.420825015826875	-11.289016407466512	-12.687475691124972	-12.356491396036084	-10.446361994017964	-8.197472950149367	-6.254705334837474	-4.6526670320179635	-0.8640657724486405	-0.8351330874363821	-0.8092879946805134	-0.7896412915579477	-0.7775263314649047	-0.7774755297527286	-0.7729971447903731	-0.7777004264896131	-0.7888834007791196	-0.8257568530181709	-0.8570891323667804	-4.397308220050636	-4.370710518299255	-4.351734408416923	-4.33810880475393	-4.337876350219325	-4.349022093264951	-4.3762489704366425	-4.404830658427924	-4.4553227389067125	-4.495066318933549	-4.568513506311017	-1.230347853428094	-1.2522536197822078	-1.2704919463539395	-1.2978593935916976	-1.3348567089948506	-1.3799000793838798	-1.43003664303407	-1.4941350643181341	-1.5565109162501558	-1.6304073597717874	-1.7203221410922078	-4.923595538515471	-4.90240988648374	-4.864961491717413	-4.850205335315881	-4.8556683798882245	-4.872739128196281	-4.901788409670466	-4.925373416078054	-4.985442009084811	-5.0314114241988745	-5.10835809133351
90.15015015015015	-4.570739455407448	-3.3267060242579887	-2.3668824996218927	-1.661284456735496	-1.1835443425799406	-0.9040442341735231	-0.8222462950111775	-0.923918488857661	-1.2293349056886191	-1.7374825269910819	-2.4859244687344755	-3.4814621213591606	-4.7466105856289795	-6.302555581104386	-8.116701070247212	-9.863919494386911	-10.831410945017481	-10.392513053211474	-9.027397563859822	-7.53201964810072	-6.277505970563722	-5.329581779037596	-4.708325659538527	-4.3510183214050135	-4.3008712175656445	-4.5133092768465755	-5.003233812226244	-5.804672120921259	-6.907447363877146	-8.285708749608379	-9.75305690563985	-10.64957548977724	-10.251884473329492	-8.728133666974177	-6.955233761487899	-5.319357767471562	-3.993700233663965	-2.9767226263521036	-2.213894687963995	-1.677689980454145	-1.3408803524544453	-1.2033451101057369	-1.2353056955526738	-1.465709144994836	-1.9036385719384092	-2.5559207813093106	-3.4626271946593405	-4.615859220691532	-6.05182280983991	-7.879153331835768	-10.015308690881266	-12.188434361701868	-13.220170686881445	-12.211254387654117	-10.235219461444803	-8.4475334256218	-7.0328627420208685	-6.00251879276324	-5.325301302086154	-4.966682856495823	-4.889782295565703	-5.124319769589127	-5.651637942221499	-6.494975065679215	-7.729328792728195	-9.320620389303631	-11.193748509875435	-12.56436861888685	-12.211339989187453	-10.31655028779556	-8.107582841185378	-6.175333872210391	-4.5964014852312625	-0.814895941324106	-0.7905496539593851	-0.7613392051572588	-0.7446532899134543	-0.7303881466153853	-0.7247625458642563	-0.7297361534218778	-0.7382665527062444	-0.7522974159206615	-0.7768454079100398	-0.8137154199634902	-4.342775685640569	-4.312529522373692	-4.288610087498046	-4.282588486188317	-4.279387379548497	-4.2874984039509005	-4.319426108398408	-4.339045349889248	-4.390388646273092	-4.438766868973603	-4.497023863110149	-1.180503039380872	-1.2083912962484997	-1.2276902230949565	-1.2513228837410524	-1.2868824964443857	-1.3321034016817734	-1.376718163484716	-1.4400715570131848	-1.5087849556833048	-1.587627812545467	-1.6706684491255568	-4.870704549206003	-4.842708693605463	-4.820468574666304	-4.81164713163126	-4.805445404733842	-4.826310196429278	-4.852187209656485	-4.878520415705704	-4.923823021545103	-4.986141518420629	-5.05043481849099
90.2002002002002	-4.4764611191899615	-3.2347000772397805	-2.26962785278995	-1.5738068255262967	-1.0949498336870171	-0.8140053738423014	-0.7375860155838361	-0.8374571964383157	-1.1410080480382185	-1.6448806690806606	-2.394236191684915	-3.371765483312042	-4.637237501877237	-6.173548101611463	-7.959364493753447	-9.695819871750764	-10.673717984540376	-10.24664263762446	-8.915083424893547	-7.464688472746141	-6.213821724078691	-5.286580086062195	-4.654508591484767	-4.303586266124386	-4.243162192215147	-4.463606333061324	-4.960350624979532	-5.7657602817304054	-6.859235502768133	-8.226449263655722	-9.673416569013401	-10.528411577716154	-10.127325018699434	-8.61054614625711	-6.845392770181243	-5.2256021154204415	-3.892264803678989	-2.867621355054454	-2.115049750549069	-1.5802752232476278	-1.2423404967732932	-1.103438850112993	-1.1377219117556057	-1.3598450686716415	-1.8076749963181191	-2.4577878309753056	-3.362214865334505	-4.508757693702914	-5.949394080799001	-7.747839151864968	-9.852703500027541	-12.008391933792929	-13.067626804007944	-12.103741631339973	-10.204114774430364	-8.421962046710743	-7.00374044318849	-5.981191890797649	-5.301630673414495	-4.937229629814836	-4.8710520301610725	-5.082969149381932	-5.631503969405056	-6.4920539252848775	-7.7086592768974205	-9.304130666669012	-11.134072462055391	-12.441495424617953	-12.059873469979614	-10.183217873252786	-7.982608560156958	-6.0693924771382095	-4.493295343856498	-0.7165852763109855	-0.6947978799478268	-0.6699517722559909	-0.6496106641617875	-0.6347539227480303	-0.626058776822591	-0.6304385400224751	-0.6373103991958423	-0.6579694294549164	-0.6855236095661411	-0.7219888775631187	-4.281768348544886	-4.2573391613893214	-4.232678241382665	-4.222840497515578	-4.21990269852737	-4.22140710639792	-4.243572473591653	-4.275114914142114	-4.3274882570743864	-4.375648881650853	-4.448092217512005	-1.0791160110000202	-1.1027476800172376	-1.1156460345720023	-1.1464918085210012	-1.1787187643268768	-1.2202167102318116	-1.266852103616536	-1.3288684767805605	-1.399046329716627	-1.4767034181000303	-1.5690028934174178	-4.841549023560452	-4.804322138987137	-4.778581903574185	-4.759511396164565	-4.760595523383865	-4.78200124602913	-4.7996683663188	-4.843155836387159	-4.881467429074846	-4.938161620694675	-4.9954895661225125
90.25025025025025	-4.456076708687088	-3.2163941123243447	-2.258033856540581	-1.5564910023581089	-1.080937567822832	-0.8034241711905787	-0.7245454199815523	-0.8226055772469175	-1.1238479582495582	-1.6354106768932022	-2.3849902831314904	-3.361238898272631	-4.623192335921461	-6.152206327158638	-7.906920526404926	-9.619542351762806	-10.562056584220787	-10.145707467241808	-8.839723751995178	-7.386835984449369	-6.1715765708715615	-5.234922000287397	-4.610667561193101	-4.264896871858196	-4.211611315109067	-4.419144089919958	-4.910297986435714	-5.681685447983981	-6.772998403429769	-8.12415817650024	-9.537204121736847	-10.390723331350513	-10.031329800141506	-8.55755567770634	-6.812811025080823	-5.201672310873976	-3.881673602183124	-2.864953221792322	-2.1093285062773277	-1.5670989665173267	-1.2342354097863355	-1.0924487551184279	-1.1253862917248036	-1.3530534216321308	-1.7798353669214502	-2.4439688834325914	-3.3457631251444435	-4.488136182005796	-5.913212329703033	-7.698941771854736	-9.798122123243187	-11.914365580175044	-12.965883969844011	-12.052899593438303	-10.16318991359976	-8.392879243414422	-6.975579324597225	-5.957673030148375	-5.286336222738746	-4.916573944800748	-4.846377872780769	-5.073306556031359	-5.608373986398027	-6.453005447334952	-7.649969067352249	-9.247099444724244	-11.030640932267827	-12.341634798871436	-11.9632212615369	-10.108664809320084	-7.959000572951434	-6.046431074441644	-4.475232500262534	-0.7165988643028326	-0.6861410618795329	-0.6640275210727171	-0.6460948433616073	-0.6385718452099479	-0.6289491946291176	-0.6269331706190415	-0.6379458921463375	-0.6591802814478396	-0.6766638991364959	-0.7199801333567771	-4.255206734615935	-4.212944460628085	-4.1886059880407975	-4.182958406537175	-4.1749900590732905	-4.184962739265613	-4.210477493716204	-4.233526906027374	-4.278399342699086	-4.332012034566445	-4.39813840692169	-1.0658502667570555	-1.0874201896327318	-1.1017786682515103	-1.1338338371500594	-1.1674497243760555	-1.2137161957941536	-1.2633621714627123	-1.3198763807999587	-1.3825253198577967	-1.4623446022308397	-1.5506383846933722	-4.820123325284501	-4.792871518470197	-4.759345644401588	-4.746789749253981	-4.747390932079085	-4.759994481825402	-4.7820422415971535	-4.810641258974872	-4.8642274422225205	-4.92538037391227	-4.989754282844562
90.30030030030031	-4.391780170023357	-3.156299091817229	-2.203371161593026	-1.4952508638557584	-1.0431632996984688	-0.7607120101506027	-0.6882906897634951	-0.787819415026101	-1.089307211679525	-1.597559006504948	-2.346108664760053	-3.3268571792735075	-4.580767299100295	-6.1012738414737475	-7.840938239982698	-9.51092160549453	-10.42260761787886	-10.014779788012309	-8.74865506554438	-7.334913915129004	-6.1173714185926364	-5.187937648944044	-4.584824642048131	-4.2365146397149465	-4.175052234501673	-4.389085859651642	-4.870421339225576	-5.658217260931041	-6.7264488149302615	-8.067516591593687	-9.471843451488615	-10.303175898752132	-9.91984564814102	-8.455889771789396	-6.734814769652605	-5.127314286689722	-3.818230677438251	-2.809855830345549	-2.0497100107689112	-1.5220128456764197	-1.1947942848347988	-1.0481880364137708	-1.089650359024979	-1.3165747916693629	-1.7462853445309534	-2.4049872977568705	-3.3030274864425158	-4.428048760829691	-5.860928709941224	-7.625963458570803	-9.692059154404738	-11.740965661165038	-12.802185480826601	-11.95641456184552	-10.111084357886057	-8.364246151972694	-6.948057356324823	-5.950777248365786	-5.267835515179178	-4.902353547140619	-4.822945985495153	-5.053253006070469	-5.578134205748486	-6.440029370317406	-7.638396481989598	-9.187768963143771	-10.9878258445287	-12.237901004417592	-11.866355711090867	-10.02009877047489	-7.8640765497231175	-5.960742250001554	-4.4025730769538365	-0.6668505131293978	-0.6424926825101125	-0.6198280777294249	-0.5977425777148819	-0.5855324405799622	-0.5840385537950956	-0.5802977299536833	-0.596045669992858	-0.6107709874610142	-0.6322696783157463	-0.6767335991950528	-4.2205238712459385	-4.18707815211753	-4.172498162940894	-4.156762237448821	-4.162903617955008	-4.159298671760322	-4.186940139973717	-4.212512792193295	-4.255088499502604	-4.304340207681614	-4.371779760941344	-1.033516749743278	-1.0472210929927495	-1.067443645538942	-1.091705087567891	-1.1225987842452185	-1.1677093675557892	-1.2143950402887318	-1.2850682421858792	-1.3454085299933864	-1.4255030478761188	-1.5125994289929057	-4.812364094036087	-4.774108946647768	-4.75347588920891	-4.73331678787017	-4.7420924688634445	-4.748521304842334	-4.777493122961974	-4.797820361664554	-4.840614335812782	-4.9076984076849755	-4.971815338146056
90.35035035035035	-4.306044376669479	-3.0809120272904282	-2.119211313622899	-1.416874936291567	-0.9471710841741049	-0.6774691209221892	-0.5987697113191894	-0.7070589763787738	-1.001136137038154	-1.5139981347358218	-2.2627555913675836	-3.23147447094336	-4.4771559766041005	-6.0054260188234725	-7.726815381701282	-9.379510953991037	-10.246963886647222	-9.890469840356584	-8.637519866988804	-7.231034379125829	-6.0235020014295095	-5.12828299903128	-4.5012206997991075	-4.167176357397835	-4.115908729202741	-4.326887662963611	-4.808944842500009	-5.601932838292292	-6.660171862972923	-7.971648502654746	-9.342621693520494	-10.149208031669646	-9.771508574856322	-8.33794705790817	-6.655101101220541	-5.050304295443121	-3.734627738748445	-2.7219086008547597	-1.972494115835542	-1.4380415278417678	-1.1033167882168733	-0.9657012983889095	-0.993955454506489	-1.226162160615973	-1.6680972447463343	-2.311476557836904	-3.214165276845083	-4.355087859269158	-5.772729369147866	-7.547385844397818	-9.59320025115912	-11.664927975173445	-12.70157527546494	-11.856896469189762	-10.052203742656058	-8.308440147356565	-6.909312454446133	-5.893241876609918	-5.224607022331348	-4.872437085733692	-4.803423478693541	-5.013429519073429	-5.550963620418515	-6.4058761424991975	-7.6066192993649535	-9.172172522533211	-10.919260500449518	-12.136793081289065	-11.751995157281058	-9.910885492019435	-7.764500870501161	-5.8827240832390775	-4.319519625309108	-0.5916602441657535	-0.5672008413261791	-0.5428817725799866	-0.514802719395536	-0.5111792360686459	-0.49658199830211763	-0.5021182522269318	-0.5116177149529478	-0.5258536893848736	-0.553983033913442	-0.596539595241152	-4.139067394970538	-4.112166230524451	-4.088474197806934	-4.079263734406253	-4.080269493280379	-4.085290001930257	-4.099099804582118	-4.132445315356553	-4.182074865674622	-4.231805848189016	-4.296058448598607	-0.9532620337194363	-0.968863706526535	-0.9843336065295102	-1.0082043771687437	-1.0376736509929065	-1.0785376652225194	-1.1309096563995067	-1.1972811088617092	-1.262325820041939	-1.346072678463321	-1.4314445586690758	-4.747595880618645	-4.710976762955172	-4.688180053334651	-4.6745562162132686	-4.674920277810286	-4.686060451548224	-4.707811215275731	-4.747709924885392	-4.787168923817433	-4.847579961796592	-4.918244420599986
90.4004004004004	-4.239095830448636	-3.0168453244829188	-2.0724899915477235	-1.3807168078351302	-0.9066901233085385	-0.6435947785015725	-0.5631174068539435	-0.6632576685516129	-0.9585811631677097	-1.4702626495264715	-2.2157991499128693	-3.182877419459176	-4.4297002279369755	-5.935833207704216	-7.632045587730053	-9.239604871538445	-10.099830232111987	-9.737012838208454	-8.494917774924676	-7.122332585219217	-5.943107754724822	-5.052892760700407	-4.438984694648374	-4.113676417566984	-4.053386178800436	-4.26706264576195	-4.743334350037886	-5.524958729256156	-6.576798425529101	-7.877656131763077	-9.208945496650609	-9.992294615920077	-9.627608691471197	-8.229350620669912	-6.561266213554655	-4.991430695811669	-3.6844390248759527	-2.686027315749916	-1.9234286145614858	-1.395213910992938	-1.0571897694375507	-0.9168724906799142	-0.9462179943586454	-1.1744641965230176	-1.6058570363592441	-2.25722965522471	-3.1501485011307464	-4.289464307481791	-5.705336126227609	-7.465953152327292	-9.492374188054683	-11.550313091277664	-12.557850562677856	-11.758141683602679	-9.941516935271169	-8.244829583441387	-6.860806793411357	-5.832199612045689	-5.173771310604838	-4.809518738541076	-4.745410041752777	-4.976805593743078	-5.49952387295475	-6.347154172316072	-7.538001454616223	-9.096990870632215	-10.842700196322301	-11.993133672727007	-11.597175128344226	-9.76407040094566	-7.689674562030313	-5.813633288572834	-4.248369073596214	-0.5521254170036022	-0.5350792281961324	-0.5138888856539044	-0.4867135808857017	-0.47547014502314744	-0.4677827640622014	-0.47893656089357145	-0.489794571583912	-0.5048393243649466	-0.5245914447754597	-0.5640712408312984	-4.091401383548174	-4.060999457292118	-4.03718198633372	-4.03147947118305	-4.016012683753829	-4.036808752666853	-4.054724586248845	-4.08536073024386	-4.131053371694262	-4.178069320750797	-4.238156252663488	-0.9010380872122193	-0.9217328944587652	-0.9345640649771669	-0.965312272743769	-0.9966894837339304	-1.0284523424447196	-1.0764223247578824	-1.1404887158484727	-1.2094540317817772	-1.286546096415931	-1.380752917632779	-4.706336471872796	-4.6651789985623955	-4.645049621502196	-4.637180864257971	-4.642733658740675	-4.647811087148804	-4.67167602941565	-4.697064096495178	-4.750652699721596	-4.810413818679975	-4.88129153395448
90.45045045045045	-4.214964672821654	-3.0044994628522836	-2.0622672911556177	-1.3762911939784124	-0.9036401703927802	-0.6396790829164659	-0.5628504745436553	-0.665027582468528	-0.9628836239088897	-1.4660767612567882	-2.200196265677869	-3.1630807970365162	-4.392540931204986	-5.872163857999579	-7.562101200393457	-9.146264483836973	-10.009375421308599	-9.651812522838869	-8.453197165154092	-7.093601380956523	-5.921600319819854	-5.034515118312287	-4.42583229685616	-4.092465681572826	-4.036226059441116	-4.2417597464941785	-4.719823974243817	-5.480213139006251	-6.5169026739312095	-7.800990920388056	-9.1033003819277	-9.886487913066437	-9.536519552711662	-8.16254392779904	-6.512966563611294	-4.961669616374986	-3.6692796672076886	-2.6724797793669683	-1.9264313009817433	-1.3908413085189513	-1.0680860619638168	-0.9193404838152582	-0.9612367212609539	-1.1739750461907539	-1.6028252448376907	-2.248575519372105	-3.1411646459951688	-4.24835854986841	-5.648197534425978	-7.37416362282868	-9.377301159780483	-11.38481344139301	-12.444430080094817	-11.656449278761475	-9.926846499421114	-8.246519006625709	-6.854084469755888	-5.841610456951472	-5.182828138043004	-4.810982170976336	-4.751849513375798	-4.966057626554806	-5.489016987752915	-6.3343731943886805	-7.513825575012015	-9.037577950777239	-10.737432655463278	-11.872294996841658	-11.447699773956973	-9.692393452777242	-7.619330560341112	-5.758625493971472	-4.225820699828499	-0.5523359673895557	-0.5376180241617914	-0.5140046413253767	-0.4914264894123398	-0.477874268857683	-0.47131118343242145	-0.47630566603954766	-0.48540972405161037	-0.5033180875122228	-0.5264693437232394	-0.5587372151959424	-4.079413209447421	-4.049267166941744	-4.024819057846612	-4.016260294797692	-4.0174747947505765	-4.027318956120214	-4.041089437608233	-4.074218457384269	-4.11185210839553	-4.162223415905888	-4.229552685181027	-0.8965266578209604	-0.9226792734326739	-0.941529026476953	-0.9682099583294308	-0.9970470656524929	-1.0248916122626082	-1.077662561964582	-1.142647274481024	-1.2021352659807545	-1.2824148407257991	-1.3655727785294032	-4.711847957767691	-4.6765790367290405	-4.65342999743877	-4.649008634426519	-4.64028766083724	-4.650831673099311	-4.671539147192645	-4.710388814577328	-4.751996877536069	-4.805624424374355	-4.876852718060753
