freq,trans_dB
140.0,-7.719612905294657
140.08008008008008,-7.5923428111565165
140.16016016016016,-7.494698987226161
140.24024024024024,-7.384732027203469
140.32032032032032,-7.252383474250323
140.4004004004004,-7.100791889210372
140.48048048048048,-6.99900489625838
140.56056056056056,-6.903071378302805
140.64064064064064,-6.756657335765597
140.72072072072072,-6.639845373453426
140.8008008008008,-6.504031830534758
140.88088088088088,-6.3894118950339625
140.96096096096096,-6.282874520438015
141.04104104104104,-6.13959833791512
141.12112112112112,-6.031949049812403
141.2012012012012,-5.897040812449845
141.28128128128128,-5.801941409293023
141.36136136136136,-5.6711126762840705
141.44144144144144,-5.566401755201853
141.52152152152152,-5.4398824280649265
141.6016016016016,-5.3576546700050045
141.68168168168168,-5.258729901339667
141.76176176176176,-5.164652075062059
141.84184184184184,-5.07846508107756
141.92192192192192,-4.980256955202481
142.002002002002,-4.880507178263872
142.08208208208208,-4.80919676982777
142.16216216216216,-4.747974529423903
142.24224224224224,-4.666099654345808
142.32232232232232,-4.6130946820601215
142.4024024024024,-4.550793399193844
142.48248248248248,-4.507981375947687
142.56256256256256,-4.447769874955747
142.64264264264264,-4.442407919798948
142.72272272272272,-4.381615053003338
142.8028028028028,-4.373751401925685
142.88288288288288,-4.2940575730232515
142.96296296296296,-4.315623464921454
143.04304304304304,-4.271142516146118
143.12312312312312,-4.324985204653492
143.2032032032032,-4.245976157275994
143.28328328328328,-4.292539452576354
143.36336336336336,-4.238458897238035
143.44344344344344,-4.3198014414689245
143.52352352352352,-4.284641587301861
143.6036036036036,-4.323809817345797
143.68368368368368,-4.31806900209044
143.76376376376376,-4.40105813704068
143.84384384384384,-4.402519703415539
143.92392392392392,-4.44612882307153
144.004004004004,-4.46139108548247
144.08408408408408,-4.526745696581916
144.16416416416416,-4.553202037270786
144.24424424424424,-4.629383688586848
144.32432432432432,-4.6697245362048685
144.4044044044044,-4.73705388267413
144.48448448448448,-4.806406080141179
144.56456456456456,-4.859470920239963
144.64464464464464,-4.9548774219554685
144.72472472472472,-4.995609283428508
144.8048048048048,-5.095868484381282
144.88488488488488,-5.117267774369461
144.96496496496496,-5.228212774447087
145.04504504504504,-5.2716489363160095
145.12512512512512,-5.376233742366537
145.2052052052052,-5.424365794764582
145.28528528528528,-5.5368745470495995
145.36536536536536,-5.576155316532819
145.44544544544544,-5.693396383264249
145.52552552552552,-5.747638385906978
145.6056056056056,-5.88389162684003
145.68568568568568,-5.92569072100346
145.76576576576576,-6.053504325864399
145.84584584584584,-6.081918679245086
145.92592592592592,-6.2080468965583435
146.006006006006,-6.269065799188042
146.08608608608608,-6.368477961211123
146.16616616616616,-6.416480957054068
146.24624624624624,-6.521649899560524
146.32632632632632,-6.556423992772559
146.4064064064064,-6.665926516077964
146.48648648648648,-6.749965512379749
146.56656656656656,-6.8293944786025715
146.64664664664664,-6.881197057330529
146.72672672672672,-6.966449500941598
146.8068068068068,-7.026534422517198
146.88688688688688,-7.101255441388855
146.96696696696696,-7.202012673781601
147.04704704704704,-7.26145428353133
147.12712712712712,-7.32699128411305
147.2072072072072,-7.4017457192514255
